sample_index,daq_time_s,reset_event_state,arm_event_state,k1_coil_state,k2_coil_state,k1_aux_status_state,k2_aux_status_state,source_voltage_V,external_angle_deg,dropped_scan_count,sensor_saturation_flags,run_id,configuration_commit,article_revision,calibration_bundle_hash,timing_budget_revision
0,0.000000,0,0,0,0,0,0,24.000000,100.000000000,0,0,SYN-PASS-RESET-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
1,0.001000,0,0,0,0,0,0,24.000000,100.000000000,0,0,SYN-PASS-RESET-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
2,0.002000,0,0,0,0,0,0,24.000000,100.000000000,0,0,SYN-PASS-RESET-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
3,0.003000,0,0,0,0,0,0,24.000000,100.000000000,0,0,SYN-PASS-RESET-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
4,0.004000,0,0,0,0,0,0,24.000000,100.000000000,0,0,SYN-PASS-RESET-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
5,0.005000,0,0,0,0,0,0,24.000000,100.000000000,0,0,SYN-PASS-RESET-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
6,0.006000,0,0,0,0,0,0,24.000000,100.000000000,0,0,SYN-PASS-RESET-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
7,0.007000,0,0,0,0,0,0,24.000000,100.000000000,0,0,SYN-PASS-RESET-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
8,0.008000,0,0,0,0,0,0,24.000000,100.000000000,0,0,SYN-PASS-RESET-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
9,0.009000,0,0,0,0,0,0,24.000000,100.000000000,0,0,SYN-PASS-RESET-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
10,0.010000,0,0,0,0,0,0,24.000000,100.000000000,0,0,SYN-PASS-RESET-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
11,0.011000,0,0,0,0,0,0,24.000000,100.000000000,0,0,SYN-PASS-RESET-001,synthetic-validation-not-hardware,SYNTHETIC-P0.2,synthetic-calibration-not-physical,SYNTHETIC-TIMING-P0.2
