source_id,provider,official_url,verified_claim,document_revision_or_date,accessed,use_boundary
SRC-SCS-MATERIALS,SendCutSend,https://sendcutsend.com/materials/,"6061-T6 flat stock is listed in twelve thicknesses from 1.02 to 19.05 mm; Delrin, neoprene and other flat materials are also listed; laser, waterjet and CNC processes are offered",LIVE OFFICIAL PAGE; REVISION NOT STATED,2026-08-15,PREQUOTE STOCK/PROCESS SCREEN ONLY; NO AUTOMATIC THICKNESS SUBSTITUTION OR ORDER RELEASE
SRC-SCS-6061,SendCutSend,https://sendcutsend.com/materials/6061-aluminum/,"6061-T6 stock sizes and optional deburring, countersinking, tapping, hardware and finishing services are published",LIVE OFFICIAL PAGE; REVISION NOT STATED,2026-08-15,"STOCK AVAILABILITY EVIDENCE; STRUCTURAL ALLOWABLES, CERTIFICATION AND PART ACCEPTANCE REMAIN OPEN"
SRC-XOM-CNC,Xometry US,https://www.xometry.com/capabilities/cnc-machining-service/cnc-milling-service/,CNC milling lists Aluminum 6061-T6 and custom material review paths,LIVE OFFICIAL PAGE; REVISION NOT STATED,2026-08-15,CNC RFQ CANDIDATE; SUPPLIER/LOT/PROCESS ACCEPTANCE IS NOT INFERRED
SRC-XOM-STANDARDS,Xometry US,https://www.xometry.com/manufacturing-standards/,"Published default CNC tolerance and edge-break practices exist, while quote-specific requirements may supersede them",LIVE OFFICIAL PAGE; REVISION NOT STATED,2026-08-15,REFERENCE ONLY; HR-30 TOLERANCES/GD&T MUST BE RELEASED PART BY PART
SRC-PROTO-QUALITY,Protolabs,https://www.protolabs.com/media/y3gd35lg/pl_procurement_guide.pdf,Official procurement guide identifies CNC machining and optional inspection-report paths,2025 PUBLICATION; PAGE REVISION NOT STATED,2026-08-15,BACKUP CNC/INSPECTION RFQ ROUTE; EXACT CAPABILITY MUST BE CONFIRMED IN WRITTEN QUOTE
SRC-AA-HOME,Artisans Asylum,https://www.artisansasylum.com/home,"Boston campus lists machine, metal, CNC plasma, electronics/robotics, finishing and digital-fabrication shops",LIVE OFFICIAL PAGE; REVISION NOT STATED,2026-08-15,"LOCAL DFM, FIXTURE AND FIT-ARTICLE PATH; MEMBERSHIP/TRAINING AND TOOL-SPECIFIC CAPABILITY CONFIRMATION REQUIRED"
SRC-AA-TRAINING,Artisans Asylum,https://www.artisansasylum.com/tool-testing-safety-training,Official page requires tool testing and distinguishes testing from instruction,LIVE OFFICIAL PAGE; REVISION NOT STATED,2026-08-15,NO UNSUPERVISED TOOL USE IS ASSUMED
SRC-FABVILLE,FabVille,https://fabville.org/,Somerville community fabrication lab publishes free open-shop access and staff support; current calendar posts a summer closure until the school year,LIVE OFFICIAL SITE/CALENDAR; REVISION NOT STATED,2026-08-15,"PROTOTYPE/DFM PATH ONLY; CONFIRM REOPENING, EXACT MACHINE, MATERIAL AND STAFF APPROVAL BEFORE VISIT"
SRC-HIVE,Cambridge Public Library - The Hive,https://www.cambridgema.gov/departments/cambridgepubliclibrary/locations/mainlibrary/thehive,The Hive publishes free fabrication access for Minuteman cardholders after required safety/equipment training,LIVE OFFICIAL PAGE; REVISION NOT STATED,2026-08-15,NONSTRUCTURAL FIT-ARTICLE/LEARNING PATH ONLY; EXACT EQUIPMENT AND MATERIAL RULES MUST BE CONFIRMED
SRC-BPL-PRINT,Boston Public Library,https://www.bpl.org/faq/technology/,BPL lists MakerBot access at selected branches; exact location rules apply,LIVE OFFICIAL PAGE; REVISION NOT STATED,2026-08-15,SMALL NONSTRUCTURAL PRINT/FIT COUPONS ONLY; NOT A METAL OR PRODUCTION ROUTE
