hold_id,unresolved_item,closure_evidence,state,execution_state,authority,warning
IAD-H01,ROBOTIS does not publish approval for the proposed GND/VDD conductor removal and hybrid destination housing,written manufacturer disposition or qualified internal modification process with destructive evidence,OPEN,NOT EXECUTED,"NO PROCUREMENT, MODIFICATION, ASSEMBLY, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT INTER-AXIS DATA ADAPTER CANDIDATE - NOT APPROVED FOR PROCUREMENT, MODIFICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
IAD-H02,the exact received X4P/X3P connector-end construction and cavity indexing have not been inspected,"received-lot inspection against SKU, length, housings, contacts and cavity numbering",OPEN,NOT EXECUTED,"NO PROCUREMENT, MODIFICATION, ASSEMBLY, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT INTER-AXIS DATA ADAPTER CANDIDATE - NOT APPROVED FOR PROCUREMENT, MODIFICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
IAD-H03,a damage-controlled extraction tool and terminal/housing reuse rule are not selected,"sacrificial extraction trials, magnified inspection, retention tests and approved scrap/reuse rule",OPEN,NOT EXECUTED,"NO PROCUREMENT, MODIFICATION, ASSEMBLY, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT INTER-AXIS DATA ADAPTER CANDIDATE - NOT APPROVED FOR PROCUREMENT, MODIFICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
IAD-H04,"ROBOTIS does not publish cable bend life, minimum bend radius, pair impedance, shield construction or torsional life",received construction review plus route-specific bend/torsion and waveform/error qualification,OPEN,NOT EXECUTED,"NO PROCUREMENT, MODIFICATION, ASSEMBLY, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT INTER-AXIS DATA ADAPTER CANDIDATE - NOT APPROVED FOR PROCUREMENT, MODIFICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
IAD-H05,240 mm and 180 mm nominal lengths are not validated in the joined production-body geometry,"full-range physical routing and tolerance-aware CAD sweep with clamps, slack, pinch and connector-load evidence",OPEN,NOT EXECUTED,"NO PROCUREMENT, MODIFICATION, ASSEMBLY, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT INTER-AXIS DATA ADAPTER CANDIDATE - NOT APPROVED FOR PROCUREMENT, MODIFICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
IAD-H06,destination power-contact insertion depends on the still-unreleased actuator power pigtail crimp process,accepted power-branch crimp/retention/thermal process before hybrid-housing assembly,OPEN,NOT EXECUTED,"NO PROCUREMENT, MODIFICATION, ASSEMBLY, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT INTER-AXIS DATA ADAPTER CANDIDATE - NOT APPROVED FOR PROCUREMENT, MODIFICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
IAD-H07,"RS-485 baud, termination, common-mode, reflections, shielding and error-rate behavior are untested","serialized five-bus waveform/error validation across route, load and motion states",OPEN,NOT EXECUTED,"NO PROCUREMENT, MODIFICATION, ASSEMBLY, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT INTER-AXIS DATA ADAPTER CANDIDATE - NOT APPROVED FOR PROCUREMENT, MODIFICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
IAD-H08,"TTL reference offset, high/low margins and edge behavior are untested",serialized three-bus TTL waveform/margin validation across branch-current and motion states,OPEN,NOT EXECUTED,"NO PROCUREMENT, MODIFICATION, ASSEMBLY, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT INTER-AXIS DATA ADAPTER CANDIDATE - NOT APPROVED FOR PROCUREMENT, MODIFICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
IAD-H09,the eight carrier-to-first-actuator harnesses are outside this 17-link package and remain undefined physically,"separate exact carrier breakout harness design with contact maps, reference-star conductors and route validation",OPEN,NOT EXECUTED,"NO PROCUREMENT, MODIFICATION, ASSEMBLY, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT INTER-AXIS DATA ADAPTER CANDIDATE - NOT APPROVED FOR PROCUREMENT, MODIFICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
IAD-H10,"no adapter has been built, inspected, routed, communication-tested or accepted",completed traveler and signed qualified electrical/harness review for identical serialized assemblies,OPEN,NOT EXECUTED,"NO PROCUREMENT, MODIFICATION, ASSEMBLY, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT INTER-AXIS DATA ADAPTER CANDIDATE - NOT APPROVED FOR PROCUREMENT, MODIFICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
