source_id,publisher,document,revision_or_date,official_url_or_path,sha256,verified_scope,execution_state,authority,warning
IAD-S01,Project Button,physical serial-data links,current generated P0.1 input,hr30/whole-body-p0.1/harness/physical-p0.1/serial-data-link-register.csv,ecd172da72fcbd6bdb97ab95f93e3ab9b0cfbf4f307f5e60f567c4e0d5392bdd,25 controller/inter-axis serial links and endpoints,NOT EXECUTED,"NO PROCUREMENT, MODIFICATION, ASSEMBLY, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT INTER-AXIS DATA ADAPTER CANDIDATE - NOT APPROVED FOR PROCUREMENT, MODIFICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
IAD-S02,Project Button,controlled connector-cavity population,current generated P0.1 input,hr30/whole-body-p0.1/harness/actuator-cable-kit-p0.1/connector-cavity-population.csv,4dbfc4976a13d5a46106f66606c974ebe9d544503d938ad039f1adf9a3dc1d86,upstream empty cavities and downstream combined power/data housing population,NOT EXECUTED,"NO PROCUREMENT, MODIFICATION, ASSEMBLY, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT INTER-AXIS DATA ADAPTER CANDIDATE - NOT APPROVED FOR PROCUREMENT, MODIFICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
IAD-S03,Project Button,actuator service-loop obligations,current generated P0.1 input,hr30/whole-body-p0.1/harness/physical-p0.1/service-loop-register.csv,ed4efedfe38ae46aa0164d86b266e66f59e2479dc6b34086993d9c41e5d991e2,joint axes and unresolved physical loop validation,NOT EXECUTED,"NO PROCUREMENT, MODIFICATION, ASSEMBLY, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT INTER-AXIS DATA ADAPTER CANDIDATE - NOT APPROVED FOR PROCUREMENT, MODIFICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
IAD-S04,Project Button,actuator data-cable disposition,current generated P0.1 input,hr30/whole-body-p0.1/harness/actuator-cable-kit-p0.1/data-cable-candidate.csv,5a32fc4de45c127f28bdd746514d619f012c917848cce041d6f08bb2ff754e2c,unmodified powered ROBOTIS daisy cables rejected,NOT EXECUTED,"NO PROCUREMENT, MODIFICATION, ASSEMBLY, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT INTER-AXIS DATA ADAPTER CANDIDATE - NOT APPROVED FOR PROCUREMENT, MODIFICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
IAD-S05,Project Button,eight-bus reference architecture,current generated P0.1 input,hr30/whole-body-p0.1/harness/actuator-cable-kit-p0.1/bus-reference-register.csv,716684f5e4329fc30ab0518149a1d64b651ba16961ff86bb4b2245eb096d313f,no inter-actuator GND/VDD conductor and single-point reference intent,NOT EXECUTED,"NO PROCUREMENT, MODIFICATION, ASSEMBLY, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT INTER-AXIS DATA ADAPTER CANDIDATE - NOT APPROVED FOR PROCUREMENT, MODIFICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
IAD-S06,ROBOTIS,"Robot Cable-X4P 240 mm, 10 pieces",live official store page; accessed 2026-08-18; revision not stated,https://robotis.us/robot-cable-x4p-240mm-10pcs/,NOT APPLICABLE - EXTERNAL PRIMARY SOURCE,SKU 903-0245-000; 240 mm RS-485 X/P-series cable family; received end construction still requires inspection,NOT EXECUTED,"NO PROCUREMENT, MODIFICATION, ASSEMBLY, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT INTER-AXIS DATA ADAPTER CANDIDATE - NOT APPROVED FOR PROCUREMENT, MODIFICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
IAD-S07,ROBOTIS,"Robot Cable-X3P 180 mm, 10 pieces",live official store page; accessed 2026-08-18; revision not stated,https://robotis.us/robot-cable-x3p-180mm-10pcs/,NOT APPLICABLE - EXTERNAL PRIMARY SOURCE,SKU 903-0249-000; 180 mm TTL X-series cable family; received end construction still requires inspection,NOT EXECUTED,"NO PROCUREMENT, MODIFICATION, ASSEMBLY, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT INTER-AXIS DATA ADAPTER CANDIDATE - NOT APPROVED FOR PROCUREMENT, MODIFICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
IAD-S08,ROBOTIS,XH540-W270 connector information,ROBOTIS Docs live page; accessed 2026-08-18; page revision not stated,https://docs.robotis.com/docs/dxl/model_reference/x_series/xh_series/xh540-w270/,NOT APPLICABLE - EXTERNAL PRIMARY SOURCE,"RS-485 device interface pin 1 GND, pin 2 VDD, pin 3 DATA+, pin 4 DATA-",NOT EXECUTED,"NO PROCUREMENT, MODIFICATION, ASSEMBLY, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT INTER-AXIS DATA ADAPTER CANDIDATE - NOT APPROVED FOR PROCUREMENT, MODIFICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
IAD-S09,ROBOTIS,XC330-T288 connector information,ROBOTIS Docs live page; accessed 2026-08-18; page revision not stated,https://docs.robotis.com/docs/dxl/model_reference/x_series/xc_series/xc330-t288/,NOT APPLICABLE - EXTERNAL PRIMARY SOURCE,"TTL device interface pin 1 GND, pin 2 VDD, pin 3 DATA",NOT EXECUTED,"NO PROCUREMENT, MODIFICATION, ASSEMBLY, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT INTER-AXIS DATA ADAPTER CANDIDATE - NOT APPROVED FOR PROCUREMENT, MODIFICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
IAD-S10,JST,EH connector data sheet,current official PDF; accessed 2026-08-18,https://www.jst-mfg.com/product/pdf/eng/eEH.pdf,NOT APPLICABLE - EXTERNAL PRIMARY SOURCE,EH housing/contact family boundaries; no cable-modification approval inferred,NOT EXECUTED,"NO PROCUREMENT, MODIFICATION, ASSEMBLY, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT INTER-AXIS DATA ADAPTER CANDIDATE - NOT APPROVED FOR PROCUREMENT, MODIFICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
