screen,inputs,result,authority
A01,CAD volume 341608.795 mm^3 x 2.70 g/cm^3,922.343747 g,NOMINAL CAD MASS; RECEIVED MASS OPEN
A02,5.737361 N m x gravity factor 3.0,17.212082 N m,PROJECT SCREEN; NOT A RELEASED LOAD CASE
A03,4.1 N m x torque factor 2.0,8.200000 N m,STALL-ENDPOINT PROJECT SCREEN; NOT CONTINUOUS DUTY
A04,design weight moment / 60 mm lower-row span / 2 bolts,143.434017 N tension per bolt on ideal row,IDEAL DISTRIBUTION; PT HARDWARE/PRELOAD/SLIP OPEN
A05,3x brake weight / 4 plus A04 orthogonal,149.748496 N resultant per lower bolt,IDEAL DISTRIBUTION ONLY
A06,M=17.212082 N m; conservative Z=90x24^2/6=8640.000 mm^3,1.992139 MPa nominal bending stress,ADAPTER-ONLY GROSS-SECTION SCREEN; LOCAL/CONTACT/FATIGUE REVIEW OPEN
A07,project yield basis 240.0 MPa / A06,120.473514 ratio,SCREENING RATIO ONLY; MATERIAL CERTIFICATE/ALLOWABLE/QUALIFIED REVIEW OPEN
A08,A05 / (24 mm x Ø6.6 mm),0.945382 MPa nominal lower-hole bearing,ADAPTER-ONLY NOMINAL SCREEN
A09,8.200 N m / 104 mm,78.846154 N upper-hole ideal torque couple,PILLOW-BLOCK LOAD TRANSFER/CONTACT OPEN
A10,A09 / (π x 4.917 mm x 12.0 mm),0.425353 MPa nominal internal-thread shear,SIMPLIFIED UNIFORM-SHEAR SCREEN; THREAD ENGAGEMENT/FASTENER/PRELOAD REVIEW OPEN
A11,Kaiser typical T651 yield 276.0 MPa; project basis 240.0 MPa,project basis is 86.956522% of published typical,TYPICAL DATA IS NOT A MINIMUM OR DESIGN ALLOWABLE
A12,PT 20 + adapter 24.00 + 4866 R 76,120.000000 mm nominal axis height,PT/4866 TOLERANCES AND INSTALLED ALIGNMENT OPEN
