item_id,item,whole_robot_quantity,candidate_or_boundary,selection_state,authority,warning
GB-01,XC330-T288-T evaluation actuator,2,ROBOTIS 902-0171-000 candidate; received identity required,SELECTION REQUIRED,NO PROCUREMENT OR FABRICATION AUTHORITY,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
GB-02,palm frame custom parts,10,five custom frame parts per hand,SELECTION REQUIRED,NO PROCUREMENT OR FABRICATION AUTHORITY,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
GB-03,4 mm guide rods,4,64 mm hardened stainless candidates,SELECTION REQUIRED,NO PROCUREMENT OR FABRICATION AUTHORITY,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
GB-04,module-0.5 rack candidates,4,32 mm paired racks,SELECTION REQUIRED,NO PROCUREMENT OR FABRICATION AUTHORITY,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
GB-05,module-0.5 pinion candidates,2,20 tooth / 10 mm pitch diameter,SELECTION REQUIRED,NO PROCUREMENT OR FABRICATION AUTHORITY,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
GB-06,broad finger-carrier candidates,4,two per hand,SELECTION REQUIRED,NO PROCUREMENT OR FABRICATION AUTHORITY,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
GB-07,replaceable compliant pads,4,3 x 30 x 30 mm pad candidates,SELECTION REQUIRED,NO PROCUREMENT OR FABRICATION AUTHORITY,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
GB-08,hard stop blocks,4,two per hand,SELECTION REQUIRED,NO PROCUREMENT OR FABRICATION AUTHORITY,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
GB-09,manual release hubs,2,tool and procedure selection required,SELECTION REQUIRED,NO PROCUREMENT OR FABRICATION AUTHORITY,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
GB-10,frame/motor fasteners and inserts,2,complete set per hand; exact products/quantities/torque selection required,SELECTION REQUIRED,NO PROCUREMENT OR FABRICATION AUTHORITY,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
