source_id,manufacturer,candidate,document_revision_or_date,accessed,official_url,verified_scope,application_boundary,warning
KEYSIGHT,Keysight,E36313A,5992-2124EN; live official data sheet accessed 2026-08-15,2026-08-15,https://www.keysight.com/us/en/assets/7018-05629/data-sheets/5992-2124.pdf,"E36313A; two 25 V / 2 A outputs; UL 61010-1, CAN/CSA-C22.2 61010-1-12 and IEC 61010-1:2010","PHYSICAL ASSEMBLY, CALIBRATION AND QUALIFIED PROCEDURE APPROVAL OPEN","PRELIMINARY - SUPPORT EQUIPMENT CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
U2D2,ROBOTIS,U2D2 / SKU 902-0132-000,ROBOTIS Docs current page; accessed 2026-08-15,2026-08-15,https://docs.robotis.com/docs/parts/interface/u2d2/,48 x 18 x 14.9 mm; USB communication only; TTL and RS-485; no actuator power; optional 120 ohm termination,"PHYSICAL ASSEMBLY, CALIBRATION AND QUALIFIED PROCEDURE APPROVAL OPEN","PRELIMINARY - SUPPORT EQUIPMENT CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
PHB,ROBOTIS,U2D2 Power Hub Board Set / SKU 902-0145-001,ROBOTIS Docs current page; accessed 2026-08-15,2026-08-15,https://docs.robotis.com/docs/parts/interface/u2d2_power_hub/,3.5-24 V; 10 A maximum; only one power input at a time; Mini-Fit power pin 1 GND / pin 2 VDD,"PHYSICAL ASSEMBLY, CALIBRATION AND QUALIFIED PROCEDURE APPROVAL OPEN","PRELIMINARY - SUPPORT EQUIPMENT CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
X4P,ROBOTIS,Robot Cable-X4P 180 mm / SKU 903-0244-000,live official product page; accessed 2026-08-15,2026-08-15,https://www.robotis.us/robot-cable-x4p-180mm-10pcs/,RS-485 X-series JST-JST 180 mm stocked cable family,"PHYSICAL ASSEMBLY, CALIBRATION AND QUALIFIED PROCEDURE APPROVAL OPEN","PRELIMINARY - SUPPORT EQUIPMENT CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
X3P,ROBOTIS,Robot Cable-X3P 180 mm / SKU 903-0249-000,live official product page; accessed 2026-08-15,2026-08-15,https://www.robotis.us/robot-cable-x3p-180mm-10pcs/,TTL X-series JST-JST 180 mm stocked cable family,"PHYSICAL ASSEMBLY, CALIBRATION AND QUALIFIED PROCEDURE APPROVAL OPEN","PRELIMINARY - SUPPORT EQUIPMENT CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MOLEX,Molex,39-01-2020 housing / 39-00-0038 contacts,Mini-Fit Jr application-tooling specification accessed 2026-08-15,2026-08-15,https://www.molex.com/content/dam/molex/molex-dot-com/products/automated/en-us/applicationtoolingspecificationpdf/638/63860/ATS-638601000-001.pdf,39-01-2020 housing and 39-00-0038 contact; 20 AWG PHB manufacturer interface,"PHYSICAL ASSEMBLY, CALIBRATION AND QUALIFIED PROCEDURE APPROVAL OPEN","PRELIMINARY - SUPPORT EQUIPMENT CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
WIRE,Alpha Wire,"3073, 20 AWG stranded hook-up wire",live official product page; accessed 2026-08-15,2026-08-15,https://www.alphawire.com/products/wire/hook-up-wire/premium/3073,3073 stranded 20 AWG tinned copper; UL AWM 1015/1230; 105 C; 600 V; VW-1,"PHYSICAL ASSEMBLY, CALIBRATION AND QUALIFIED PROCEDURE APPROVAL OPEN","PRELIMINARY - SUPPORT EQUIPMENT CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
BANANA,Pomona Electronics,4933-2 red / 4933-0 black sheathed 4 mm plugs,live official product family; accessed 2026-08-15,2026-08-15,https://www.pomonaelectronics.com/products/banana-plugs-jacks-and-hardware/banana-plugs-and-jacks,4933 sheathed 4 mm plug family for 18/20/22 AWG wire,"PHYSICAL ASSEMBLY, CALIBRATION AND QUALIFIED PROCEDURE APPROVAL OPEN","PRELIMINARY - SUPPORT EQUIPMENT CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
XH540,ROBOTIS,XH540-W270-R,ROBOTIS-GIT/emanual b0c64501f080d20088d044c65569f45279351ade; 2025-06-19; accessed 2026-08-15,2026-08-15,https://docs.robotis.com/docs/dxl/model_reference/x_series/xh_series/xh540-w270/,10.0-14.8 V operating range; 12 V recommended; RS-485 interface,"PHYSICAL ASSEMBLY, CALIBRATION AND QUALIFIED PROCEDURE APPROVAL OPEN","PRELIMINARY - SUPPORT EQUIPMENT CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
XM540,ROBOTIS,XM540-W270-R,ROBOTIS-GIT/emanual b0c64501f080d20088d044c65569f45279351ade; 2025-06-19; accessed 2026-08-15,2026-08-15,https://docs.robotis.com/docs/dxl/model_reference/x_series/xm_series/xm540-w270/,10.0-14.8 V operating range; 12 V recommended; RS-485 interface,"PHYSICAL ASSEMBLY, CALIBRATION AND QUALIFIED PROCEDURE APPROVAL OPEN","PRELIMINARY - SUPPORT EQUIPMENT CANDIDATE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
