sequence,axis_id,region,candidate_actuator,family,protocol,station_cable,proposed_global_id,initial_voltage_v,initial_current_limit_a,required_initial_readback,first_power_motion_command,execution_result,authority
1,L_HIP_YAW,leg,ROBOTIS XH540-W270-R evaluation candidate,XH540,RS-485 HALF-DUPLEX,X4P 180 mm / 903-0244-000,1,11.0,0.25,model number; firmware; present voltage; present temperature; hardware error; Torque Enable=0,PROHIBITED,NOT EXECUTED,"NO CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
2,L_HIP_ROLL,leg,ROBOTIS XH540-W270-R evaluation candidate,XH540,RS-485 HALF-DUPLEX,X4P 180 mm / 903-0244-000,2,11.0,0.25,model number; firmware; present voltage; present temperature; hardware error; Torque Enable=0,PROHIBITED,NOT EXECUTED,"NO CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
3,L_HIP_PITCH,leg,ROBOTIS XH540-W270-R evaluation candidate,XH540,RS-485 HALF-DUPLEX,X4P 180 mm / 903-0244-000,3,11.0,0.25,model number; firmware; present voltage; present temperature; hardware error; Torque Enable=0,PROHIBITED,NOT EXECUTED,"NO CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
4,L_KNEE_PITCH,leg,ROBOTIS XH540-W270-R evaluation candidate,XH540,RS-485 HALF-DUPLEX,X4P 180 mm / 903-0244-000,4,11.0,0.25,model number; firmware; present voltage; present temperature; hardware error; Torque Enable=0,PROHIBITED,NOT EXECUTED,"NO CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
5,L_ANKLE_PITCH,leg,ROBOTIS XM430-W350-R evaluation candidate,XM430,RS-485 HALF-DUPLEX,X4P 180 mm / 903-0244-000,5,11.0,0.25,model number; firmware; present voltage; present temperature; hardware error; Torque Enable=0,PROHIBITED,NOT EXECUTED,"NO CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
6,L_ANKLE_ROLL,leg,ROBOTIS XM430-W350-R evaluation candidate,XM430,RS-485 HALF-DUPLEX,X4P 180 mm / 903-0244-000,6,11.0,0.25,model number; firmware; present voltage; present temperature; hardware error; Torque Enable=0,PROHIBITED,NOT EXECUTED,"NO CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
7,R_HIP_YAW,leg,ROBOTIS XH540-W270-R evaluation candidate,XH540,RS-485 HALF-DUPLEX,X4P 180 mm / 903-0244-000,7,11.0,0.25,model number; firmware; present voltage; present temperature; hardware error; Torque Enable=0,PROHIBITED,NOT EXECUTED,"NO CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
8,R_HIP_ROLL,leg,ROBOTIS XH540-W270-R evaluation candidate,XH540,RS-485 HALF-DUPLEX,X4P 180 mm / 903-0244-000,8,11.0,0.25,model number; firmware; present voltage; present temperature; hardware error; Torque Enable=0,PROHIBITED,NOT EXECUTED,"NO CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
9,R_HIP_PITCH,leg,ROBOTIS XH540-W270-R evaluation candidate,XH540,RS-485 HALF-DUPLEX,X4P 180 mm / 903-0244-000,9,11.0,0.25,model number; firmware; present voltage; present temperature; hardware error; Torque Enable=0,PROHIBITED,NOT EXECUTED,"NO CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
10,R_KNEE_PITCH,leg,ROBOTIS XH540-W270-R evaluation candidate,XH540,RS-485 HALF-DUPLEX,X4P 180 mm / 903-0244-000,10,11.0,0.25,model number; firmware; present voltage; present temperature; hardware error; Torque Enable=0,PROHIBITED,NOT EXECUTED,"NO CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
