Ref,Val,Package,PosX,PosY,Rot,Side
"C1A","10nF 50V X7R","C_0603_1608Metric",16.200000,-29.200000,180.000000,bottom
"C1B","10uF 6.3V X5R","C_0603_1608Metric",11.000000,-29.200000,180.000000,bottom
"C1C","100nF 50V X7R","C_0603_1608Metric",5.800000,-29.200000,180.000000,bottom
"C1D","10uF 6.3V X5R","C_0603_1608Metric",16.000000,-11.000000,180.000000,bottom
"C1E","100nF 50V X7R","C_0603_1608Metric",11.000000,-11.000000,180.000000,bottom
"C2A","10nF 50V X7R","C_0603_1608Metric",36.200000,-29.200000,180.000000,bottom
"C2B","10uF 6.3V X5R","C_0603_1608Metric",31.000000,-29.200000,180.000000,bottom
"C2C","100nF 50V X7R","C_0603_1608Metric",25.800000,-29.200000,180.000000,bottom
"C2D","10uF 6.3V X5R","C_0603_1608Metric",36.000000,-11.000000,180.000000,bottom
"C2E","100nF 50V X7R","C_0603_1608Metric",31.000000,-11.000000,180.000000,bottom
"C3A","10nF 50V X7R","C_0603_1608Metric",56.200000,-29.200000,180.000000,bottom
"C3B","10uF 6.3V X5R","C_0603_1608Metric",51.000000,-29.200000,180.000000,bottom
"C3C","100nF 50V X7R","C_0603_1608Metric",45.800000,-29.200000,180.000000,bottom
"C3D","10uF 6.3V X5R","C_0603_1608Metric",56.000000,-11.000000,180.000000,bottom
"C3E","100nF 50V X7R","C_0603_1608Metric",51.000000,-11.000000,180.000000,bottom
"C4A","10nF 50V X7R","C_0603_1608Metric",76.200000,-29.200000,180.000000,bottom
"C4B","10uF 6.3V X5R","C_0603_1608Metric",71.000000,-29.200000,180.000000,bottom
"C4C","100nF 50V X7R","C_0603_1608Metric",65.800000,-29.200000,180.000000,bottom
"C4D","10uF 6.3V X5R","C_0603_1608Metric",76.000000,-11.000000,180.000000,bottom
"C4E","100nF 50V X7R","C_0603_1608Metric",71.000000,-11.000000,180.000000,bottom
"D1RS","SM712 RS-485 TVS","SOT-23",15.800000,-7.500000,180.000000,bottom
"D2RS","SM712 RS-485 TVS","SOT-23",35.800000,-7.500000,180.000000,bottom
"D3RS","SM712 RS-485 TVS","SOT-23",55.800000,-7.500000,180.000000,bottom
"D4RS","SM712 RS-485 TVS","SOT-23",75.800000,-7.500000,180.000000,bottom
"FB1N","330R@100MHz isolated return bead","L_0402_1005Metric",15.400000,-14.000000,180.000000,bottom
"FB1P","330R@100MHz isolated supply bead","L_0402_1005Metric",13.000000,-14.000000,180.000000,bottom
"FB2N","330R@100MHz isolated return bead","L_0402_1005Metric",35.400000,-14.000000,180.000000,bottom
"FB2P","330R@100MHz isolated supply bead","L_0402_1005Metric",33.000000,-14.000000,180.000000,bottom
"FB3N","330R@100MHz isolated return bead","L_0402_1005Metric",55.400000,-14.000000,180.000000,bottom
"FB3P","330R@100MHz isolated supply bead","L_0402_1005Metric",53.000000,-14.000000,180.000000,bottom
"FB4N","330R@100MHz isolated return bead","L_0402_1005Metric",75.400000,-14.000000,180.000000,bottom
"FB4P","330R@100MHz isolated supply bead","L_0402_1005Metric",73.000000,-14.000000,180.000000,bottom
"RT1","120R 1% termination","R_0603_1608Metric",5.800000,-7.500000,180.000000,bottom
"RT2","120R 1% termination","R_0603_1608Metric",25.800000,-7.500000,180.000000,bottom
"RT3","120R 1% termination","R_0603_1608Metric",45.800000,-7.500000,180.000000,bottom
"RT4","120R 1% termination","R_0603_1608Metric",65.800000,-7.500000,180.000000,bottom
"J101","RS-LLEG data-only field","JST_GH_BM03B-GHS-TBT_1x03-1MP_P1.25mm_Vertical",11.000000,-4.000000,0.000000,top
"J102","RS-RLEG data-only field","JST_GH_BM03B-GHS-TBT_1x03-1MP_P1.25mm_Vertical",31.000000,-4.000000,0.000000,top
"J103","RS-LARM data-only field","JST_GH_BM03B-GHS-TBT_1x03-1MP_P1.25mm_Vertical",51.000000,-4.000000,0.000000,top
"J104","RS-RARM data-only field","JST_GH_BM03B-GHS-TBT_1x03-1MP_P1.25mm_Vertical",71.000000,-4.000000,0.000000,top
"JCA1","JST BM15B-GHS-TBT controller","JST_GH_BM15B-GHS-TBT_1x15-1MP_P1.25mm_Vertical",41.000000,-38.000000,0.000000,top
"U101","ISOW1432DFMR RS-LLEG","SOIC-20W_7.5x12.8mm_P1.27mm",11.000000,-20.000000,90.000000,top
"U102","ISOW1432DFMR RS-RLEG","SOIC-20W_7.5x12.8mm_P1.27mm",31.000000,-20.000000,90.000000,top
"U103","ISOW1432DFMR RS-LARM","SOIC-20W_7.5x12.8mm_P1.27mm",51.000000,-20.000000,90.000000,top
"U104","ISOW1432DFMR RS-RARM","SOIC-20W_7.5x12.8mm_P1.27mm",71.000000,-20.000000,90.000000,top
