reference,e2_role,terminal_count,schedule_parity,native_net_parity,release_effect,warning
PSU2,24 V control source,6,EXACT,EXACT,DIGITAL COMPATIBILITY EVIDENCE ONLY,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
J24,24 V control-source interface,4,EXACT,EXACT,DIGITAL COMPATIBILITY EVIDENCE ONLY,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
F24,unselected 24 V control protection,2,EXACT,EXACT,DIGITAL COMPATIBILITY EVIDENCE ONLY,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
PSU3,compute source,3,EXACT,EXACT,DIGITAL COMPATIBILITY EVIDENCE ONLY,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
S0,dual-NC emergency stop,4,EXACT,EXACT,DIGITAL COMPATIBILITY EVIDENCE ONLY,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
S1,RESET operator,2,EXACT,EXACT,DIGITAL COMPATIBILITY EVIDENCE ONLY,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
S2,ARM operator,2,EXACT,EXACT,DIGITAL COMPATIBILITY EVIDENCE ONLY,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
H1,diagnostic indicator,2,EXACT,EXACT,DIGITAL COMPATIBILITY EVIDENCE ONLY,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
SR1,primary safety relay candidate,16,EXACT,EXACT,DIGITAL COMPATIBILITY EVIDENCE ONLY,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
SRA1,secondary safety relay candidate,16,EXACT,EXACT,DIGITAL COMPATIBILITY EVIDENCE ONLY,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
KWD1,ordinary watchdog gate relay 1,8,EXACT,EXACT,DIGITAL COMPATIBILITY EVIDENCE ONLY,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
KWD2,ordinary watchdog gate relay 2,8,EXACT,EXACT,DIGITAL COMPATIBILITY EVIDENCE ONLY,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
K1,actuator interruption contactor 1,6,EXACT,EXACT,DIGITAL COMPATIBILITY EVIDENCE ONLY,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
K2,actuator interruption contactor 2,6,EXACT,EXACT,DIGITAL COMPATIBILITY EVIDENCE ONLY,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
DC1,watchdog control converter,3,EXACT,EXACT,DIGITAL COMPATIBILITY EVIDENCE ONLY,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
WDCTRL1,watchdog controller,11,EXACT,EXACT,DIGITAL COMPATIBILITY EVIDENCE ONLY,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
UDRV1,watchdog relay driver 1,16,EXACT,EXACT,DIGITAL COMPATIBILITY EVIDENCE ONLY,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
UDRV2,watchdog relay driver 2,16,EXACT,EXACT,DIGITAL COMPATIBILITY EVIDENCE ONLY,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
UFB1,watchdog feedback receiver,16,EXACT,EXACT,DIGITAL COMPATIBILITY EVIDENCE ONLY,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
PI1,supervisor compute,5,EXACT,EXACT,DIGITAL COMPATIBILITY EVIDENCE ONLY,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
XT1,control terminal strip,6,EXACT,EXACT,DIGITAL COMPATIBILITY EVIDENCE ONLY,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
FSR1,safety relay protection holder 1,2,EXACT,EXACT,DIGITAL COMPATIBILITY EVIDENCE ONLY,"PRELIMINARY - DIGITAL CONFIGURATION PARITY ONLY - NOT APPROVED FOR FABRICATION, CONNECTION, TEST, MOTION, OR ENERGIZATION"
