id,level,statement,priority,verification_id,status
SYS-001,system,"HR-V0 shall be a fixed bench-mounted mechanism with exactly two arm rotation axes and one gripper axis.",MUST,INSPECT-SYS-001,draft
SYS-002,system,"HR-V0 shall transfer one soft foam object of no more than 100 g and 70 mm maximum dimension.",MUST,TEST-HAND-001,draft
SYS-003,system,"Maximum shoulder-to-object reach shall not exceed 360 mm.",MUST,INSPECT-MECH-001,draft
SYS-004,system,"Automatic tool-center speed shall not exceed 0.15 m/s. The controller shall derive pose-dependent joint-rate limits from the commanded kinematics; the 30 deg/s joint cap is an additional ceiling and shall never be treated as sufficient enforcement of the tool-center limit.",MUST,TEST-CTRL-001,draft
SYS-005,system,"Setup motion shall be hold-to-run and shall not exceed 10 deg/s.",MUST,TEST-CTRL-002,draft
SYS-006,system,"The system shall operate indoors from 18 to 28 deg C in dry noncondensing conditions.",MUST,TEST-ENV-001,draft
SAFE-001,safety,"A dual-channel emergency stop shall remove actuator power without relying on software.",MUST,TEST-SAFE-001,draft
SAFE-002,safety,"Releasing or resetting the emergency stop shall not initiate motion.",MUST,TEST-SAFE-001,draft
SAFE-003,safety,"Any control-loss stop credited with reducing risk shall have a qualified ISO 12100 risk determination and a separately validated ISO 13849-1:2023 or IEC 62061 integrity allocation. The ordinary HR-V0 heartbeat controller relays drivers firmware and bus watchdog shall receive no safety credit; HR-30 and any HR-V0 configuration whose fixed guard cannot contain assumed watchdog failure shall select and validate a safety-rated control-loss architecture before motion release.",MUST,ANALYSIS-SAFE-001,draft
SAFE-004,safety,"Fixed shielding and a controlled 600 mm exclusion boundary shall be present for powered V0 fixture tests.",MUST,INSPECT-SAFE-001,draft
SAFE-005,safety,"No child shall enter the V0 test area while any actuator can be energized.",MUST,AUDIT-SAFE-001,draft
SAFE-006,safety,"Primary mechanical load paths shall survive 3 times maximum permitted operational static load without hazardous failure.",MUST,TEST-MECH-001,draft
SAFE-007,safety,"Each joint shall have independent software limits and mechanical hard stops before cable or shield contact.",MUST,INSPECT-MECH-002,draft
SAFE-008,safety,"Any restart after a safety or diagnostic dropout shall require cause removal a valid monitored physical RESET and a later distinct physical ARM action; neither action shall command torque or motion and a fresh validated trajectory shall still be required.",MUST,TEST-SAFE-003,draft
ELEC-001,electrical,"Actuator power, safety-control power, and compute power shall be separately protected domains.",MUST,INSPECT-ELEC-001,draft
ELEC-002,electrical,"Two series contactors with monitored auxiliary feedback shall interrupt the actuator rail.",MUST,TEST-SAFE-001,draft
ELEC-003,electrical,"Every actuator power branch shall be individually fused and use conductors and connectors rated for the verified load.",MUST,INSPECT-ELEC-002,draft
ELEC-004,electrical,"Exposed mains terminals shall be inaccessible without a tool and conductive enclosures and structure shall be protectively earthed.",MUST,TEST-ELEC-001,draft
CTRL-001,control,"Only deterministic versioned trajectories whose preconditions match the current configuration may command motion.",MUST,TEST-CTRL-003,draft
CTRL-002,control,"AI or language-model output shall never write actuator commands or registers directly.",MUST,INSPECT-SW-001,draft
CTRL-003,control,"Communication loss, limit violation, overtemperature, or overcurrent shall cause a latched defined fault response.",MUST,TEST-FAULT-001,draft
CTRL-004,control,"Command and feedback state shall be logged at 100 Hz or faster with a configuration hash.",MUST,TEST-LOG-001,draft
THERM-001,thermal,"During the validated duty cycle arm actuator cases shall remain below the provisional 65 deg C limit, gripper actuator cases below 60 deg C, and power conductors below 20 deg C rise at the released ambient condition.",MUST,TEST-THERM-001,draft
GRIP-001,gripper,"Grip force shall be characterized across the allowed object range using a calibrated load cell.",MUST,TEST-GRIP-001,draft
GRIP-002,gripper,"The HR-V0 gripper shall use the controlled ROBOTIS OpenMANIPULATOR-X mechanism subset with broad compliant object-contact pads and a fixed local guard that prevents access to the actuator-frame crank linkage and rail pinch zones; no human handoff is permitted.",MUST,INSPECT-GRIP-001,draft
SAFE-010,safety,"Before any actuator connection HR-V0 shall have a fixed tool-removable enclosure whose inner boundary remains outside the union of the released three-dimensional swept volume worst-case stopping travel maximum payload extent and build/calibration tolerance by the released minimum clearance in every permitted pose and fault case.",MUST,INSPECT-GUARD-001,draft
SAFE-011,safety,"A fixed receiver or catch shall contain the permitted 100 g foam object after commanded release gripper fault or actuator-power loss from every released pose without escape into an accessible area.",MUST,TEST-DROP-001,draft
MECH-001,mechanical,"Every HR-V0 moving cable and connector shall have a controlled route strain relief service loop bend/twist limit abrasion protection and retention that remains clear of hard stops pinch points guards and payloads throughout the complete mechanical range.",MUST,INSPECT-CABLE-001,draft
VER-001,verification,"The system shall complete 100 fixture handoffs with at least 99 successes and zero unsafe faults.",MUST,TEST-HAND-001,draft
CFG-001,configuration,"Every test record shall identify CAD, wiring, firmware, calibration, actuator, and BOM revisions.",MUST,AUDIT-CFG-001,draft
PROD-001,product,"HR-30 neutral-pose overall height shall be 762 mm nominal and remain between 740 and 800 mm for any released shell configuration.",MUST,INSPECT-PROD-001,draft
PROD-002,product,"HR-30 tethered mass shall target 8.0 kg and shall never exceed 10.0 kg.",MUST,TEST-MASS-001,draft
