item_id,role,bound_identifier,quantity,closure_class,remaining_evidence,warning
BOM-099,runtime observation carrier PCBA,HR-V0-RUNTIME-OBS-CARRIER-P0.5 PCBA; 49 mounted components; four M3 mounting interfaces,1,exact_candidate_hold,provider/process/DFM/FAI/received/physical/qualified evidence,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
BOM-100,Pi observation carrier PCBA,HR-V0-PI-OBS-CARRIER-P0.1 PCBA; two mounted connectors; four M2.5 mounting interfaces,1,exact_candidate_hold,provider/process/DFM/received Pi fit/physical/qualified evidence,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
BOM-101,field observation harness,HR-V0-OBSERVATION-FIELD-HARNESS-P0.1; five point-to-point conductors,1,design_required,five exact cut lengths/routes/preparation/continuity/pull evidence,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
BOM-102,compute observation harness,HR-V0-OBSERVATION-COMPUTE-HARNESS-P0.1; six point-to-point conductors,1,design_required,six exact cut lengths/routes/separation/preparation/continuity/pull evidence,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
BOM-103,runtime carrier terminal pair,"MKDS 1/6-3,5; item 1751280; JFIELD1 and JLOGIC1",2,exact_candidate_hold,"DFM, received identity, torque and installed evidence","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
BOM-104,Pi stacking header,ESQ-120-33-G-D; JPI1,1,exact_candidate_hold,"received fit, stack, land/drill DFM and support evidence","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
BOM-105,Pi carrier terminal,"MKDS 1/6-3,5; item 1751280; JOBS1",1,exact_candidate_hold,"DFM, received identity, torque and installed evidence","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
BOM-106,observation conductor stock candidates,"3051 WB005, WO005, WV005, WY005, WU005, RD005, BK005, BL005, OR005, VI005 and WH005",11,exact_candidate_hold,"procurement quantity, received identity/DCR, cuts and application evidence","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
BOM-107,runtime carrier mounting interface set,Runtime observation carrier four-site M3 standoff/fastener/panel interface set,1,design_required,"exact standoffs, screws, panel hardware, height, torque and proof","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
BOM-108,Pi carrier mounting interface set,Pi observation carrier four-site M2.5 stack/fastener interface set,1,design_required,"exact spacers/standoffs, screws, stack height, torque and fit","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
