source_id,source,revision_or_date,sha256,verified_use,boundary,warning
KAP3-SRC-001,electrical/kicad/project-button-v3-p1.15-carrier-candidate/04_contactor_edm.kicad_sch,repository source rechecked 2026-08-11,9F7E115E90D38E96EE55D141A351A43B4246C06170E1742547D79BAA883026FB,"current P1.15 K1/K2 coil, mirror-contact and diagnostic topology",source/configuration evidence only; no physical or application-suitability proof,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
KAP3-SRC-002,electrical/kicad/project-button-v3-p1.15-carrier-candidate/05_actuator_interruption.kicad_sch,repository source rechecked 2026-08-11,4BB7239AA70C246CF1E295D0486B4AB5F3E150B93D14CCA4C463DD8893F1EE10,current P1.15 six-pole actuator interruption topology,source/configuration evidence only; no physical or application-suitability proof,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
KAP3-SRC-003,electrical/kicad/project-button-v3-p1.15-carrier-candidate/wire-number-table.csv,repository source rechecked 2026-08-11,C1714A0FFEE789089B564D2FC2C5ECC0349532E92446BF9788DF40467FFE77EE,current P1.15 terminal/net schedule,source/configuration evidence only; no physical or application-suitability proof,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
KAP3-SRC-004,electrical/kicad/project-button-v3-p1.15-carrier-candidate/validation/project-button-v3-p1.15-carrier-candidate.net,repository source rechecked 2026-08-11,3D7B30E79E5C907ECCE64240298BF35CA09D568982E27EC7E1D6F4B534AA4984,current P1.15 machine netlist,source/configuration evidence only; no physical or application-suitability proof,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
KAP3-SRC-005,electrical/kicad/project-button-v3-p1.18-panel-topology-candidate/04_contactor_edm.kicad_sch,repository source rechecked 2026-08-11,B1E61C95D6FEE40D9EF8CB9B07079B13CCA71503CFCFD1464B7AC16F25A1FF18,"unaccepted P1.18 K1/K2 coil, mirror-contact and diagnostic topology",source/configuration evidence only; no physical or application-suitability proof,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
KAP3-SRC-006,electrical/kicad/project-button-v3-p1.18-panel-topology-candidate/05_actuator_interruption.kicad_sch,repository source rechecked 2026-08-11,78F573544E90F0645E7E263D9B1C19D6CAAAF1C86F79DCA5C1B77346420A8C8C,unaccepted P1.18 six-pole actuator interruption topology,source/configuration evidence only; no physical or application-suitability proof,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
KAP3-SRC-007,electrical/kicad/project-button-v3-p1.18-panel-topology-candidate/wire-number-table.csv,repository source rechecked 2026-08-11,D03375548EC137CCDE26684851EFDAA75B7DD3266EB0A73B6BC3AC697DC95220,unaccepted P1.18 terminal/net schedule,source/configuration evidence only; no physical or application-suitability proof,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
KAP3-SRC-008,electrical/kicad/project-button-v3-p1.18-panel-topology-candidate/validation/project-button-v3-p1.18-panel-topology-candidate.net,repository source rechecked 2026-08-11,AC85CDBAAC3E78FCF4C8BA300FD3DFE4095B67AC4168AEA05AB34A27C0726D4E,unaccepted P1.18 machine netlist,source/configuration evidence only; no physical or application-suitability proof,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
KAP3-SRC-009,electrical/contactor/hr-v0-lc1d25bd-application-inputs-p0.2.csv,repository source rechecked 2026-08-11,D4BAB7050AF84A736A6491D07C401D6F627921795194BCD87E705708314007B8,R117 application-envelope register retained without inventing measurements,source/configuration evidence only; no physical or application-suitability proof,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
KAP3-SRC-010,docs/hr-v0-contactor-application-p0.2.md,repository source rechecked 2026-08-11,3019D29857565654E422CF021B747013FC3BFD990018EBEB4A997C4477A21FF7,R117 controlled application rationale,source/configuration evidence only; no physical or application-suitability proof,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
KAP3-SRC-011,https://www.se.com/us/en/download/document/MKTED210011EN/,MKTED210011EN version 17.1; 2026-07-10; rechecked 2026-08-11,REMOTE_PRIMARY_SOURCE; R117 controlled PDF hash ACE31998C5091FAAC5BD15C6BE1CC272E52501161B96D3184BDBBB64F9EA8293,Schneider directs DC applications to DC-1 through DC-5 tables and three-pole series selection; critical-current warning retained,catalog table is not a Project Button application disposition,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
KAP3-SRC-012,https://iportal.se.com/Contents/docs/SQD-LC1D25BD.PDF,LC1D25BD product sheet dated 2017-09-13; rechecked 2026-08-11,REMOTE_PRIMARY_SOURCE; R117 controlled PDF hash 333EFD8170CDFADAAFBBA19CF07518E0C379380BC4BDA85D2A9355A4DB360D63,"24 VDC coil, 16..24 ms opening, 1NO+1NC mechanically linked, NC mirror contact, 5 mA at 17 V signalling minimum",the sheet expressly disclaims application-suitability determination; AC marketing ratings are not DC interruption approval,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
KAP3-SRC-013,https://www.se.com/uk/en/faqs/FAQ000273244/,published 2025-04-04; modified 2026-05-02; rechecked 2026-08-11,NOT_APPLICABLE_REMOTE_PRIMARY_SOURCE,official direction to use TeSys catalog chapter A5 DC-1 through DC-5 tables and coordination guidance,FAQ does not classify or approve the electronic/capacitive/regenerative robot load,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
