page,title,p118_svg,p118_sha256,p119_svg,p119_sha256,baseline_visual_finding,correction,review_viewport_px,project_visual_result,independent_review,qualified_electrical_review,warning
0,Index,electrical/kicad/project-button-v3-p1.18-panel-topology-candidate/output/project-button-v3-p1.18-panel-topology-candidate.svg,1DBAB49E44972EA1D4DFB1BA45B6354219A35F02B1F62B37EE82839D695A82EF,electrical/kicad/project-button-v3-p1.19-visual-correction-candidate/output/project-button-v3-p1.19-visual-correction-candidate.svg,B54B27B447A06D0C099AD3737F183337D32E38298B87AD53796613343C797294,Overflowing title-block revision/warning and ambiguous P1.15/P1.18 narrative,Short P1.19 title cells; explicit P1.18-connectivity-preserved subtitle,1680x1188,PASS,OPEN,OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
1,External sources and DC boundaries,electrical/kicad/project-button-v3-p1.18-panel-topology-candidate/output/project-button-v3-p1.18-panel-topology-candidate-01 External listed sources and DC boundaries.svg,DF6FD4BDF59D633E078149C1EA1520AE1D413993159B2B76BAA6667DF4F6A8D4,electrical/kicad/project-button-v3-p1.19-visual-correction-candidate/output/project-button-v3-p1.19-visual-correction-candidate-01 External listed sources and DC boundaries.svg,4553CBBDF93BCCA88351986D6659B5538BB54307E54D379D06E4FAA65CD91FC0,Clipped edge labels; PSA1/JA1 and XD24/XD0 captions/labels collided,"A2 reflow, bounded right column, shortened visible distribution captions",1680x1188,PASS,OPEN,OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
2,E-stop and RESET eligibility,electrical/kicad/project-button-v3-p1.18-panel-topology-candidate/output/project-button-v3-p1.18-panel-topology-candidate-02 Dual-channel E-stop and RESET eligibility.svg,5AC85A2B68619018C5E9D21A2EFE191EA88421F31E67B3A7B24178A92565A265,electrical/kicad/project-button-v3-p1.19-visual-correction-candidate/output/project-button-v3-p1.19-visual-correction-candidate-02 Dual-channel E-stop and RESET eligibility.svg,7EC6491B8A9974C78E0945D39EA9316AB829959A1558B46EC9D84B7FB3E72127,Edge clipping and dense S0/SR1/S1/XN label fields,A2 two-row reflow with 170-200 mm column spacing,1680x1188,PASS,OPEN,OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
3,ARM and watchdog gate,electrical/kicad/project-button-v3-p1.18-panel-topology-candidate/output/project-button-v3-p1.18-panel-topology-candidate-03 Distinct ARM and watchdog-gated SR1 supply.svg,A8573CF0E5CC8CEB7A87E7EC83DA37CECB4F16FA5A7CE177F6747A991BB973CE,electrical/kicad/project-button-v3-p1.19-visual-correction-candidate/output/project-button-v3-p1.19-visual-correction-candidate-03 Distinct ARM and watchdog-gated SR1 supply.svg,A96AE6E5E9A9746967387EC8440D339E16D1CF260AF1CE0FE22ADCB3238A76F8,Edge clipping and overlapping KWD interstage labels,A2 two-row reflow with right column moved inward,1680x1188,PASS,OPEN,OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
4,Contactor coils and EDM,"electrical/kicad/project-button-v3-p1.18-panel-topology-candidate/output/project-button-v3-p1.18-panel-topology-candidate-04 Contactor coils, mirror contacts and EDM.svg",1FF8E38342336E6FE49C9E317125201A782EE549483D30170AA8DF84777BC673,"electrical/kicad/project-button-v3-p1.19-visual-correction-candidate/output/project-button-v3-p1.19-visual-correction-candidate-04 Contactor coils, mirror contacts and EDM.svg",ECD373F2EBCD5CFBC23D3D9A82FD8AE6E184289FCD93933211A0ABF2797B5481,Title-block warning/revision overflow,Bounded title cells and rewrapped notes,1680x1188,PASS,OPEN,OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
5,Actuator-power interruption,electrical/kicad/project-button-v3-p1.18-panel-topology-candidate/output/project-button-v3-p1.18-panel-topology-candidate-05 Redundant actuator-power interruption.svg,9EB8AD77E04BA04C14570C1C182193F845B8A79A38A083D0A9FFAE813D50E7EE,electrical/kicad/project-button-v3-p1.19-visual-correction-candidate/output/project-button-v3-p1.19-visual-correction-candidate-05 Redundant actuator-power interruption.svg,964A9E8B53184A19BC3FBB7CB5B469AB82CB28D3AE6D561B491CF88F048AA689,Title-block warning/revision overflow,Bounded title cells and rewrapped notes,1680x1188,PASS,OPEN,OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
6,Protected branches,electrical/kicad/project-button-v3-p1.18-panel-topology-candidate/output/project-button-v3-p1.18-panel-topology-candidate-06 Protected actuator branches and current-limiter carriers.svg,0EA45C9D22F5A18BCE34AC49B5E14B0019D4C1EDE71C861F344BDE53C91BCC1F,electrical/kicad/project-button-v3-p1.19-visual-correction-candidate/output/project-button-v3-p1.19-visual-correction-candidate-06 Protected actuator branches and current-limiter carriers.svg,D1594A97A9ECB9381177ECF209BD83ED7084A8FE731B10C17C22B03A6B179920,Title-block overflow; edge labels approached the frame,Bounded title cells; final labels visually inside the page,1680x1188,PASS,OPEN,OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
7,Watchdog controller and drivers,"electrical/kicad/project-button-v3-p1.18-panel-topology-candidate/output/project-button-v3-p1.18-panel-topology-candidate-07 Independent watchdog power, controller and drivers.svg",B9237EAC586A8CAA38815F1B97D07C328AC42BB259451DCB28C09CDB8A31812E,"electrical/kicad/project-button-v3-p1.19-visual-correction-candidate/output/project-button-v3-p1.19-visual-correction-candidate-07 Independent watchdog power, controller and drivers.svg",389781B2F16CFCE5EEA56A4606045EB2A730C60E34C48833C521F1FE00126ADE,UDRV1/RHP1 boxes and WDCTRL1/UDRV2 label fields overlapped,A2 three-row reflow with isolated controller/driver columns,1680x1188,PASS,OPEN,OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
8,Watchdog feedback,electrical/kicad/project-button-v3-p1.18-panel-topology-candidate/output/project-button-v3-p1.18-panel-topology-candidate-08 Calculated dual-channel 24 V watchdog feedback.svg,A6F82B792C705157A7E718C7A0015B7D2E2D2AEEEA9400AAB66D622AF159D1C2,electrical/kicad/project-button-v3-p1.19-visual-correction-candidate/output/project-button-v3-p1.19-visual-correction-candidate-08 Calculated dual-channel 24 V watchdog feedback.svg,95B27C6FDB111D43831C56545E14C9E9A258B39F471C5CCCDC90AEF22E54079B,Title-block warning/revision overflow,Bounded title cells and rewrapped notes,1680x1188,PASS,OPEN,OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
9,Compute and control terminals,electrical/kicad/project-button-v3-p1.18-panel-topology-candidate/output/project-button-v3-p1.18-panel-topology-candidate-09 Compute and control terminals.svg,CA808C10ADA87582A46F98E2D83D1444E12715D3E640A7312FD7F80FF43C0EC0,electrical/kicad/project-button-v3-p1.19-visual-correction-candidate/output/project-button-v3-p1.19-visual-correction-candidate-09 Compute and control terminals.svg,919E8702DED6C4A680F49FD7310C5CFDDE39C59EEFB1F60714EB6B70FD54E314,XT1 visible value ran beyond its block; notes entered the title-block region,Short visible XT1 caption; 90-character note wrap above the frame bottom,1680x1188,PASS,OPEN,OPEN,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
