acceptance_id,criterion,execution_state,result,evidence_uri,approver,warning
ACC-01,All three received boards fit BP-026 with positive recorded boundary margins,NOT EXECUTED,OPEN,,,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
ACC-02,All twelve received board holes align to the center-only overlay within an approved positional tolerance,NOT EXECUTED,OPEN,,,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
ACC-03,Every received screw has positive engagement and bottom-out reserve under the approved tolerance stack,NOT EXECUTED,OPEN,,,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
ACC-04,"Standoff bodies and screw heads clear board edges, parts, copper and connectors under received dimensions",NOT EXECUTED,OPEN,,,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
ACC-05,"Mated JST housings, conductors and service loops clear adjacent boards, duct, cover and service tools",NOT EXECUTED,OPEN,,,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
ACC-06,"Panel-side screw heads clear enclosure walls, bosses and wiring under the installed panel offset",NOT EXECUTED,OPEN,,,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
ACC-07,"Selected nylon/brass hardware is accepted for temperature, fire, creep and electrical-boundary use",NOT EXECUTED,OPEN,,,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
ACC-08,"Backplate hole/finish process has qualified diameter, positional tolerance, deburr and coating controls",NOT EXECUTED,OPEN,,,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
ACC-09,"Approved torque/locking/reuse method passes pull, shear, creep, vibration and transport tests",NOT EXECUTED,OPEN,,,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
ACC-10,R162 placement is reconciled into panel layout and all affected harness routes,NOT EXECUTED,OPEN,,,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
ACC-11,Qualified mechanical/electrical/enclosure reviewers sign the exact received configuration,NOT EXECUTED,OPEN,,,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
ACC-12,A distinct work authorization releases only the next named operation,NOT EXECUTED,OPEN,,,"PRELIMINARY - NOT APPROVED FOR SUPPLIER UPLOAD, QUOTATION, PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, MOTION, OR ENERGIZATION"
