hold_id,subject,state,evidence_required,accepted,warning
PCS-HOLD-001,from/to topology,SELECTION REQUIRED,Convert 66 endpoint records into an accepted point-to-point from/to schedule with no implicit splices,FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
PCS-HOLD-002,door loom,SELECTION REQUIRED,"Select dynamic-flex cable/wire; freeze door travel, bend, torsion, abrasion, separation and cycle-life evidence",FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
PCS-HOLD-003,wire colors and order codes,SELECTION REQUIRED,Qualified electrical reviewer accepts color convention; exact active Belden suffixes or alternate MPNs frozen,FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
PCS-HOLD-004,cut lengths and routes,SELECTION REQUIRED,"Received panel/door geometry, measured routes, service loops, bend radii, duct allocation and cut-list approval",FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
PCS-HOLD-005,termination processes,SELECTION REQUIRED,"Exact direct/ferrule/lug choice per end; accessory MPN, tool/die, strip, torque, inspection and pull-test method",FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
PCS-HOLD-006,DCR and voltage drop,SELECTION REQUIRED,Controlled DCR/temperature basis or received-lot measurement plus frozen lengths and maximum branch currents,FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
PCS-HOLD-007,ampacity and bundling,SELECTION REQUIRED,"Accepted jurisdictional method, ambient, conductor count, duty, duct fill, enclosure temperature and derating",FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
PCS-HOLD-008,F24 and branch protection,SELECTION REQUIRED,Measured source/fault/inrush behavior and coordinated fuse/holder/terminal/conductor time-current evidence,FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
PCS-HOLD-009,received terminal identity,SELECTION REQUIRED,"Received markings, range, strip/torque, polarity and terminal accessory reconciliation for every family",FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
PCS-HOLD-010,installed inspection,SELECTION REQUIRED,"Point-to-point, polarity, isolation, torque, pull, labels, separation, cover fit and deviation records",FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
PCS-HOLD-011,thermal/fault testing,SELECTION REQUIRED,Worst-duty temperature survey plus open/short/cross-short/ground fault injection under controlled authorization,FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
PCS-HOLD-012,qualified release,SELECTION REQUIRED,Signed electrical and functional-safety review plus separate stage-specific work authorization,FALSE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
