placement_id,nearest_placement_id,nominal_aabb_clearance_mm,nominal_envelope_overlap,screen_scope,unresolved,authority,warning
ATB-L_HIP_YAW,ATB-L_HIP_ROLL,3.000,NO,STANDARD 34 x 31 x 28 mm CASSETTE ENVELOPES IN NEUTRAL NOMINAL PLACEMENT ONLY,BODY/COVER/CABLE/JOINED-HARDWARE TOLERANCE AND MOVING-SWEEP COLLISION NOT EVALUATED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - DIMENSIONED TRANSITION-BRACKET CANDIDATE - CONNECTOR FIT AND MANUFACTURING CUTOUT NOT RELEASED - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
ATB-L_HIP_ROLL,ATB-L_HIP_YAW,3.000,NO,STANDARD 34 x 31 x 28 mm CASSETTE ENVELOPES IN NEUTRAL NOMINAL PLACEMENT ONLY,BODY/COVER/CABLE/JOINED-HARDWARE TOLERANCE AND MOVING-SWEEP COLLISION NOT EVALUATED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - DIMENSIONED TRANSITION-BRACKET CANDIDATE - CONNECTOR FIT AND MANUFACTURING CUTOUT NOT RELEASED - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
ATB-L_HIP_PITCH,ATB-L_HIP_ROLL,3.000,NO,STANDARD 34 x 31 x 28 mm CASSETTE ENVELOPES IN NEUTRAL NOMINAL PLACEMENT ONLY,BODY/COVER/CABLE/JOINED-HARDWARE TOLERANCE AND MOVING-SWEEP COLLISION NOT EVALUATED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - DIMENSIONED TRANSITION-BRACKET CANDIDATE - CONNECTOR FIT AND MANUFACTURING CUTOUT NOT RELEASED - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
ATB-L_KNEE_PITCH,ATB-L_GRIPPER,41.139,NO,STANDARD 34 x 31 x 28 mm CASSETTE ENVELOPES IN NEUTRAL NOMINAL PLACEMENT ONLY,BODY/COVER/CABLE/JOINED-HARDWARE TOLERANCE AND MOVING-SWEEP COLLISION NOT EVALUATED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - DIMENSIONED TRANSITION-BRACKET CANDIDATE - CONNECTOR FIT AND MANUFACTURING CUTOUT NOT RELEASED - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
ATB-L_ANKLE_PITCH,ATB-L_ANKLE_ROLL,5.000,NO,STANDARD 34 x 31 x 28 mm CASSETTE ENVELOPES IN NEUTRAL NOMINAL PLACEMENT ONLY,BODY/COVER/CABLE/JOINED-HARDWARE TOLERANCE AND MOVING-SWEEP COLLISION NOT EVALUATED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - DIMENSIONED TRANSITION-BRACKET CANDIDATE - CONNECTOR FIT AND MANUFACTURING CUTOUT NOT RELEASED - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
ATB-L_ANKLE_ROLL,ATB-L_ANKLE_PITCH,5.000,NO,STANDARD 34 x 31 x 28 mm CASSETTE ENVELOPES IN NEUTRAL NOMINAL PLACEMENT ONLY,BODY/COVER/CABLE/JOINED-HARDWARE TOLERANCE AND MOVING-SWEEP COLLISION NOT EVALUATED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - DIMENSIONED TRANSITION-BRACKET CANDIDATE - CONNECTOR FIT AND MANUFACTURING CUTOUT NOT RELEASED - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
ATB-R_HIP_YAW,ATB-R_HIP_ROLL,3.000,NO,STANDARD 34 x 31 x 28 mm CASSETTE ENVELOPES IN NEUTRAL NOMINAL PLACEMENT ONLY,BODY/COVER/CABLE/JOINED-HARDWARE TOLERANCE AND MOVING-SWEEP COLLISION NOT EVALUATED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - DIMENSIONED TRANSITION-BRACKET CANDIDATE - CONNECTOR FIT AND MANUFACTURING CUTOUT NOT RELEASED - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
ATB-R_HIP_ROLL,ATB-R_HIP_YAW,3.000,NO,STANDARD 34 x 31 x 28 mm CASSETTE ENVELOPES IN NEUTRAL NOMINAL PLACEMENT ONLY,BODY/COVER/CABLE/JOINED-HARDWARE TOLERANCE AND MOVING-SWEEP COLLISION NOT EVALUATED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - DIMENSIONED TRANSITION-BRACKET CANDIDATE - CONNECTOR FIT AND MANUFACTURING CUTOUT NOT RELEASED - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
ATB-R_HIP_PITCH,ATB-R_HIP_ROLL,3.000,NO,STANDARD 34 x 31 x 28 mm CASSETTE ENVELOPES IN NEUTRAL NOMINAL PLACEMENT ONLY,BODY/COVER/CABLE/JOINED-HARDWARE TOLERANCE AND MOVING-SWEEP COLLISION NOT EVALUATED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - DIMENSIONED TRANSITION-BRACKET CANDIDATE - CONNECTOR FIT AND MANUFACTURING CUTOUT NOT RELEASED - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
ATB-R_KNEE_PITCH,ATB-R_GRIPPER,41.139,NO,STANDARD 34 x 31 x 28 mm CASSETTE ENVELOPES IN NEUTRAL NOMINAL PLACEMENT ONLY,BODY/COVER/CABLE/JOINED-HARDWARE TOLERANCE AND MOVING-SWEEP COLLISION NOT EVALUATED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - DIMENSIONED TRANSITION-BRACKET CANDIDATE - CONNECTOR FIT AND MANUFACTURING CUTOUT NOT RELEASED - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
