pair_id,coordinate,q1_lo_deg,q1_hi_deg,q2_lo_deg,q2_hi_deg,center_distance_mm,motion_bound_mm,guaranteed_clearance_mm,distance_method,subdivision_depth,status
BASE_UPPER:COLUMN:J1_H101,J1,-20.000000000,70.000000000,,,53.716331846,27.386560720,26.329771126,AABB_LOWER_BOUND,0,CERTIFIED_NOMINAL_MODEL_SPACE
BASE_UPPER:COLUMN:UPPER_PROX_ADAPTER,J1,-20.000000000,70.000000000,,,81.574483850,35.276659863,46.297823988,AABB_LOWER_BOUND,0,CERTIFIED_NOMINAL_MODEL_SPACE
BASE_UPPER:COLUMN:UPPER_MEMBER,J1,-20.000000000,25.000000000,,,101.638089554,55.768984562,45.869104992,AABB_LOWER_BOUND,1,CERTIFIED_NOMINAL_MODEL_SPACE
BASE_UPPER:COLUMN:UPPER_MEMBER,J1,25.000000000,70.000000000,,,74.333336535,55.768984562,18.564351973,AABB_LOWER_BOUND,1,CERTIFIED_NOMINAL_MODEL_SPACE
BASE_UPPER:COLUMN:UPPER_DIST_ADAPTER,J1,-20.000000000,70.000000000,,,174.237553254,116.829152390,57.408400865,AABB_LOWER_BOUND,0,CERTIFIED_NOMINAL_MODEL_SPACE
BASE_UPPER:COLUMN:J2_BODY,J1,-20.000000000,70.000000000,,,198.192141716,166.049001526,32.143140190,AABB_LOWER_BOUND,0,CERTIFIED_NOMINAL_MODEL_SPACE
BASE_UPPER:COLUMN:J2_S102,J1,-20.000000000,70.000000000,,,191.156069887,126.192322080,64.963747806,AABB_LOWER_BOUND,0,CERTIFIED_NOMINAL_MODEL_SPACE
BASE_UPPER:SHOULDER_SUPPORT:J1_H101,J1,-20.000000000,70.000000000,,,44.190010870,27.386560720,16.803450150,AABB_LOWER_BOUND,0,CERTIFIED_NOMINAL_MODEL_SPACE
BASE_UPPER:SHOULDER_SUPPORT:UPPER_PROX_ADAPTER,J1,-20.000000000,70.000000000,,,72.048162874,35.276659863,36.771503011,AABB_LOWER_BOUND,0,CERTIFIED_NOMINAL_MODEL_SPACE
BASE_UPPER:SHOULDER_SUPPORT:UPPER_MEMBER,J1,-20.000000000,25.000000000,,,92.111768577,55.768984562,36.342784016,AABB_LOWER_BOUND,1,CERTIFIED_NOMINAL_MODEL_SPACE
BASE_UPPER:SHOULDER_SUPPORT:UPPER_MEMBER,J1,25.000000000,70.000000000,,,64.807015559,55.768984562,9.038030997,AABB_LOWER_BOUND,1,CERTIFIED_NOMINAL_MODEL_SPACE
BASE_UPPER:SHOULDER_SUPPORT:UPPER_DIST_ADAPTER,J1,-20.000000000,70.000000000,,,164.711232278,116.829152390,47.882079888,AABB_LOWER_BOUND,0,CERTIFIED_NOMINAL_MODEL_SPACE
BASE_UPPER:SHOULDER_SUPPORT:J2_BODY,J1,-20.000000000,70.000000000,,,188.685279390,166.049001526,22.636277864,AABB_LOWER_BOUND,0,CERTIFIED_NOMINAL_MODEL_SPACE
BASE_UPPER:SHOULDER_SUPPORT:J2_S102,J1,-20.000000000,70.000000000,,,181.640578286,126.192322080,55.448256206,AABB_LOWER_BOUND,0,CERTIFIED_NOMINAL_MODEL_SPACE
BASE_UPPER:J1_BODY:UPPER_PROX_ADAPTER,J1,-20.000000000,2.500000000,,,14.829612349,9.035450787,5.794161562,AABB_LOWER_BOUND,2,CERTIFIED_NOMINAL_MODEL_SPACE
BASE_UPPER:J1_BODY:UPPER_PROX_ADAPTER,J1,2.500000000,25.000000000,,,12.573740125,9.035450787,3.538289338,AABB_LOWER_BOUND,2,CERTIFIED_NOMINAL_MODEL_SPACE
BASE_UPPER:J1_BODY:UPPER_PROX_ADAPTER,J1,25.000000000,47.500000000,,,12.189569378,9.035450787,3.154118591,EXACT_BREP_DISTANCE,2,CERTIFIED_NOMINAL_MODEL_SPACE
BASE_UPPER:J1_BODY:UPPER_PROX_ADAPTER,J1,47.500000000,70.000000000,,,11.584640383,9.035450787,2.549189596,EXACT_BREP_DISTANCE,2,CERTIFIED_NOMINAL_MODEL_SPACE
BASE_UPPER:J1_BODY:UPPER_MEMBER,J1,-20.000000000,-8.750000000,,,21.504084825,14.026602364,7.477482460,AABB_LOWER_BOUND,3,CERTIFIED_NOMINAL_MODEL_SPACE
BASE_UPPER:J1_BODY:UPPER_MEMBER,J1,-8.750000000,2.500000000,,,26.617473155,14.026602364,12.590870791,AABB_LOWER_BOUND,3,CERTIFIED_NOMINAL_MODEL_SPACE
BASE_UPPER:J1_BODY:UPPER_MEMBER,J1,2.500000000,13.750000000,,,24.526023308,14.026602364,10.499420943,AABB_LOWER_BOUND,3,CERTIFIED_NOMINAL_MODEL_SPACE
BASE_UPPER:J1_BODY:UPPER_MEMBER,J1,13.750000000,25.000000000,,,18.782856373,14.026602364,4.756254009,AABB_LOWER_BOUND,3,CERTIFIED_NOMINAL_MODEL_SPACE
BASE_UPPER:J1_BODY:UPPER_MEMBER,J1,25.000000000,36.250000000,,,22.178952466,14.026602364,8.152350102,EXACT_BREP_DISTANCE,3,CERTIFIED_NOMINAL_MODEL_SPACE
BASE_UPPER:J1_BODY:UPPER_MEMBER,J1,36.250000000,47.500000000,,,21.440971566,14.026602364,7.414369202,EXACT_BREP_DISTANCE,3,CERTIFIED_NOMINAL_MODEL_SPACE
BASE_UPPER:J1_BODY:UPPER_MEMBER,J1,47.500000000,58.750000000,,,21.075057965,14.026602364,7.048455601,EXACT_BREP_DISTANCE,3,CERTIFIED_NOMINAL_MODEL_SPACE
BASE_UPPER:J1_BODY:UPPER_MEMBER,J1,58.750000000,70.000000000,,,21.340833874,14.026602364,7.314231509,EXACT_BREP_DISTANCE,3,CERTIFIED_NOMINAL_MODEL_SPACE
BASE_UPPER:J1_BODY:UPPER_DIST_ADAPTER,J1,-20.000000000,25.000000000,,,120.331228568,59.558985399,60.772243169,AABB_LOWER_BOUND,1,CERTIFIED_NOMINAL_MODEL_SPACE
BASE_UPPER:J1_BODY:UPPER_DIST_ADAPTER,J1,25.000000000,70.000000000,,,92.623130533,59.558985399,33.064145134,AABB_LOWER_BOUND,1,CERTIFIED_NOMINAL_MODEL_SPACE
BASE_UPPER:J1_BODY:J2_BODY,J1,-20.000000000,25.000000000,,,143.250935140,84.651046893,58.599888247,AABB_LOWER_BOUND,1,CERTIFIED_NOMINAL_MODEL_SPACE
BASE_UPPER:J1_BODY:J2_BODY,J1,25.000000000,70.000000000,,,121.376424706,84.651046893,36.725377814,AABB_LOWER_BOUND,1,CERTIFIED_NOMINAL_MODEL_SPACE
BASE_UPPER:J1_BODY:J2_S102,J1,-20.000000000,70.000000000,,,132.354648568,126.192322080,6.162326487,EXACT_BREP_DISTANCE,0,CERTIFIED_NOMINAL_MODEL_SPACE
BASE_UPPER:J1_S102:UPPER_PROX_ADAPTER,J1,-20.000000000,70.000000000,,,59.049032078,35.276659863,23.772372216,AABB_LOWER_BOUND,0,CERTIFIED_NOMINAL_MODEL_SPACE
BASE_UPPER:J1_S102:UPPER_MEMBER,J1,-20.000000000,25.000000000,,,79.112637782,55.768984562,23.343653220,AABB_LOWER_BOUND,1,CERTIFIED_NOMINAL_MODEL_SPACE
BASE_UPPER:J1_S102:UPPER_MEMBER,J1,25.000000000,70.000000000,,,60.449853204,55.768984562,4.680868642,EXACT_BREP_DISTANCE,1,CERTIFIED_NOMINAL_MODEL_SPACE
BASE_UPPER:J1_S102:UPPER_DIST_ADAPTER,J1,-20.000000000,70.000000000,,,153.371558314,116.829152390,36.542405924,AABB_LOWER_BOUND,0,CERTIFIED_NOMINAL_MODEL_SPACE
BASE_UPPER:J1_S102:J2_BODY,J1,-20.000000000,70.000000000,,,178.910508750,166.049001526,12.861507224,AABB_LOWER_BOUND,0,CERTIFIED_NOMINAL_MODEL_SPACE
BASE_UPPER:J1_S102:J2_S102,J1,-20.000000000,70.000000000,,,171.508781053,126.192322080,45.316458973,AABB_LOWER_BOUND,0,CERTIFIED_NOMINAL_MODEL_SPACE
