bound_id,quantity,expression,value,unit,basis,authority,closure_evidence,status
PLB-001,controlled moving-system mass ceiling,sum of unique allocation buckets,0.750000,kg,bom/hr-v0-moving-mass-ledger.csv,PROJECT REQUIREMENT CEILING,replace estimates with received mass/COM/inertia without exceeding the controlled ceiling,BOUND INPUT - PHYSICAL CLOSURE OPEN
PLB-002,maximum controlled shoulder radius,max recorded shoulder_radius_mm / 1000,0.360000,m,bom/hr-v0-moving-mass-ledger.csv payload radius,PROJECT GEOMETRIC CEILING,as-built swept-volume and pose metrology,BOUND INPUT - PHYSICAL CLOSURE OPEN
PLB-003,configuration-independent vertical point excursion,2 * radius,0.720000,m,diameter of the controlled radius sphere,CONSERVATIVE GEOMETRIC BOUND,continuous as-built pose and receiver analysis,CALCULATED BOUND
PLB-004,standard gravity,defined constant,9.80665,m/s^2,project calculation convention,CALCULATION CONSTANT,none for arithmetic; test-site gravity correction not required at this resolution,CALCULATION INPUT
PLB-005,whole moving-system gravitational potential bound,mass * g * 2 * radius,5.295591,J,PLB-001 through PLB-004,GRAVITATIONAL-ONLY ALLOCATION INPUT,"selected receiver/guard load path, material properties, uncertainty, proof and dynamic test",NOT AN IMPACT RATING
PLB-006,100 g payload gravitational potential bound,0.100 * g * 2 * radius,0.706079,J,controlled payload ceiling and PLB-002 through PLB-004,PAYLOAD-ONLY ALLOCATION INPUT,"selected foam object, drop height, rebound and receiver proof",NOT AN IMPACT RATING
PLB-007,ideal point-mass free-fall speed screen,sqrt(2 * g * 2 * radius),3.757869,m/s,PLB-002 through PLB-004,SCREEN ONLY,measured joint/link velocity from released power-loss tests,NOT A ROBOT SPEED OR IMPACT PREDICTION
PLB-008,receiver design energy,"selection required from configured mass/COM/inertia, continued-drive exclusion and accepted factor",SELECTION REQUIRED,J,PLB-005 is gravitational input only,QUALIFIED MECHANICAL DECISION REQUIRED,"accepted load cases, factor, material/retention design and proof plan",OPEN - BLOCKS FABRICATION AND MOTION
PLB-009,allowable receiver travel,selection required,SELECTION REQUIRED,mm,"access, clearance, cable and rebound limits",QUALIFIED MECHANICAL DECISION REQUIRED,guard/receiver CAD and physical measurement,OPEN - BLOCKS FABRICATION AND MOTION
PLB-010,allowable peak receiver reaction,selection required,SELECTION REQUIRED,N,complete load path and accepted material allowables,QUALIFIED MECHANICAL DECISION REQUIRED,"analysis, calibrated force measurement and proof",OPEN - BLOCKS FABRICATION AND MOTION
PLB-011,allowable rebound and final resting envelope,selection required,SELECTION REQUIRED,mm,fixed-guard access and secondary-contact analysis,QUALIFIED SAFETY/MECHANICAL DECISION REQUIRED,"high-speed video, as-built sweep and access assessment",OPEN - BLOCKS MOTION
PLB-012,coverage beyond gravitational collapse,continued drive + stored energy + electrical regeneration + detached parts,NOT COVERED,case set,separate HR-V0-GUARD-IMPACT-P0.1 allocations,EXPLICIT EXCLUSION,separate accepted cases and physical evidence,OPEN - NO EXTRAPOLATION PERMITTED
