strategy_id,subject,assumed_power_loss_behavior,credited_protection_after_acceptance,explicitly_uncredited,evidence_to_close,status
PLC-001,J1 shoulder axis,may backdrive or move through the full physically available range,fixed guard plus passive receiver and released bidirectional hard stops,"actuator holding torque, friction, software, DF-01, controlled stop","J1 min/max stop design, receiver load path, continuous sweep and physical drop/backdrive test",SELECTED STRATEGY - IMPLEMENTATION OPEN
PLC-002,J2 elbow axis,may backdrive or move until a physical boundary or receiver contact,fixed guard plus passive receiver and released bidirectional hard stops,"XM540 holding, present J2-positive CAD candidate, software, DF-01","J2-min stop, positive-stop physical validation, receiver proof and full-pose test",SELECTED STRATEGY - IMPLEMENTATION OPEN
PLC-003,gripper mechanism,"may open, close, relax or release the object",fixed object receiver/catch inside the inaccessible enclosure,"servo holding, friction, commanded close, software","selected gripper, object, catch, release/drop/rebound testing",SELECTED STRATEGY - IMPLEMENTATION OPEN
PLC-004,100 g foam object,may fall from any released pose,fixed receiver with no escape into an accessible area,"grip force, adhesion, operator catch","serialized object, all-pose drop coverage and receiver inspection",SELECTED STRATEGY - IMPLEMENTATION OPEN
PLC-005,cables and connectors,may be loaded by the collapse path,routing/strain relief outside contact and pinch load paths,cable tension as restraint,"as-built continuous sweep, pull/strain inspection and post-test teardown",DESIGN REQUIRED
PLC-006,operator and bystanders,"no access to the collapse, pinch, rebound or object-drop region",fixed guard with controlled access and restart prevention,"warnings, training, supervision alone","access assessment, interlock/allocation decision and physical inspection",DESIGN REQUIRED
PLC-007,actuator source and contactors,rail decay and regeneration are unknown until measured,passive containment remains adequate after drive energy is absent,assumed immediate torque loss or published component opening time as total stop time,"rail waveform, contactor application acceptance and synchronized motion/force records",TEST REQUIRED
PLC-008,continued-drive fault,outside this gravitational-only calculation,separate guard/stop/load allocation,PLB-005 energy bound,HR-V0-GUARD-IMPACT-P0.1 powered-contact case closure,SEPARATE BLOCKER
PLC-009,final resting state,"arm, gripper and object may remain at any passive boundary",stable supported pose with no accessible pinch and no spontaneous restart,operator support or re-energization for recovery,"recovery procedure, access check, stability/secondary-motion test",DESIGN AND TEST REQUIRED
PLC-010,restart after power restoration,stored command and trajectory are invalid,RESET then distinct ARM then fresh trajectory,"heartbeat return, reboot, reset alone",configuration-specific restart fault injection with contained mechanism,PHYSICAL VALIDATION REQUIRED
