source_id,manufacturer_or_owner,artifact,revision_or_date,official_or_controlled_uri,controlled_fact,does_not_establish,warning
R243-SRC-001,Phoenix Contact,"AI 1,5 - 8 BK item 3200043",current official US catalog record accessed 2026-08-11,https://www.phoenixcontact.com/en-us/products/ferrule-ai-15-8-bk-3200043,1.5 mm2 / AWG 16 insulated ferrule; 8 mm contact range; 11 mm conductor stripping length; 100-piece minimum order; DIN 46228-4 and UL 486F-E,"compatibility with every receiving terminal, received crimp quality, installed retention or application release","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R243-SRC-002,Phoenix Contact,"A 1,5 - 7 item 3200263",current official US catalog record accessed 2026-08-11,https://www.phoenixcontact.com/en-us/products/ferrule-a-15-7-3200263,1.5 mm2 / AWG 16 uninsulated ferrule; 7 mm sleeve/contact range and 7 mm stripping length; 1000-piece minimum order; DIN 46228-1 and UL 486F-A,"Pilz application acceptance, received crimp quality, installed retention or application release","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R243-SRC-003,Phoenix Contact,CRIMPFOX 6 item 1212034,current official US catalog record accessed 2026-08-11,https://www.phoenixcontact.com/en-us/products/crimping-tool-crimpfox-6-1212034,trapezoidal ferrule crimper; station 2 covers 1.0 to 1.5 mm2 / AWG 18 to 16; unlockable pressure lock,"received calibration, wear condition, crimp height, operator qualification or production acceptance","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R243-SRC-004,Phoenix Contact,UL-certified ferrule/tool combinations,current official overview published 2025; accessed 2026-08-11,https://assets.phoenixcontact.com/file/d820f27b-c6a0-47ab-8e61-e698e1886ad5/media/original?EN_Info_UL-zertifizierte_Kombinationen_LoRes.pdf=,items 3200043 and 3200263 are listed with CRIMPFOX 6 item 1212034 for 1.5 mm2 / AWG 16,"Project Button terminal compatibility, received-lot identity or installed acceptance","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R243-SRC-005,Phoenix Contact,WIREFOX 10 item 1212150,current official US catalog record accessed 2026-08-11,https://www.phoenixcontact.com/en-us/products/stripping-tool-wirefox-10-1212150,self-adjusting stripper covers 0.02 to 10 mm2 / AWG 34 to 8 with 2 to 18 mm adjustable strip length,"blade condition, settings, damage-free stripping of the received Belden lot or production acceptance","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R243-SRC-006,Phoenix Contact,"TSD-M 1,2NM item 1212224",current official US catalog record accessed 2026-08-11,https://www.phoenixcontact.com/en-us/products/torque-tool-tsd-m-12nm-1212224,adjustable 0.3 to 1.2 N m torque screwdriver; published accuracy plus or minus 6 percent; external hexagonal output,"calibration state, bit choice, terminal access, accepted project setting or witnessed torque","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R243-SRC-007,Phoenix Contact,2025 Tools handbook pull-out table,2025 handbook; current official asset accessed 2026-08-11,https://assets.phoenixcontact.com/file/654b9ef5-f5d2-4503-949e-8aa342730567/media/original?1357900_EN_SG_Tools_LoRes.pdf=,published cross-section pull-out value for 1.5 mm2 / AWG 16 is 40 N; described test applies the force for 60 seconds without damage to the crimp point,"sample count, test fixture, calibrated equipment, installed-terminal pull criterion or Project Button acceptance","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R243-SRC-008,Pilz,PNOZ s4 operating manual,21396-EN-23 dated 2026-06-22; accessed 2026-08-11,electrical/vendor/pilz/pnoz-s4-750104-r116/PNOZ_s4_21396-EN-23.pdf,750104 screw terminals accept one flexible 0.25 to 2.5 mm2 / AWG 24 to 12 conductor; 7 mm stripping length; 0.5 N m torque,"specific Phoenix ferrule approval, driver-bit geometry, installed retention or achieved safety performance","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R243-SRC-009,Phoenix Contact,PLC-RSC-24DC/21-21 item 2967060,data maintenance 2026-04-01; accessed 2026-08-11,https://www.phoenixcontact.com/en-us/products/relay-module-plc-rsc-24dc21-21-2967060,single ferrule range 0.2 to 2.5 mm2; 8 mm stripping length; tightening torque 0.6 to 0.8 N m,"specific ferrule/tool application acceptance, selected torque, bit geometry or installed result","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
R243-SRC-010,Phoenix Contact,"PTFIX 6/18X2,5-NS35 RD item 3273114",official PDF generated 2026-05-21; accessed 2026-08-11,https://www.phoenixcontact.com/en-us/products/distributor-terminal-block-ptfix-618x25-ns35-rd-3273114?type=pdf,load contacts accept ferruled flexible conductors 0.14 to 2.5 mm2; published strip range 8 to 10 mm; push-in connection has no screw-torque step,"specific ferrule insertion acceptance, received fit, pull retention or color convention","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
