connection_id,channel,physical_boundary,method,connector_pinout_released,probe_protection_released,installed,warning
PC-01,CH-AI-01,source output diagnostic terminals,fused differential leads; exact test-point connector and inline protection selection required,NO,NO,NO,"PRELIMINARY - UNBUILT FIRST-ENERGIZATION INSTRUMENTATION CANDIDATE - ABORT LIMITS ARE NOT QUALIFIED OR RELEASED - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
PC-02,CH-AI-02,robot inlet after K1/K2,fused differential leads; test point must not bypass interruption,NO,NO,NO,"PRELIMINARY - UNBUILT FIRST-ENERGIZATION INSTRUMENTATION CANDIDATE - ABORT LIMITS ARE NOT QUALIFIED OR RELEASED - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
PC-03,CH-AI-03,one selected regulated 9 V bus,breakout/test point selection required; other 9 V buses remain disconnected,NO,NO,NO,"PRELIMINARY - UNBUILT FIRST-ENERGIZATION INSTRUMENTATION CANDIDATE - ABORT LIMITS ARE NOT QUALIFIED OR RELEASED - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
PC-04,CH-AI-04,5 V logic test point,converter/source identity selection required,NO,NO,NO,"PRELIMINARY - UNBUILT FIRST-ENERGIZATION INSTRUMENTATION CANDIDATE - ABORT LIMITS ARE NOT QUALIFIED OR RELEASED - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
PC-05,CH-AI-05,E-stop A diagnostic node,high-impedance measurement only; exact terminal and protection required,NO,NO,NO,"PRELIMINARY - UNBUILT FIRST-ENERGIZATION INSTRUMENTATION CANDIDATE - ABORT LIMITS ARE NOT QUALIFIED OR RELEASED - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
PC-06,CH-AI-06,watchdog permit diagnostic node,measurement must not source/hold permit,NO,NO,NO,"PRELIMINARY - UNBUILT FIRST-ENERGIZATION INSTRUMENTATION CANDIDATE - ABORT LIMITS ARE NOT QUALIFIED OR RELEASED - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
PC-07,CH-AI-07,K1 coil or mirror diagnostic node,exact measured state and terminal selection required,NO,NO,NO,"PRELIMINARY - UNBUILT FIRST-ENERGIZATION INSTRUMENTATION CANDIDATE - ABORT LIMITS ARE NOT QUALIFIED OR RELEASED - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
PC-08,CH-AI-08,K2 coil or mirror diagnostic node,exact measured state and terminal selection required,NO,NO,NO,"PRELIMINARY - UNBUILT FIRST-ENERGIZATION INSTRUMENTATION CANDIDATE - ABORT LIMITS ARE NOT QUALIFIED OR RELEASED - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
PC-09,CH-I-01,single ACT_MAIN_SOURCE conductor,split core fully latched; arrow/polarity photographed; no two-conductor clamp,NO,NO,NO,"PRELIMINARY - UNBUILT FIRST-ENERGIZATION INSTRUMENTATION CANDIDATE - ABORT LIMITS ARE NOT QUALIFIED OR RELEASED - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
PC-10,CH-TC-01..04,four named surfaces,electrically insulated attachment and strain relief selection required,NO,NO,NO,"PRELIMINARY - UNBUILT FIRST-ENERGIZATION INSTRUMENTATION CANDIDATE - ABORT LIMITS ARE NOT QUALIFIED OR RELEASED - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
PC-11,CH-DIO-01,isolated time-zero interface,direct 24 V connection to NI-9401 prohibited,NO,NO,NO,"PRELIMINARY - UNBUILT FIRST-ENERGIZATION INSTRUMENTATION CANDIDATE - ABORT LIMITS ARE NOT QUALIFIED OR RELEASED - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
PC-12,CH-SCOPE-02,isolated voltage probe interface,probe/order code and common-mode rating selection required,NO,NO,NO,"PRELIMINARY - UNBUILT FIRST-ENERGIZATION INSTRUMENTATION CANDIDATE - ABORT LIMITS ARE NOT QUALIFIED OR RELEASED - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
