configuration_id,parameter,candidate_value,release_state,approved_value,reviewer,evidence_path,execution_state,authority,warning
LP-CFG01,supply model,SIGLENT SPD3303X,FROZEN CANDIDATE; RECEIPT REQUIRED,NONE,UNASSIGNED,NONE,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT LOGIC-ONLY POWER FIXTURE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
LP-CFG02,output channel,CH1 only,FROZEN CANDIDATE,NONE,UNASSIGNED,NONE,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT LOGIC-ONLY POWER FIXTURE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
LP-CFG03,operating mode,independent,FROZEN CANDIDATE,NONE,UNASSIGNED,NONE,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT LOGIC-ONLY POWER FIXTURE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
LP-CFG04,nominal voltage request,5.000 V,CANDIDATE ONLY - DO NOT APPLY UNTIL RECEIVED-BOARD LIMIT REVIEW,NONE,UNASSIGNED,NONE,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT LOGIC-ONLY POWER FIXTURE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
LP-CFG05,released voltage setpoint/tolerance,SELECTION REQUIRED,OPEN,NONE,UNASSIGNED,NONE,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT LOGIC-ONLY POWER FIXTURE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
LP-CFG06,released current limit,SELECTION REQUIRED,OPEN - ASSEMBLED LOAD/INRUSH/FAULT REVIEW REQUIRED,NONE,UNASSIGNED,NONE,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT LOGIC-ONLY POWER FIXTURE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
LP-CFG07,released OCP threshold,SELECTION REQUIRED,OPEN,NONE,UNASSIGNED,NONE,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT LOGIC-ONLY POWER FIXTURE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
LP-CFG08,DC return to protective earth,NO INTENTIONAL BOND IN CANDIDATE BENCH FIXTURE,QUALIFIED REFERENCE DISPOSITION OPEN; GROUNDED INSTRUMENTS CAN CHANGE THIS,NONE,UNASSIGNED,NONE,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT LOGIC-ONLY POWER FIXTURE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
LP-CFG09,unused channels,CH2 OFF; CH3 OFF; no connections,FROZEN CANDIDATE,NONE,UNASSIGNED,NONE,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT LOGIC-ONLY POWER FIXTURE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
LP-CFG10,default state before mating J1,CH1 OUTPUT OFF,MANDATORY; PHYSICAL CHECK NOT EXECUTED,NONE,UNASSIGNED,NONE,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT LOGIC-ONLY POWER FIXTURE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
