path,bytes,sha256,execution_state,authority,warning
connector-contact-map.csv,919,1581e5064ef961d360fab7b5bc6f6b1e9e2acf93c8fd2fea64082f9cb1214bd0,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT LOGIC-ONLY POWER FIXTURE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
equipment-register.csv,2457,d52cac2f40e942b9677863c2df81d2bf7be5773bd22167b26d93dbca76a4af38,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT LOGIC-ONLY POWER FIXTURE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
index.html,5339,178f78a13ea5f1bf82f6eea447fbb55d5923fa63a26fab00be8c2f58e25ab331,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT LOGIC-ONLY POWER FIXTURE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
logic-power-boundary.svg,2085,720abb47ce8f0a7e9ab8534aeb4d8536b6063ad9f60148d7447ddfd8a559462d,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT LOGIC-ONLY POWER FIXTURE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
logic-power-kit-source.py,22929,80a5412f36c6e1b358c66facbc552fe2ceb13bcbc376d3901df6033c0e44f9e7,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT LOGIC-ONLY POWER FIXTURE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
logic-power-status.json,1011,c6a4c5edfa3de5982cb7d0a6af197d87c275843bb358ceac83f7be6841a7ef77,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT LOGIC-ONLY POWER FIXTURE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
measurement-register.csv,3256,d21ca8188e59f2a6f4b6f057fe378550a5b749b486a5bb9f4bdfc0e525d0af2f,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT LOGIC-ONLY POWER FIXTURE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
open-holds.csv,2608,b645f03675d5b6aa58d1b328c7f51dc1187cc5aacd9c5f8a8369a02d54310f36,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT LOGIC-ONLY POWER FIXTURE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
primary-source-register.csv,2374,c12234c157944e21dcf72c782615dc39f2f4bb1698f994cfc64e4ed105e214c9,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT LOGIC-ONLY POWER FIXTURE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
README.md,364,61fa54e1240c89d773b1e1003888dc3ded8a6f7d549ac58fe9ffd273ea2a20ed,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT LOGIC-ONLY POWER FIXTURE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
setup-gate-register.csv,3268,449e59e288f0da26e265915675feb25ab60fbc54588d503d5107657cfb680235,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT LOGIC-ONLY POWER FIXTURE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
source-binding.csv,1222,4850da3e5a0ba1eaa26b383e3c0972de3eff52cdc7ca3f0a16c0796b70b92785,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT LOGIC-ONLY POWER FIXTURE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
supply-configuration-register.csv,3148,8db54b1794dc165db0ed59e37a3a3ad172d097910d11f01ea4c99f2ab6a27979,NOT EXECUTED,"NO CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT LOGIC-ONLY POWER FIXTURE - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
