harness_id,conductor,end,reference,terminal_or_cavity,project_net,termination,wire,acceptance_boundary,warning
HAR-CIN-J1,P,A,F1.2; physical 5025 circuit position SELECTION REQUIRED,#8-32 screw interface candidate,J1_FUSED_PRELIMIT,Panduit PN18-8R-E,Belden 9918 002100 RED,"physical circuit/return position, received fit, torque and stacking remain open","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HAR-CIN-J1,P,B,LIM1.JIN1,1,J1_FUSED_PRELIMIT,VHR-2N / SVH-21T-P1.1,Belden 9918 002100 RED,"received orientation, process, continuity and retention remain open","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HAR-COUT-J1,P,A,LIM1.JOUT1,1,J1_LIMITED_VDD,VHR-2N / SVH-21T-P1.1,Belden 9918 002100 RED,"received orientation, process, continuity and retention remain open","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HAR-COUT-J1,P,B,INJ1.JP1,1,J1_LIMITED_VDD,VHR-2N / SVH-21T-P1.1,Belden 9918 002100 RED,"received orientation, process, continuity and retention remain open","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HAR-CIN-J1,R,A,5025 negative-bus branch screw; physical position SELECTION REQUIRED,#8-32 screw interface candidate,ACT_0V_PE_BONDED,Panduit PN18-8R-E,Belden 9918 010100 BLACK,"physical circuit/return position, received fit, torque and stacking remain open","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HAR-CIN-J1,R,B,LIM1.JIN1,2,ACT_0V_PE_BONDED,VHR-2N / SVH-21T-P1.1,Belden 9918 010100 BLACK,"received orientation, process, continuity and retention remain open","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HAR-COUT-J1,R,A,LIM1.JOUT1,2,ACT_0V_PE_BONDED,VHR-2N / SVH-21T-P1.1,Belden 9918 010100 BLACK,"received orientation, process, continuity and retention remain open","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HAR-COUT-J1,R,B,INJ1.JP1,2,ACT_0V_PE_BONDED,VHR-2N / SVH-21T-P1.1,Belden 9918 010100 BLACK,"received orientation, process, continuity and retention remain open","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HAR-CIN-J2,P,A,F2.2; physical 5025 circuit position SELECTION REQUIRED,#8-32 screw interface candidate,J2_FUSED_PRELIMIT,Panduit PN18-8R-E,Belden 9918 002100 RED,"physical circuit/return position, received fit, torque and stacking remain open","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HAR-CIN-J2,P,B,LIM2.JIN1,1,J2_FUSED_PRELIMIT,VHR-2N / SVH-21T-P1.1,Belden 9918 002100 RED,"received orientation, process, continuity and retention remain open","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HAR-COUT-J2,P,A,LIM2.JOUT1,1,J2_LIMITED_VDD,VHR-2N / SVH-21T-P1.1,Belden 9918 002100 RED,"received orientation, process, continuity and retention remain open","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HAR-COUT-J2,P,B,INJ1.JP2,1,J2_LIMITED_VDD,VHR-2N / SVH-21T-P1.1,Belden 9918 002100 RED,"received orientation, process, continuity and retention remain open","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HAR-CIN-J2,R,A,5025 negative-bus branch screw; physical position SELECTION REQUIRED,#8-32 screw interface candidate,ACT_0V_PE_BONDED,Panduit PN18-8R-E,Belden 9918 010100 BLACK,"physical circuit/return position, received fit, torque and stacking remain open","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
