wire_id,harness_id,signal,wire_mpn,color,cut_length_mm,strip_end_a_mm,strip_end_b_mm,end_a_termination,end_b_termination,label,state,warning
HAR-CIN-J1-P,HAR-CIN-J1,J1_FUSED_PRELIMIT,9918 002100,RED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,PN18-8R-E,SVH-21T-P1.1,HAR-CIN-J1-P,DO NOT CUT OR CRIMP,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HAR-COUT-J1-P,HAR-COUT-J1,J1_LIMITED_VDD,9918 002100,RED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SVH-21T-P1.1,SVH-21T-P1.1,HAR-COUT-J1-P,DO NOT CUT OR CRIMP,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HAR-CIN-J1-R,HAR-CIN-J1,ACT_0V_PE_BONDED,9918 010100,BLACK,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,PN18-8R-E,SVH-21T-P1.1,HAR-CIN-J1-R,DO NOT CUT OR CRIMP,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HAR-COUT-J1-R,HAR-COUT-J1,ACT_0V_PE_BONDED,9918 010100,BLACK,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SVH-21T-P1.1,SVH-21T-P1.1,HAR-COUT-J1-R,DO NOT CUT OR CRIMP,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HAR-CIN-J2-P,HAR-CIN-J2,J2_FUSED_PRELIMIT,9918 002100,RED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,PN18-8R-E,SVH-21T-P1.1,HAR-CIN-J2-P,DO NOT CUT OR CRIMP,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HAR-COUT-J2-P,HAR-COUT-J2,J2_LIMITED_VDD,9918 002100,RED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SVH-21T-P1.1,SVH-21T-P1.1,HAR-COUT-J2-P,DO NOT CUT OR CRIMP,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HAR-CIN-J2-R,HAR-CIN-J2,ACT_0V_PE_BONDED,9918 010100,BLACK,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,PN18-8R-E,SVH-21T-P1.1,HAR-CIN-J2-R,DO NOT CUT OR CRIMP,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HAR-COUT-J2-R,HAR-COUT-J2,ACT_0V_PE_BONDED,9918 010100,BLACK,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SVH-21T-P1.1,SVH-21T-P1.1,HAR-COUT-J2-R,DO NOT CUT OR CRIMP,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HAR-CIN-G1-P,HAR-CIN-G1,J3_FUSED_PRELIMIT,9918 002100,RED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,PN18-8R-E,SVH-21T-P1.1,HAR-CIN-G1-P,DO NOT CUT OR CRIMP,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HAR-COUT-G1-P,HAR-COUT-G1,J3_LIMITED_VDD,9918 002100,RED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SVH-21T-P1.1,SVH-21T-P1.1,HAR-COUT-G1-P,DO NOT CUT OR CRIMP,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HAR-CIN-G1-R,HAR-CIN-G1,ACT_0V_PE_BONDED,9918 010100,BLACK,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,PN18-8R-E,SVH-21T-P1.1,HAR-CIN-G1-R,DO NOT CUT OR CRIMP,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
HAR-COUT-G1-R,HAR-COUT-G1,ACT_0V_PE_BONDED,9918 010100,BLACK,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SVH-21T-P1.1,SVH-21T-P1.1,HAR-COUT-G1-R,DO NOT CUT OR CRIMP,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
