hold_id,hold,state,closure_evidence,effect,warning
JFX-H01,Received XM540/H101/S102 identity and geometry,OPEN,NOT EXECUTED,BLOCKS FIXTURE FABRICATION OR TEMPORARY ASSEMBLY/SESSION AS APPLICABLE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
JFX-H02,Loose-part/thread-depth/screw-length metrology,OPEN,NOT EXECUTED,BLOCKS FIXTURE FABRICATION OR TEMPORARY ASSEMBLY/SESSION AS APPLICABLE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
JFX-H03,All twelve fixture and temporary-stack selections,OPEN,NOT EXECUTED,BLOCKS FIXTURE FABRICATION OR TEMPORARY ASSEMBLY/SESSION AS APPLICABLE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
JFX-H04,Qualified fixture geometry/load/datum/uncertainty review,OPEN,NOT EXECUTED,BLOCKS FIXTURE FABRICATION OR TEMPORARY ASSEMBLY/SESSION AS APPLICABLE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
JFX-H05,Fixture manufacture and dimensional first-article inspection,OPEN,NOT EXECUTED,BLOCKS FIXTURE FABRICATION OR TEMPORARY ASSEMBLY/SESSION AS APPLICABLE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
JFX-H06,Physical six-contact/keepout overlay on received articles,OPEN,NOT EXECUTED,BLOCKS FIXTURE FABRICATION OR TEMPORARY ASSEMBLY/SESSION AS APPLICABLE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
JFX-H07,Secondary restraint/tip/escape proof,OPEN,NOT EXECUTED,BLOCKS FIXTURE FABRICATION OR TEMPORARY ASSEMBLY/SESSION AS APPLICABLE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
JFX-H08,Signed temporary hardware/torque/reuse instruction,OPEN,NOT EXECUTED,BLOCKS FIXTURE FABRICATION OR TEMPORARY ASSEMBLY/SESSION AS APPLICABLE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
JFX-H09,Calibrated instruments and accepted measurement-system record,OPEN,NOT EXECUTED,BLOCKS FIXTURE FABRICATION OR TEMPORARY ASSEMBLY/SESSION AS APPLICABLE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
JFX-H10,Separate unpowered session authorization,OPEN,NOT EXECUTED,BLOCKS FIXTURE FABRICATION OR TEMPORARY ASSEMBLY/SESSION AS APPLICABLE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
JFX-H11,Executed traveler/evidence/nonconformance disposition,OPEN,NOT EXECUTED,BLOCKS FIXTURE FABRICATION OR TEMPORARY ASSEMBLY/SESSION AS APPLICABLE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
JFX-H12,Teardown/post-inspection/re-quarantine and qualified acceptance,OPEN,NOT EXECUTED,BLOCKS FIXTURE FABRICATION OR TEMPORARY ASSEMBLY/SESSION AS APPLICABLE,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
