step_id,instruction,hold_point,acceptance,failure_action,execution_state,evidence_uri,signer,warning
JFX-TMP-001,"Verify zero-energy area and prohibit every power source, U2D2 and actuator cable.",JSM-HP-006,No source-capable item present,STOP/REMOVE/REINSPECT,NOT EXECUTED,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
JFX-TMP-002,"Reconcile received actuator, H101, S102, idler, thrust washer, spacer rings and supplied screws to serial/lot inventory.",JSM-HP-002,Exact identities and intact parts,QUARANTINE/NCR,NOT EXECUTED,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
JFX-TMP-003,"Complete loose-part dimensions, thread-depth and screw-length measurements before any threaded assembly.",JSM-HP-003,Accepted raw measurements and uncertainty,NO ASSEMBLY,NOT EXECUTED,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
JFX-TMP-004,"Qualified reviewer selects exact screw allocation, spacer placement, temporary torque, tool, locking prohibition and reuse/disposition.",JSM-HP-005,Signed configuration-bound instruction,NO SCREW ENTERS ACTUATOR,NOT EXECUTED,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
JFX-TMP-005,Trial-fit the received fixture with no screw installed; prove only approved contacts engage and every keepout remains clear.,JSM-HP-004,Signed photographs/overlay/clearance record,REMOVE FIXTURE/NCR,NOT EXECUTED,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
JFX-TMP-006,Install thrust washer and align manufacturer index marks exactly as accepted from current ROBOTIS instructions.,JSM-HP-005,Photographic evidence before cover-up,DISASSEMBLE/NCR,NOT EXECUTED,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
JFX-TMP-007,Install S102 and H101/idler/spacer stack using only the signed temporary hardware instruction; no cable or threadlocker.,JSM-HP-005/006,"No gap, bottoming, distortion or unexpected resistance",STOP/DO NOT FORCE,NOT EXECUTED,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
JFX-TMP-008,Place the fixed S102 frame against the six held contact candidates with zero preload beyond gravity plus the accepted restraint.,JSM-HP-004,Article stable; case/connector/H101 remain unloaded,SUPPORT BY HAND/REMOVE,NOT EXECUTED,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
JFX-TMP-009,Apply the selected secondary restraint solely against tipping/escape; record contact force and prove it cannot become a rotation stop.,JSM-HP-004,SELECTION REQUIRED acceptance,NO ARTICULATION,NOT EXECUTED,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
JFX-TMP-010,Hand-position only within the signed pose list while an independent witness verifies all keepouts continuously.,JSM-HP-007,"No slip, contact, force or use of actuator/fixture as stop",STOP/QUARANTINE/NCR,NOT EXECUTED,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
JFX-TMP-011,"Execute JSM-OP-011..016, hash all evidence and preserve configuration identity.",JSM-HP-007/008,Complete raw records,HOLD ASSEMBLED,NOT EXECUTED,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
JFX-TMP-012,"Unload, teardown with the signed reverse sequence, inspect every article and re-quarantine.",JSM-HP-008,No damage/galling/debris/deformation; complete inventory,QUARANTINE/NCR,NOT EXECUTED,,,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
