feature_id,part_id,source_feature_ids,feature_family,current_control,candidate_relationship,decision,warning
MV0-C01-A,MV0-C01,broad seating face,primary plane,flatness 0.15 mm; drawing-specific thickness control,datum feature A,QUALIFIED REVIEW REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MV0-C01-B,MV0-C01,J1-J4,four 32 x 16 mm M2.5 clearance holes,diameter tolerance and basic-looking coordinate values with +/-0.05 mm coordinate tolerance,pattern datum feature B after qualified approval,DO NOT CONVERT AUTOMATICALLY,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MV0-C01-S,MV0-C01,E1-E2,two M5 clearance/countersink axes,drawing-specific size/coordinate/profile controls,control to A|B; tertiary datum only if justified,QUALIFIED REVIEW REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MV0-C01-OPP,MV0-C01,opposite broad face,opposite plane,parallelism 0.10 mm to proposed A,parallelism to A,QUALIFIED REVIEW REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MV0-C04-A,MV0-C04,broad seating face,primary plane,flatness 0.15 mm; drawing-specific thickness control,datum feature A,QUALIFIED REVIEW REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MV0-C04-B,MV0-C04,H1-H4,four asymmetric H104 clearance holes,diameter tolerance and basic-looking coordinate values with +/-0.05 mm coordinate tolerance,pattern datum feature B after qualified approval,DO NOT CONVERT AUTOMATICALLY,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MV0-C04-S,MV0-C04,E1-E2,two M5 clearance/countersink axes,drawing-specific size/coordinate/profile controls,control to A|B; tertiary datum only if justified,QUALIFIED REVIEW REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MV0-C04-OPP,MV0-C04,opposite broad face,opposite plane,parallelism 0.10 mm to proposed A,parallelism to A,QUALIFIED REVIEW REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MV0-C05-A,MV0-C05,broad seating face,primary plane,flatness 0.15 mm; drawing-specific thickness control,datum feature A,QUALIFIED REVIEW REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MV0-C05-B,MV0-C05,S1-S4,four 32 x 16 mm S102 clearance holes,diameter tolerance and basic-looking coordinate values with +/-0.05 mm coordinate tolerance,pattern datum feature B after qualified approval,DO NOT CONVERT AUTOMATICALLY,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MV0-C05-S,MV0-C05,K1-K2,two M8 clearance axes spaced 60 mm,drawing-specific size/coordinate/profile controls,control to A|B; tertiary datum only if justified,QUALIFIED REVIEW REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MV0-C05-OPP,MV0-C05,opposite broad face,opposite plane,parallelism 0.10 mm to proposed A,parallelism to A,QUALIFIED REVIEW REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MV0-C06-A,MV0-C06,broad seating face,primary plane,flatness 0.15 mm; drawing-specific thickness control,datum feature A,QUALIFIED REVIEW REQUIRED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
