control_id,part_id,controlled_feature,proposal,reference,material_condition,disposition,warning
MV0-C01-FCF-01,MV0-C01,broad seating face,retain 0.15 mm flatness candidate,none,not applicable,REVIEW ONLY - NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MV0-C01-FCF-02,MV0-C01,opposite broad face,retain 0.10 mm parallelism candidate,A,not applicable,REVIEW ONLY - NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MV0-C01-FCF-03,MV0-C01,J1-J4,retain current +/-0.05 mm X/Z coordinate controls pending fit and qualified zone selection,A; possible pattern datum B definition requires reviewer,SELECTION REQUIRED BY QUALIFIED REVIEWER,NO DIAMETRICAL SUBSTITUTION,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MV0-C01-FCF-04,MV0-C01,E1-E2,retain current drawing-specific coordinate/profile controls pending functional stack and qualified review,candidate A|B,SELECTION REQUIRED BY QUALIFIED REVIEWER,REVIEW ONLY - NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MV0-C04-FCF-01,MV0-C04,broad seating face,retain 0.15 mm flatness candidate,none,not applicable,REVIEW ONLY - NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MV0-C04-FCF-02,MV0-C04,opposite broad face,retain 0.10 mm parallelism candidate,A,not applicable,REVIEW ONLY - NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MV0-C04-FCF-03,MV0-C04,H1-H4,retain current +/-0.05 mm X/Z coordinate controls pending fit and qualified zone selection,A; possible pattern datum B definition requires reviewer,SELECTION REQUIRED BY QUALIFIED REVIEWER,NO DIAMETRICAL SUBSTITUTION,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MV0-C04-FCF-04,MV0-C04,E1-E2,retain current drawing-specific coordinate/profile controls pending functional stack and qualified review,candidate A|B,SELECTION REQUIRED BY QUALIFIED REVIEWER,REVIEW ONLY - NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MV0-C05-FCF-01,MV0-C05,broad seating face,retain 0.15 mm flatness candidate,none,not applicable,REVIEW ONLY - NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MV0-C05-FCF-02,MV0-C05,opposite broad face,retain 0.10 mm parallelism candidate,A,not applicable,REVIEW ONLY - NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MV0-C05-FCF-03,MV0-C05,S1-S4,retain current +/-0.05 mm X/Z coordinate controls pending fit and qualified zone selection,A; possible pattern datum B definition requires reviewer,SELECTION REQUIRED BY QUALIFIED REVIEWER,NO DIAMETRICAL SUBSTITUTION,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MV0-C05-FCF-04,MV0-C05,K1-K2,retain current drawing-specific coordinate/profile controls pending functional stack and qualified review,candidate A|B,SELECTION REQUIRED BY QUALIFIED REVIEWER,REVIEW ONLY - NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MV0-C06-FCF-01,MV0-C06,broad seating face,retain 0.15 mm flatness candidate,none,not applicable,REVIEW ONLY - NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
MV0-C06-FCF-02,MV0-C06,opposite broad face,retain 0.10 mm parallelism candidate,A,not applicable,REVIEW ONLY - NOT RELEASED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
