speed_deg_s,unaccepted_inertia_kg_m2,kinetic_energy_j,assumed_stop_travel_deg,average_energy_torque_nm,linear_spring_peak_torque_nm,omissions,status,warning
10.00,0.010144,0.000154502,0.010,0.885231,1.770462,"reflected rotor inertia, motor/gravity work, damping, hysteresis, tolerances, rebound and fault overspeed",SENSITIVITY ONLY - INPUTS UNACCEPTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
10.00,0.010144,0.000154502,0.050,0.177046,0.354092,"reflected rotor inertia, motor/gravity work, damping, hysteresis, tolerances, rebound and fault overspeed",SENSITIVITY ONLY - INPUTS UNACCEPTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
10.00,0.010144,0.000154502,0.100,0.088523,0.177046,"reflected rotor inertia, motor/gravity work, damping, hysteresis, tolerances, rebound and fault overspeed",SENSITIVITY ONLY - INPUTS UNACCEPTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
10.00,0.010144,0.000154502,0.500,0.017705,0.035409,"reflected rotor inertia, motor/gravity work, damping, hysteresis, tolerances, rebound and fault overspeed",SENSITIVITY ONLY - INPUTS UNACCEPTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
10.00,0.010144,0.000154502,1.000,0.008852,0.017705,"reflected rotor inertia, motor/gravity work, damping, hysteresis, tolerances, rebound and fault overspeed",SENSITIVITY ONLY - INPUTS UNACCEPTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
30.00,0.010144,0.001390518,0.010,7.967079,15.934158,"reflected rotor inertia, motor/gravity work, damping, hysteresis, tolerances, rebound and fault overspeed",SENSITIVITY ONLY - INPUTS UNACCEPTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
30.00,0.010144,0.001390518,0.050,1.593416,3.186832,"reflected rotor inertia, motor/gravity work, damping, hysteresis, tolerances, rebound and fault overspeed",SENSITIVITY ONLY - INPUTS UNACCEPTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
30.00,0.010144,0.001390518,0.100,0.796708,1.593416,"reflected rotor inertia, motor/gravity work, damping, hysteresis, tolerances, rebound and fault overspeed",SENSITIVITY ONLY - INPUTS UNACCEPTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
30.00,0.010144,0.001390518,0.500,0.159342,0.318683,"reflected rotor inertia, motor/gravity work, damping, hysteresis, tolerances, rebound and fault overspeed",SENSITIVITY ONLY - INPUTS UNACCEPTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
30.00,0.010144,0.001390518,1.000,0.079671,0.159342,"reflected rotor inertia, motor/gravity work, damping, hysteresis, tolerances, rebound and fault overspeed",SENSITIVITY ONLY - INPUTS UNACCEPTED,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
