screen_id,subject,input_or_rule,result,status,required_evidence,warning
TS-001,Backplate boundary,"18P2721 nominal 533.4 x 685.8 mm; every allocated rectangle must remain within boundary",All 26 P0.6 planning envelopes remain within the nominal boundary,ANALYTICAL SCREEN ONLY,"received dimensions; inserts and edge keepouts; cover closure test",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TS-002,Inherited top rail,"SR1/SRA1/KWD1/KWD2/K1/K2 allocations remain x=54..308 mm on the inherited 323.8 mm rail",254 mm occupied within the 323.8 mm nominal allocation,ANALYTICAL SCREEN ONLY,"received widths; end clearance; terminal access; rail end hardware; heat",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TS-003,PCB planar clearance,"WDPCB1 x=54..214 y=230..330; INJ1 x=224..324 y=230..290",10 mm nominal planar gap,ANALYTICAL SCREEN ONLY,"received board outlines; standoff heads; connector overhang; bend radius; creepage/contamination review",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TS-004,P0.5 fit defect,"P0.5 used 431.8 x 533.4 mm and had no simultaneous released allocation for the compute case U2D2 retention and all remaining selection reserves",P0.5 is superseded as the current physical-layout candidate; no installed hardware was changed,DEFECT CONFIRMED - P0.5 NOT CURRENT,"retain configuration history; reviewers shall use P0.6 for current fit criticism",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TS-005,Protection allocation,"Inherited 5025, 3211861/3030420 and FHAC service envelopes are unchanged; added lower zone is retained rather than credited",Catalog bodies fit their nominal planar envelopes but access conductor bends and all fuse links remain unproved,ANALYTICAL SCREEN ONLY,"received parts; cover/fuse service; terminals and bends; coordination; thermal proof",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TS-006,Compute side column,"CCASE1 90.5 x 87 mm and three 63.5 x 25.4 mm GTM envelopes lie within x=428..528 mm and do not cross WD2 x=383.8..423.8 mm",Nominal 4.2 mm minimum planar gap from WD2 to DR4 and 9.2 mm from WD2 to CCASE1; connector/bend access is not established,ANALYTICAL SCREEN ONLY,"received case/bracket offset; received U2D2/mounts; port overhangs; cable ODs and bend radii; service access",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TS-007,Compute rail support,"PI5-CASE-D is published with an included bracket for 35 mm guide rail; DR4 uses the current NS 35/7.5 candidate",Catalog family compatibility only; installed engagement load end-stop and release-tool clearance are unproved,FAIL-CLOSED HOLD,"received case/bracket and rail; exact bracket offset; end retention; selected fasteners/torque; static pull vibration and service test",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TS-008,U2D2 retention,"U2D2 published plan envelope 48 x 18 mm lies inside one GTM500C2 base envelope 63.5 x 25.4 mm",Plan-envelope arithmetic passes; GTM/Grip Tie is published for cables not rigid U2D2 retention,FAIL-CLOSED HOLD,"received device/base/strap; anti-slip and compression acceptance; port clearance; pull/slip/vibration; repeated service; qualified application review",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TS-009,Depth,"PJ302410RT outside depth is 257 mm; CCASE1 outside depth is 49.5 mm but internal usable depth door devices rail offsets and connector bends are not established",No depth-fit conclusion,FAIL-CLOSED HOLD,"received enclosure/door/backplate stack; rail/bracket/device heights; cable bends; closed-cover inspection",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TS-010,Heat,"Pi Active Cooler compatibility is published but compute load fan current airflow pattern and simultaneous panel losses are incomplete",No enclosure temperature-rise conclusion and no ventilation cutout is released,FAIL-CLOSED HOLD,"installed load/current; blocked-fan case; ambient; simultaneous duty; calibrated powered soak; enclosure-system disposition",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
