hold_id,subject,current_state,blocking_evidence,gate_effect,warning
RDH-001,1207648 received identity dimensions and coating,OPEN,"manufacturer/item marking; calibrated 500 x 35 x 7.5 mm checks; material/coating condition; quarantine deviations",EG-003 remains partial,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RDH-002,3240189 received identity base and upper part,OPEN,"manufacturer/item marking; calibrated 2000 x 40 x 40 mm checks; base/cover contents and condition",EG-003 remains partial,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RDH-003,3022218 received identity and fit,OPEN,"manufacturer/item marking; 9.5 mm width; NS 35/7.5 engagement; device-group fit on DR1/DR2/DR3",EG-003 remains partial,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RDH-004,Final rail and duct cut lengths,OPEN,"received device widths overhangs bends service access and edge clearances; signed final lengths and tolerances",EG-003 remains partial,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RDH-005,Cut kerf and method,SELECTION REQUIRED,"selected saw/cutter blade or duct cutter; measured kerf; workholding; burr/chip control; PPE and maker-space permission",EG-003/EG-006 remain partial,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RDH-006,Rail and duct hole patterns,SELECTION REQUIRED,"received backplate datum; device load; manufacturer mounting instructions; exact coordinates diameters edge distances and tolerances",EG-003/EG-006 remain partial,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RDH-007,Fasteners and torque,SELECTION REQUIRED,"exact fastener washer nut/thread-lock system; material/coating compatibility; engagement; torque; tool access; witness marking",EG-003/EG-006 remain partial,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RDH-008,DR4 end retention,SELECTION REQUIRED,"received PI5-CASE-D bracket offset and clamp behavior; exact stop/end-retention part; 100 mm segment fit; service and pull/vibration evidence",EG-003 remains partial,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RDH-009,Protective bonding and coating treatment,SELECTION REQUIRED,"qualified fault/EMC disposition; exact bonding hardware and conductor; coating preparation; corrosion control; continuity/impedance test",EG-016 remains partial,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RDH-010,Duct fill separation and thermal acceptance,OPEN,"released conductor/cable schedule; installed OD and lengths; fill calculation; segregation/crossings; cover fit; worst-duty temperature survey",EG-010/EG-015 remain partial,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RDH-011,Installed rail and duct mechanical proof,OPEN,"cut/drill inspection; fastener torque; device retention; static pull; vibration; cover/service cycles; no sharp edges or coating damage",EG-003/EG-018 remain partial,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RDH-012,Qualified panel-layout and enclosure-system review,OPEN,"signed exact-configuration review of layout load fastening bonding separation service thermal and enclosure effects",EG-003/EG-016 remain partial,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
