layout_id,object_type,reference,x_mm,y_mm,width_mm,height_mm,mounting_basis,release_state,required_evidence,warning
BP-001,usable_backplate,BP1,0,0,533.4,685.8,Hammond 18P2721 nominal catalog dimensions,CANDIDATE ENVELOPE ONLY,"received panel measurement; enclosure fit; qualified layout review",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
BP-002,wire_duct,WD1,8,10,40,665.8,Phoenix CD 40X40 candidate,HOLD - CUT LENGTH NOT RELEASED,"fill; segregation; thermal; cover access; received cut inspection",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
BP-003,wire_duct,WD2,383.8,10,40,665.8,Phoenix CD 40X40 candidate,HOLD - CUT LENGTH NOT RELEASED,"fill; segregation; thermal; cover access; received cut inspection",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
BP-004,din_rail,DR1,54,45,323.8,7.5,Phoenix NS 35/7.5 candidate,HOLD - CUT/HOLES NOT RELEASED,"received component widths/depths; rail cut/deburr; fastener and bonding disposition",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
BP-005,component_envelope,SR1,54,55,32,115,Allocated envelope larger than 22.5 mm catalog width,HOLD - RECEIVED FIT REQUIRED,"received dimensions; terminal access; bend radius; service spacing; heat",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
BP-006,component_envelope,SRA1,92,55,32,115,Allocated envelope larger than 22.5 mm catalog width,HOLD - RECEIVED FIT REQUIRED,"received dimensions; terminal access; bend radius; service spacing; heat",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
BP-007,component_envelope,KWD1,130,55,20,105,Conservative allocation around DIN module,HOLD - RECEIVED FIT REQUIRED,"received dimensions; polarity; terminal access; replacement clearance",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
BP-008,component_envelope,KWD2,156,55,20,105,Conservative allocation around DIN module,HOLD - RECEIVED FIT REQUIRED,"received dimensions; polarity; terminal access; replacement clearance",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
BP-009,component_envelope,K1,184,55,58,115,Conservative allocation around LC1D25BD,HOLD - RECEIVED FIT/APPLICATION REQUIRED,"received dimensions; DC application; terminal/bend access; heat and service clearance",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
BP-010,component_envelope,K2,250,55,58,115,Conservative allocation around LC1D25BD,HOLD - RECEIVED FIT/APPLICATION REQUIRED,"received dimensions; DC application; terminal/bend access; heat and service clearance",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
BP-011,wire_duct,WD3,54,180,323.8,40,Phoenix CD 40X40 candidate,HOLD - CUT LENGTH NOT RELEASED,"fill; segregation; thermal; cover access; received cut inspection",PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
