item_id,reference,manufacturer,manufacturer_part_number,description,quantity,candidate_state,physical_release,evidence_source,evidence_revision_or_date,closure_evidence_required,warning
PAN-001,ENC1,Hammond Manufacturing,PJ302410RT,30 x 24 x 10.13 in raised-lid twist-latch fiberglass wallmount enclosure; catalog outside 762 x 610 x 257 mm,1,EXACT CATALOG CANDIDATE,HOLD - NO ORDER OR DRILLING,https://www.hammfg.com/part/PJ302410RT,official product page plus drawing issue 2014-06-13 and current PJRT compatibility table rechecked 2026-08-08,received dimensions; hinge/latch and cover construction; cable entries; support/wall mounting; ingress/type after modification; thermal; qualified enclosure-system review,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PAN-002,BP1,Hammond Manufacturing,18P2721,White steel inner panel; nominal 27 x 21 in (685.8 x 533.4 mm),1,EXACT CATALOG CANDIDATE,HOLD - NO ORDER OR DRILLING,https://www.hammfg.com/electrical/products/accessories/18p,official 18P/PJRT compatibility records rechecked 2026-08-08,received dimensions/flatness/coating; enclosure fit; fastener and protective-bonding disposition,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PAN-003,XT1-01/POS03:06,Phoenix Contact,3209510,"PT 2,5 gray feed-through terminal block; NS 35 rail",5,EXACT CATALOG CANDIDATE,HOLD - NO ORDER OR WIRING,https://www.phoenixcontact.com/en-us/products/feed-through-terminal-block-pt-25-3209510,official product data accessed 2026-08-07,received identity; terminal markings; conductor/termination qualification; current/temperature coordination,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PAN-004,XT1-02,Phoenix Contact,3209523,"PT 2,5 BU blue feed-through terminal block; NS 35 rail",1,EXACT CATALOG CANDIDATE,HOLD - NO ORDER OR WIRING,https://www.phoenixcontact.com/en-us/products/feed-through-terminal-block-pt-25-bu-3209523?type=pdf,official product PDF accessed 2026-08-07,received identity; terminal markings; conductor/termination qualification; current/temperature coordination,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PAN-005,XT1-EC,Phoenix Contact,3030417,"D-ST 2,5 end cover",1,EXACT CATALOG CANDIDATE,HOLD - NO ORDER OR ASSEMBLY,https://www.phoenixcontact.com/en-us/products/end-cover-d-st-25-3030417,official product data accessed 2026-08-07,received compatibility and installed finger-safe inspection,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PAN-006,XT1-CL-L/XT1-CL-R,Phoenix Contact,3022218,CLIPFIX 35 end bracket,2,EXACT CATALOG CANDIDATE,HOLD - NO ORDER OR ASSEMBLY,https://www.phoenixcontact.com/en-us/products/end-block-clipfix-35-3022218?type=pdf,official product PDF accessed 2026-08-07,received compatibility and retention inspection,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PAN-007,XT1-MARK,Phoenix Contact,0828734,UCT-TM 5 terminal-marker sheet; 5.2 mm pitch,1,EXACT CATALOG CANDIDATE,HOLD - NO ORDER OR ASSEMBLY,https://www.phoenixcontact.com/en-us/products/terminal-marking-uct-tm-5-0828734?type=pdf,official product PDF accessed 2026-08-07,printed marker durability and position-to-net inspection,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PAN-008,DR1/DR2,Phoenix Contact,1207650,"NS 35/7,5 PERF 500MM DIN rail; proposed cut stock",1,EXACT CATALOG CANDIDATE,HOLD - NO CUTTING OR ASSEMBLY,https://www.phoenixcontact.com/en-us/products/din-rail-ns-3575-perf-500mm-1207650,official product data accessed 2026-08-07,received dimensions; cut/deburr method; fastener/bonding disposition; pull test,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PAN-009,WD1/WD2/WD3,Phoenix Contact,3240189,CD 40X40 wiring duct; 40 x 40 x 2000 mm; proposed cut stock,1,EXACT CATALOG CANDIDATE,HOLD - NO CUTTING OR ASSEMBLY,https://www.phoenixcontact.com/en-us/products/wiring-duct-cd-40x40-3240189?type=pdf,official product PDF accessed 2026-08-07,fill calculation; thermal/segregation review; cut/deburr/cover retention inspection,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
PAN-010,H1,IDEC,HW1P-1FQD-A-24V,Amber 22 mm flush pilot light; 24 VAC/DC; screw terminal,1,EXACT CATALOG CANDIDATE,HOLD - NO ORDER OR DOOR CUTOUT,https://www.idec.com/en-us/switches-indicator-lights/switches-pushbuttons/22mm-25mm-30mm-switches/hw-22mm-heavy-duty/hw1p-1fqd-a-24v,official product page and HW screw-terminal catalog dated 2026-07-23; accessed 2026-08-07,execute HR-V0-H1-RCV-P0.1 and its fourteen-row form: received identity; terminal markings/internal circuit/polarity; current; brightness; legend and human-factors acceptance,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
