route_id,function,net_or_boundary,exact_terminals,proposed_zone,required_separation_or_evidence,release_state,warning
SGR-001,SR1 supply gate stage 1 input,SAFETY_24V,KWD1:11,top rail diagnostic supply-gate route,separate from SR1_S11/S12/S21/S22,NOT RELEASED,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
SGR-002,SR1 supply gate interstage,WD_SUPPLY_INTERMEDIATE,KWD1:14 -> KWD2:11,short local top-rail jumper,no door loom; no S0/input-return duct,NOT RELEASED,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
SGR-003,SR1 gated supply output,SR1_A1_WD_GATED,KWD2:14 -> SR1:A1,top rail diagnostic-gated supply route,separate from SR1 input terminals/conductors,NOT RELEASED,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
SGR-004,E-stop channel 1 direct return,SR1_S11 / SR1_S12,SR1:S11 -> S0:R-1/R-2 -> SR1:S12,door loom safety channel 1,no KWD or gated-supply terminal,NOT RELEASED,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
SGR-005,E-stop channel 2 direct return,SR1_S21 / SR1_S22,SR1:S21 -> S0:L-1/L-2 -> SR1:S22,door loom safety channel 2,no KWD or gated-supply terminal,NOT RELEASED,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
SGR-006,SR1 RESET,SR1_S12 / SR1_START_RETURN,SR1:S12 -> S1 -> SR1:S34,door loom/reset safety route,separate from KWD gate and feedback,NOT RELEASED,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
SGR-007,SRA1 ARM/EDM,SRA1_S12 / SRA1_START_RETURN,SRA1:S12 -> S2 -> K1:21/22 -> K2:21/22 -> SRA1:S34,door loom and top-rail safety route,separate from KWD gate and feedback,NOT RELEASED,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
SGR-008,KWD1 coil,SAFETY_24V / WD1_COIL_N,KWD1:A1/A2 -> JWP1:1/3,ordinary diagnostic coil route,segregate from S0/SR1 input returns,NOT RELEASED,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
SGR-009,KWD2 coil,SAFETY_24V / WD2_COIL_N,KWD2:A1/A2 -> JWP1:1/4,ordinary diagnostic coil route,segregate from S0/SR1 input returns,NOT RELEASED,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
SGR-010,KWD feedback,WD1_NC_24V / WD2_NC_24V,KWD1:21/22 and KWD2:21/22 -> JWF1,ordinary diagnostic feedback route,segregate from S0/SR1 input returns,NOT RELEASED,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
SGR-011,supply-load screen,SR1 A1/A2,PNOZ s4 750104: 2.5 W DC; 0.5 A inrush for 5 ms,analysis input only,contact duty/endurance/coordination and measurement open,NOT RELEASED,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
SGR-012,restart validation,SR1/SRA1/K1/K2,heartbeat loss -> SR1 supply loss -> RESET -> ARM -> fresh trajectory,E2 control-only test subset,all physical timing and qualified acceptance open,NOT RELEASED,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
