reference,field,expected_value,native_kicad_value,match,hidden,warning
CDEC1,Manufacturer,Murata,Murata,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
CDEC1,ManufacturerPartNumber,GRM21BR71H104KA01L,GRM21BR71H104KA01L,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
CDEC1,AssemblyDescription,"100 nF, 50 V, X7R, 0805","100 nF, 50 V, X7R, 0805",TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
CDEC1,ProcessClass,SMD_REFLOW,SMD_REFLOW,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
CDEC1,AlternatePolicy,NO ALTERNATES WITHOUT WRITTEN PROJECT DISPOSITION,NO ALTERNATES WITHOUT WRITTEN PROJECT DISPOSITION,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
CDEC1,AssemblyProcessState,SELECTION REQUIRED,SELECTION REQUIRED,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
CDEC1,FabricationStatus,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
CDRV1,Manufacturer,Murata,Murata,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
CDRV1,ManufacturerPartNumber,GRM21BR71H104KA01L,GRM21BR71H104KA01L,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
CDRV1,AssemblyDescription,"100 nF, 50 V, X7R, 0805","100 nF, 50 V, X7R, 0805",TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
CDRV1,ProcessClass,SMD_REFLOW,SMD_REFLOW,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
CDRV1,AlternatePolicy,NO ALTERNATES WITHOUT WRITTEN PROJECT DISPOSITION,NO ALTERNATES WITHOUT WRITTEN PROJECT DISPOSITION,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
CDRV1,AssemblyProcessState,SELECTION REQUIRED,SELECTION REQUIRED,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
CDRV1,FabricationStatus,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
CDRV2,Manufacturer,Murata,Murata,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
CDRV2,ManufacturerPartNumber,GRM21BR71H104KA01L,GRM21BR71H104KA01L,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
CDRV2,AssemblyDescription,"100 nF, 50 V, X7R, 0805","100 nF, 50 V, X7R, 0805",TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
CDRV2,ProcessClass,SMD_REFLOW,SMD_REFLOW,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
CDRV2,AlternatePolicy,NO ALTERNATES WITHOUT WRITTEN PROJECT DISPOSITION,NO ALTERNATES WITHOUT WRITTEN PROJECT DISPOSITION,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
CDRV2,AssemblyProcessState,SELECTION REQUIRED,SELECTION REQUIRED,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
CDRV2,FabricationStatus,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
CFI1,Manufacturer,TDK,TDK,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
CFI1,ManufacturerPartNumber,CGA3E2X7R1H103K080AA,CGA3E2X7R1H103K080AA,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
CFI1,AssemblyDescription,"10 nF, 50 V, X7R, 0603","10 nF, 50 V, X7R, 0603",TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
CFI1,ProcessClass,SMD_REFLOW,SMD_REFLOW,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
CFI1,AlternatePolicy,NO ALTERNATES WITHOUT WRITTEN PROJECT DISPOSITION,NO ALTERNATES WITHOUT WRITTEN PROJECT DISPOSITION,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
