reference,kind,p0.7_identity,p0.9_identity,position_match,rotation_match,identity_match,overall_match,warning
CDEC1,POPULATED,Murata GRM21BR71H104KA01L,Murata GRM21BR71H104KA01L,TRUE,TRUE,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
CDRV1,POPULATED,Murata GRM21BR71H104KA01L,Murata GRM21BR71H104KA01L,TRUE,TRUE,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
CDRV2,POPULATED,Murata GRM21BR71H104KA01L,Murata GRM21BR71H104KA01L,TRUE,TRUE,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
CFI1,POPULATED,TDK CGA3E2X7R1H103K080AA,TDK CGA3E2X7R1H103K080AA,TRUE,TRUE,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
CFI2,POPULATED,TDK CGA3E2X7R1H103K080AA,TDK CGA3E2X7R1H103K080AA,TRUE,TRUE,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
DC1,POPULATED,TRACO POWER TSR 1-2450,TRACO POWER TSR 1-2450,TRUE,TRUE,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
ISO1,POPULATED,Vishay VO618A-4X017T,Vishay VO618A-4X017T,TRUE,TRUE,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
JWF1,POPULATED,Phoenix Contact 1751248,Phoenix Contact 1751248,TRUE,TRUE,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
JWH1,POPULATED,Phoenix Contact 1751248,Phoenix Contact 1751248,TRUE,TRUE,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
JWP1,POPULATED,Phoenix Contact 1751264,Phoenix Contact 1751264,TRUE,TRUE,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
MH1,MECHANICAL_NPTH,3.20 mm NPTH M3 clearance candidate,3.20 mm NPTH M3 clearance candidate,TRUE,N/A,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
MH2,MECHANICAL_NPTH,3.20 mm NPTH M3 clearance candidate,3.20 mm NPTH M3 clearance candidate,TRUE,N/A,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
MH3,MECHANICAL_NPTH,3.20 mm NPTH M3 clearance candidate,3.20 mm NPTH M3 clearance candidate,TRUE,N/A,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
MH4,MECHANICAL_NPTH,3.20 mm NPTH M3 clearance candidate,3.20 mm NPTH M3 clearance candidate,TRUE,N/A,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RHB1,POPULATED,Panasonic Industry ERJ6ENF9100V,Panasonic Industry ERJ6ENF9100V,TRUE,TRUE,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RHP1,POPULATED,Panasonic Industry ERJ6ENF1002V,Panasonic Industry ERJ6ENF1002V,TRUE,TRUE,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RPD1,POPULATED,Panasonic Industry ERJ6ENF1002V,Panasonic Industry ERJ6ENF1002V,TRUE,TRUE,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RPD2,POPULATED,Panasonic Industry ERJ6ENF1002V,Panasonic Industry ERJ6ENF1002V,TRUE,TRUE,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RSN1,POPULATED,Panasonic Industry ERJ6ENF5620V,Panasonic Industry ERJ6ENF5620V,TRUE,TRUE,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RSN2,POPULATED,Panasonic Industry ERJ6ENF5620V,Panasonic Industry ERJ6ENF5620V,TRUE,TRUE,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RSO1,POPULATED,Panasonic Industry ERJ6ENF1001V,Panasonic Industry ERJ6ENF1001V,TRUE,TRUE,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RSO2,POPULATED,Panasonic Industry ERJ6ENF1001V,Panasonic Industry ERJ6ENF1001V,TRUE,TRUE,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RTH1,POPULATED,Vishay MMA02040C1001FB300,Vishay MMA02040C1001FB300,TRUE,TRUE,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RTH2,POPULATED,Vishay MMA02040C1001FB300,Vishay MMA02040C1001FB300,TRUE,TRUE,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RW1,POPULATED,Vishay CRCW12102K70FKEA,Vishay CRCW12102K70FKEA,TRUE,TRUE,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
RW2,POPULATED,Vishay CRCW12102K70FKEA,Vishay CRCW12102K70FKEA,TRUE,TRUE,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP1,POPULATED,Harwin S1751-46R,Harwin S1751-46R,TRUE,TRUE,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP10,POPULATED,Harwin S1751-46R,Harwin S1751-46R,TRUE,TRUE,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP11,POPULATED,Harwin S1751-46R,Harwin S1751-46R,TRUE,TRUE,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP12,POPULATED,Harwin S1751-46R,Harwin S1751-46R,TRUE,TRUE,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP13,POPULATED,Harwin S1751-46R,Harwin S1751-46R,TRUE,TRUE,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP14,POPULATED,Harwin S1751-46R,Harwin S1751-46R,TRUE,TRUE,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP15,POPULATED,Harwin S1751-46R,Harwin S1751-46R,TRUE,TRUE,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP16,POPULATED,Harwin S1751-46R,Harwin S1751-46R,TRUE,TRUE,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP2,POPULATED,Harwin S1751-46R,Harwin S1751-46R,TRUE,TRUE,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP3,POPULATED,Harwin S1751-46R,Harwin S1751-46R,TRUE,TRUE,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP4,POPULATED,Harwin S1751-46R,Harwin S1751-46R,TRUE,TRUE,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP5,POPULATED,Harwin S1751-46R,Harwin S1751-46R,TRUE,TRUE,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP6,POPULATED,Harwin S1751-46R,Harwin S1751-46R,TRUE,TRUE,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP7,POPULATED,Harwin S1751-46R,Harwin S1751-46R,TRUE,TRUE,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
TP8,POPULATED,Harwin S1751-46R,Harwin S1751-46R,TRUE,TRUE,TRUE,TRUE,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
