file_id,artifact,definition,state,warning
WD-FILE-001,native KiCad PCB,current PCB-P0.9 source,CURRENT SOURCE - INTERNAL,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
WD-FILE-002,board assembly BOM,board-assembly-bom.csv,INTERNAL REVIEW CANDIDATE - NOT RELEASED,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
WD-FILE-003,placement reference,assembly-placement-reference.csv,INTERNAL REVIEW CANDIDATE - NOT MACHINE XYRS,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
WD-FILE-004,assembly reference map,assembly-top-reference.svg,INTERNAL REVIEW CANDIDATE - NOT RELEASED,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
WD-FILE-005,assembly notes,assembly-note-register.csv,INTERNAL REVIEW CANDIDATE - NOT RELEASED,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
WD-FILE-006,Gerber/drill,SELECTION REQUIRED,DOES NOT EXIST FOR PCB-P0.9,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
WD-FILE-007,IPC-356/netlist,SELECTION REQUIRED,NOT RELEASED,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
WD-FILE-008,assembler-normalized XYRS,supplier convention and written transform disposition,DOES NOT EXIST,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
WD-FILE-009,fabrication drawing/stackup,material/stack/finish/mask/legend/panel choices,DOES NOT EXIST,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
WD-FILE-010,supplier packet manifest,hash-bound accepted CAM/BOM/XYRS/drawings/traveler,DOES NOT EXIST,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
