note_id,topic,note,acceptance_state,warning
WD-NOTE-001,scope,Populate 42 references on the top side; four MH references are unpopulated NPTH mechanical features.,OPEN - QUALIFIED/SUPPLIER DISPOSITION REQUIRED,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
WD-NOTE-002,substitution,Use exact manufacturer part numbers only; no alternate or process substitution without written disposition.,OPEN - QUALIFIED/SUPPLIER DISPOSITION REQUIRED,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
WD-NOTE-003,SMT,"Thirty-eight SMD placements are proposed for reflow; supplier acceptance of every land, mask, paste, stencil and profile remains required.",OPEN - QUALIFIED/SUPPLIER DISPOSITION REQUIRED,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
WD-NOTE-004,THT,"Install DC1, JWP1, JWF1 and JWH1 after reflow using an accepted THT method; seating, trim, flux, cleaning and underside envelope remain open.",OPEN - QUALIFIED/SUPPLIER DISPOSITION REQUIRED,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
WD-NOTE-005,isolation,"Preserve ISO1 copper separation and keep the isolation region free of contamination, unauthorized copper, mask changes and rework residue.",OPEN - QUALIFIED/SUPPLIER DISPOSITION REQUIRED,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
WD-NOTE-006,Pico,"WDCTRL1 is an SC0915 module; official footprint, USB-end orientation, presentation, reflow/fixture and inspection require assembler acceptance.",OPEN - QUALIFIED/SUPPLIER DISPOSITION REQUIRED,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
WD-NOTE-007,test points,"TP1-TP16 use rectangular 3.45 x 1.85 mm Harwin lands; placement, reel convention, access and inspection remain review items.",OPEN - QUALIFIED/SUPPLIER DISPOSITION REQUIRED,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
WD-NOTE-008,inspection,Verify polarized references and every not-keyed terminal block against received markings before soldering.,OPEN - QUALIFIED/SUPPLIER DISPOSITION REQUIRED,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
WD-NOTE-009,first article,"Hold one first article for documented board, component, orientation, solder, cleanliness, geometry and unpowered electrical review.",OPEN - QUALIFIED/SUPPLIER DISPOSITION REQUIRED,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
WD-NOTE-010,release,"These files are internal review data. They are not machine-ready XYRS, CAM, a purchase order, or fabrication/assembly authorization.",MANDATORY RELEASE BOUNDARY,PRELIMINARY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
