path_id,function,exact_path,disposition,warning
SGP-001,SF-01 channel 1,SR1:S11 -> S0:R-1/R-2 NC -> SR1:S12,direct; no KWD terminal,PRELIMINARY - ANALYSIS AND UNEXECUTED TEST CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
SGP-002,SF-01 channel 2,SR1:S21 -> S0:L-1/L-2 NC -> SR1:S22,direct; no KWD terminal,PRELIMINARY - ANALYSIS AND UNEXECUTED TEST CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
SGP-003,diagnostic gate stage 1,SAFETY_24V -> KWD1:11/14 -> WD_SUPPLY_INTERMEDIATE,ordinary diagnostic; zero safety credit,PRELIMINARY - ANALYSIS AND UNEXECUTED TEST CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
SGP-004,diagnostic gate stage 2,WD_SUPPLY_INTERMEDIATE -> KWD2:11/14 -> SR1_A1_WD_GATED,ordinary diagnostic; zero safety credit,PRELIMINARY - ANALYSIS AND UNEXECUTED TEST CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
SGP-005,SR1 supply,SR1_A1_WD_GATED -> SR1:A1; SR1:A2 -> SAFETY_0V,"contact duty, protection and recovery open",PRELIMINARY - ANALYSIS AND UNEXECUTED TEST CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
SGP-006,KWD1 coil,SAFETY_24V -> KWD1:A1/A2 -> WD1_COIL_N -> UDRV1,ordinary diagnostic,PRELIMINARY - ANALYSIS AND UNEXECUTED TEST CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
SGP-007,KWD2 coil,SAFETY_24V -> KWD2:A1/A2 -> WD2_COIL_N -> UDRV2,ordinary diagnostic,PRELIMINARY - ANALYSIS AND UNEXECUTED TEST CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
SGP-008,KWD1 feedback,SAFETY_24V -> KWD1:21/22 -> WD1_NC_24V -> UFB1,read-only intent; proof open,PRELIMINARY - ANALYSIS AND UNEXECUTED TEST CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
SGP-009,KWD2 feedback,SAFETY_24V -> KWD2:21/22 -> WD2_NC_24V -> UFB1,read-only intent; proof open,PRELIMINARY - ANALYSIS AND UNEXECUTED TEST CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
SGP-010,SR1 reset,SR1:S12 -> S1 -> SR1:S34,physical monitored RESET; received mapping/test open,PRELIMINARY - ANALYSIS AND UNEXECUTED TEST CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
SGP-011,SRA1 ARM/EDM,SRA1:S12 -> S2 -> K1:21/22 -> K2:21/22 -> SRA1:S34,physical ARM and EDM; proof open,PRELIMINARY - ANALYSIS AND UNEXECUTED TEST CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
SGP-012,restart sequence,heartbeat loss -> SR1 supply loss -> RESET -> ARM -> fresh trajectory,not executed,PRELIMINARY - ANALYSIS AND UNEXECUTED TEST CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
SGP-013,panel routing,P0.5 SGR-001..SGR-012,no conductor or barrier release,PRELIMINARY - ANALYSIS AND UNEXECUTED TEST CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
SGP-014,configuration boundary,Electrical V3-P1.13 / PCB-P0.5 / HR-V0-CP-P0.5,hash/as-built identity required,PRELIMINARY - ANALYSIS AND UNEXECUTED TEST CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION
