control_id,boundary,required_evidence,warning,release_state,execution_state
SEP-001,KWD gate versus SR1:S11/S12,separate duct/terminal region; inspect and fault-test,PRELIMINARY - ANALYSIS AND UNEXECUTED TEST CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION,NOT RELEASED,NOT EXECUTED
SEP-002,KWD gate versus SR1:S21/S22,separate duct/terminal region; inspect and fault-test,PRELIMINARY - ANALYSIS AND UNEXECUTED TEST CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION,NOT RELEASED,NOT EXECUTED
SEP-003,KWD gate versus RESET S1/S34,no shared unprotected route,PRELIMINARY - ANALYSIS AND UNEXECUTED TEST CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION,NOT RELEASED,NOT EXECUTED
SEP-004,KWD gate versus ARM/EDM,no shared unprotected route,PRELIMINARY - ANALYSIS AND UNEXECUTED TEST CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION,NOT RELEASED,NOT EXECUTED
SEP-005,KWD1 stage versus KWD2 stage,"controlled terminals, covers, ferrules and inspection",PRELIMINARY - ANALYSIS AND UNEXECUTED TEST CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION,NOT RELEASED,NOT EXECUTED
SEP-006,KWD coils versus input returns,segregated route and short matrix,PRELIMINARY - ANALYSIS AND UNEXECUTED TEST CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION,NOT RELEASED,NOT EXECUTED
SEP-007,KWD feedback versus input returns,segregated route and read-only proof,PRELIMINARY - ANALYSIS AND UNEXECUTED TEST CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION,NOT RELEASED,NOT EXECUTED
SEP-008,watchdog PCB/test access versus safety wiring,barrier/route and unpowered fixture,PRELIMINARY - ANALYSIS AND UNEXECUTED TEST CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION,NOT RELEASED,NOT EXECUTED
SEP-009,SAFETY_24V distribution,fault-current and branch-protection evidence,PRELIMINARY - ANALYSIS AND UNEXECUTED TEST CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION,NOT RELEASED,NOT EXECUTED
SEP-010,SAFETY_0V distribution,open/high-impedance/brownout evidence,PRELIMINARY - ANALYSIS AND UNEXECUTED TEST CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION,NOT RELEASED,NOT EXECUTED
SEP-011,enclosure contamination/workmanship,"environment, cleaning, strand and torque controls",PRELIMINARY - ANALYSIS AND UNEXECUTED TEST CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION,NOT RELEASED,NOT EXECUTED
SEP-012,configuration identity,"commit, ECAD, PCB, panel, harness and firmware hashes",PRELIMINARY - ANALYSIS AND UNEXECUTED TEST CONTROL ONLY - NOT APPROVED FOR FABRICATION OR ENERGIZATION,NOT RELEASED,NOT EXECUTED
