component,motion_group,x_min_mm,x_max_mm,local_yz_radius_bound_mm,continuous_shoulder_radius_bound_mm,method,status
J1_H101,J1_MOVING,-26.500000,26.500000,35.777088,35.777088,AABB CORNER RADIUS,CONTROLLED KNOWN BREP ONLY - PHYSICAL CLOSURE OPEN
UPPER_PROX_ADAPTER,J1_MOVING,-24.000000,24.000000,46.090407,46.090407,AABB CORNER RADIUS,CONTROLLED KNOWN BREP ONLY - PHYSICAL CLOSURE OPEN
UPPER_20-2040,J1_MOVING,-10.000000,10.000000,142.931192,142.931192,AABB CORNER RADIUS,CONTROLLED KNOWN BREP ONLY - PHYSICAL CLOSURE OPEN
J2_FIXED_CATCH_ADAPTER,J1_MOVING,-42.000000,42.000000,152.643711,152.643711,AABB CORNER RADIUS,CONTROLLED KNOWN BREP ONLY - PHYSICAL CLOSURE OPEN
J2_XM540,J1_MOVING,-28.050000,26.250000,216.947580,216.947580,AABB CORNER RADIUS,CONTROLLED KNOWN BREP ONLY - PHYSICAL CLOSURE OPEN
J2_S102,J1_MOVING,-24.000000,24.000000,164.877690,164.877690,AABB CORNER RADIUS,CONTROLLED KNOWN BREP ONLY - PHYSICAL CLOSURE OPEN
J2_H101,J1_PLUS_J2_MOVING,-26.500000,26.500000,35.777088,238.327088,J2 AXIS RADIUS + AABB CORNER RADIUS,CONTROLLED KNOWN BREP ONLY - PHYSICAL CLOSURE OPEN
J2_MOVING_STRIKER_ADAPTER,J1_PLUS_J2_MOVING,-41.000000,41.000000,55.871659,258.421659,J2 AXIS RADIUS + AABB CORNER RADIUS,CONTROLLED KNOWN BREP ONLY - PHYSICAL CLOSURE OPEN
FOREARM_20-2040,J1_PLUS_J2_MOVING,-10.000000,10.000000,93.684714,296.234714,J2 AXIS RADIUS + AABB CORNER RADIUS,CONTROLLED KNOWN BREP ONLY - PHYSICAL CLOSURE OPEN
H104_DISTAL_ADAPTER,J1_PLUS_J2_MOVING,-24.000000,24.000000,103.010206,305.560206,J2 AXIS RADIUS + AABB CORNER RADIUS,CONTROLLED KNOWN BREP ONLY - PHYSICAL CLOSURE OPEN
H104_FRAME,J1_PLUS_J2_MOVING,-20.500000,20.500000,136.190914,338.740914,J2 AXIS RADIUS + AABB CORNER RADIUS,CONTROLLED KNOWN BREP ONLY - PHYSICAL CLOSURE OPEN
