hold_id,closure_evidence,owner_role,named_owner,state,evidence_uri,warning
ACCORD-HOLD-001,"Exact premises, outlet, nominal voltage/frequency, branch rating and protection surveyed",SELECTION REQUIRED,SELECTION REQUIRED,OPEN,NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
ACCORD-HOLD-002,Applicable Boston/MA/US code and makerspace policy reviewed by a qualified person,SELECTION REQUIRED,SELECTION REQUIRED,OPEN,NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
ACCORD-HOLD-003,Program owner separately authorizes exact purchase line and maximum spend,SELECTION REQUIRED,SELECTION REQUIRED,OPEN,NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
ACCORD-HOLD-004,"Received P006-006 identity, UL/cUL markings, construction and condition accepted",SELECTION REQUIRED,SELECTION REQUIRED,OPEN,NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
ACCORD-HOLD-005,Received GST280A12-C6P C14 inlet identity and C13 engagement accepted,SELECTION REQUIRED,SELECTION REQUIRED,OPEN,NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
ACCORD-HOLD-006,"Unpowered conductor mapping, PE continuity and conductor isolation measured without inferred pinout",SELECTION REQUIRED,SELECTION REQUIRED,OPEN,NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
ACCORD-HOLD-007,"Six-foot route is trip-free, protected, strain-relieved and serviceable",SELECTION REQUIRED,SELECTION REQUIRED,OPEN,NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
ACCORD-HOLD-008,"Received bend radius, retention and source-inlet mechanical support accepted",SELECTION REQUIRED,SELECTION REQUIRED,OPEN,NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
ACCORD-HOLD-009,"GST 95 A catalog inrush reconciled to the exact branch, receptacle and connection hardware",SELECTION REQUIRED,SELECTION REQUIRED,OPEN,NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
ACCORD-HOLD-010,Cord/source temperature and abnormal-condition plan accepted before powered use,SELECTION REQUIRED,SELECTION REQUIRED,OPEN,NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
ACCORD-HOLD-011,No substitution or extension cord accepted without separate configuration review,SELECTION REQUIRED,SELECTION REQUIRED,OPEN,NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
ACCORD-HOLD-012,Qualified electrical reviewer signs the installed AC-input/PE configuration,SELECTION REQUIRED,SELECTION REQUIRED,OPEN,NOT EXECUTED,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
