control_id,parameter,candidate_value,release_boundary,state,warning
ACC-001,build/use location,"Boston, Massachusetts, USA",User-frozen location only; exact premises and branch remain open,CATALOG CANDIDATE - APPLICATION HOLD,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
ACC-002,actuator source,MEAN WELL GST280A12-C6P evaluation candidate,Source itself remains unreceived and application-held,CATALOG CANDIDATE - APPLICATION HOLD,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
ACC-003,source AC inlet,IEC320-C14,Received inlet identity and fit required,CATALOG CANDIDATE - APPLICATION HOLD,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
ACC-004,source protection class,Class I with earth pin,No PE continuity or site bond credit until measured,CATALOG CANDIDATE - APPLICATION HOLD,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
ACC-005,cord candidate,Eaton Tripp Lite series P006-006,Exact catalog candidate on hold; no purchase authority,CATALOG CANDIDATE - APPLICATION HOLD,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
ACC-006,premises plug,NEMA 5-15P,Requires accepted matching site receptacle and branch,CATALOG CANDIDATE - APPLICATION HOLD,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
ACC-007,equipment connector,IEC-320-C13,Requires received C13-to-C14 fit and retention,CATALOG CANDIDATE - APPLICATION HOLD,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
ACC-008,catalog voltage,125 VAC,Use only on a reviewed compatible branch,CATALOG CANDIDATE - APPLICATION HOLD,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
ACC-009,catalog current,10 A maximum,Not a project branch or protection rating,CATALOG CANDIDATE - APPLICATION HOLD,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
ACC-010,construction,18 AWG; three conductors; SJT; black PVC; VW-1,Received markings and construction required,CATALOG CANDIDATE - APPLICATION HOLD,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
ACC-011,length,6 ft / 1.83 m,Final outlet/source placement and trip-free route required,CATALOG CANDIDATE - APPLICATION HOLD,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
ACC-012,catalog outer diameter,7.8 mm,Received diameter and bend/strain evidence required,CATALOG CANDIDATE - APPLICATION HOLD,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
ACC-013,catalog certification,UL Listed; cUL Listed,Received label and local applicability review required,CATALOG CANDIDATE - APPLICATION HOLD,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
ACC-014,catalog operating temperature,-20 to 60 C,Installed temperature remains unmeasured,CATALOG CANDIDATE - APPLICATION HOLD,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
ACC-015,nominal-current screen,3 A GST typical / 10 A cord maximum = 0.300,Typical-value screen only; not an ampacity or protection release,CATALOG CANDIDATE - APPLICATION HOLD,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
ACC-016,cold-start inrush,95 A at 115 VAC from GST catalog,"Branch, contacts, connector behavior and nuisance-trip evidence remain open",CATALOG CANDIDATE - APPLICATION HOLD,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
ACC-017,source PE/DC relationship,GST -V connected to AC FG,System PE/DC0V/shield implementation remains under EG-016,CATALOG CANDIDATE - APPLICATION HOLD,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
ACC-018,final-equipment obligation,MEAN WELL requires final equipment compliance reconfirmation,Qualified electrical/code/EMC review remains mandatory,CATALOG CANDIDATE - APPLICATION HOLD,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
