record_type,record_id,domain_basis,source_status,accountable_role_candidate,accountable_person,linked_requirements,acceptance_evidence,evidence_uri,approver_role_candidate,approver_person,decision,change_history,governance_state,warning
risk,R-001,safety,open,functional_safety_engineer,SELECTION REQUIRED,SAFE-001;SAFE-002;SAFE-004;SAFE-008;SAFE-010,approved linked-requirement evidence; configuration-specific residual-risk evaluation; control-effectiveness evidence,NOT EXECUTED,qualified_functional_safety_reviewer,SELECTION REQUIRED,RESIDUAL RISK NOT ACCEPTED,R141 snapshot; prior record-level history NOT BACKFILLED,PARTIAL - LEAD ROLE DERIVED FOR REVIEW; PEOPLE/EVIDENCE/APPROVAL/HISTORY OPEN,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
risk,R-002,system;control;safety,open,systems_engineer,SELECTION REQUIRED,SYS-002;SYS-003;SYS-004;CTRL-001;SAFE-011,approved linked-requirement evidence; configuration-specific residual-risk evaluation; control-effectiveness evidence,NOT EXECUTED,qualified_systems_reviewer,SELECTION REQUIRED,RESIDUAL RISK NOT ACCEPTED,R141 snapshot; prior record-level history NOT BACKFILLED,PARTIAL - LEAD ROLE DERIVED FOR REVIEW; PEOPLE/EVIDENCE/APPROVAL/HISTORY OPEN,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
risk,R-003,safety;control,open,functional_safety_engineer,SELECTION REQUIRED,SAFE-003;SAFE-004;SAFE-008;SAFE-010;CTRL-003;CTRL-007,approved linked-requirement evidence; configuration-specific residual-risk evaluation; control-effectiveness evidence,NOT EXECUTED,qualified_functional_safety_reviewer,SELECTION REQUIRED,RESIDUAL RISK NOT ACCEPTED,R141 snapshot; prior record-level history NOT BACKFILLED,PARTIAL - LEAD ROLE DERIVED FOR REVIEW; PEOPLE/EVIDENCE/APPROVAL/HISTORY OPEN,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
risk,R-004,electrical,open,electrical_engineer,SELECTION REQUIRED,ELEC-003;ELEC-004,approved linked-requirement evidence; configuration-specific residual-risk evaluation; control-effectiveness evidence,NOT EXECUTED,qualified_electrical_reviewer,SELECTION REQUIRED,RESIDUAL RISK NOT ACCEPTED,R141 snapshot; prior record-level history NOT BACKFILLED,PARTIAL - LEAD ROLE DERIVED FOR REVIEW; PEOPLE/EVIDENCE/APPROVAL/HISTORY OPEN,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
risk,R-005,thermal;control,open,thermal_engineer,SELECTION REQUIRED,THERM-001;CTRL-003,approved linked-requirement evidence; configuration-specific residual-risk evaluation; control-effectiveness evidence,NOT EXECUTED,qualified_mechanical_electrical_reviewer,SELECTION REQUIRED,RESIDUAL RISK NOT ACCEPTED,R141 snapshot; prior record-level history NOT BACKFILLED,PARTIAL - LEAD ROLE DERIVED FOR REVIEW; PEOPLE/EVIDENCE/APPROVAL/HISTORY OPEN,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
risk,R-006,safety,open,functional_safety_engineer,SELECTION REQUIRED,SAFE-006,approved linked-requirement evidence; configuration-specific residual-risk evaluation; control-effectiveness evidence,NOT EXECUTED,qualified_functional_safety_reviewer,SELECTION REQUIRED,RESIDUAL RISK NOT ACCEPTED,R141 snapshot; prior record-level history NOT BACKFILLED,PARTIAL - LEAD ROLE DERIVED FOR REVIEW; PEOPLE/EVIDENCE/APPROVAL/HISTORY OPEN,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
risk,R-007,control,open,controls_engineer,SELECTION REQUIRED,CTRL-001;CTRL-002,approved linked-requirement evidence; configuration-specific residual-risk evaluation; control-effectiveness evidence,NOT EXECUTED,qualified_controls_reviewer,SELECTION REQUIRED,RESIDUAL RISK NOT ACCEPTED,R141 snapshot; prior record-level history NOT BACKFILLED,PARTIAL - LEAD ROLE DERIVED FOR REVIEW; PEOPLE/EVIDENCE/APPROVAL/HISTORY OPEN,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
risk,R-008,safety,open,functional_safety_engineer,SELECTION REQUIRED,SAFE-005,approved linked-requirement evidence; configuration-specific residual-risk evaluation; control-effectiveness evidence,NOT EXECUTED,qualified_functional_safety_reviewer,SELECTION REQUIRED,RESIDUAL RISK NOT ACCEPTED,R141 snapshot; prior record-level history NOT BACKFILLED,PARTIAL - LEAD ROLE DERIVED FOR REVIEW; PEOPLE/EVIDENCE/APPROVAL/HISTORY OPEN,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
risk,R-009,safety,open,functional_safety_engineer,SELECTION REQUIRED,SAFE-006,approved linked-requirement evidence; configuration-specific residual-risk evaluation; control-effectiveness evidence,NOT EXECUTED,qualified_functional_safety_reviewer,SELECTION REQUIRED,RESIDUAL RISK NOT ACCEPTED,R141 snapshot; prior record-level history NOT BACKFILLED,PARTIAL - LEAD ROLE DERIVED FOR REVIEW; PEOPLE/EVIDENCE/APPROVAL/HISTORY OPEN,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
risk,R-010,configuration,open,configuration_manager,SELECTION REQUIRED,CFG-001,approved linked-requirement evidence; configuration-specific residual-risk evaluation; control-effectiveness evidence,NOT EXECUTED,program_owner,SELECTION REQUIRED,RESIDUAL RISK NOT ACCEPTED,R141 snapshot; prior record-level history NOT BACKFILLED,PARTIAL - LEAD ROLE DERIVED FOR REVIEW; PEOPLE/EVIDENCE/APPROVAL/HISTORY OPEN,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
risk,R-011,product;legs,open,systems_engineer,SELECTION REQUIRED,PROD-004;PROD-005;LEG-002,approved linked-requirement evidence; configuration-specific residual-risk evaluation; control-effectiveness evidence,NOT EXECUTED,program_owner,SELECTION REQUIRED,RESIDUAL RISK NOT ACCEPTED,R141 snapshot; prior record-level history NOT BACKFILLED,PARTIAL - LEAD ROLE DERIVED FOR REVIEW; PEOPLE/EVIDENCE/APPROVAL/HISTORY OPEN,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
risk,R-012,electrical;product,open,electrical_engineer,SELECTION REQUIRED,ELEC-003;PROD-008,approved linked-requirement evidence; configuration-specific residual-risk evaluation; control-effectiveness evidence,NOT EXECUTED,qualified_electrical_reviewer,SELECTION REQUIRED,RESIDUAL RISK NOT ACCEPTED,R141 snapshot; prior record-level history NOT BACKFILLED,PARTIAL - LEAD ROLE DERIVED FOR REVIEW; PEOPLE/EVIDENCE/APPROVAL/HISTORY OPEN,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
risk,R-013,legs;product,open,mechanical_controls_engineer,SELECTION REQUIRED,LEG-001;PROD-004;LEG-002,approved linked-requirement evidence; configuration-specific residual-risk evaluation; control-effectiveness evidence,NOT EXECUTED,qualified_mechanical_controls_reviewer,SELECTION REQUIRED,RESIDUAL RISK NOT ACCEPTED,R141 snapshot; prior record-level history NOT BACKFILLED,PARTIAL - LEAD ROLE DERIVED FOR REVIEW; PEOPLE/EVIDENCE/APPROVAL/HISTORY OPEN,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
risk,R-014,safety;product,open,functional_safety_engineer,SELECTION REQUIRED,SAFE-005;PROD-007;PROD-009,approved linked-requirement evidence; configuration-specific residual-risk evaluation; control-effectiveness evidence,NOT EXECUTED,qualified_functional_safety_reviewer,SELECTION REQUIRED,RESIDUAL RISK NOT ACCEPTED,R141 snapshot; prior record-level history NOT BACKFILLED,PARTIAL - LEAD ROLE DERIVED FOR REVIEW; PEOPLE/EVIDENCE/APPROVAL/HISTORY OPEN,"PRELIMINARY - NOT APPROVED FOR FABRICATION, CONNECTION, MOTION, OR ENERGIZATION"
