item,manufacturer,order_code,quantity,use,selection_state,procurement_released,warning
CABLE-ANALOG,Alpha Wire,5610B2201,8 x 1.12 m cut,eight independent analog twisted-pair cables,EXACT CANDIDATE; STOCK/LOT QUOTE REQUIRED,NO,"PRELIMINARY - UNBUILT MEASUREMENT HARNESS - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
CABLE-SYNC,Alpha Wire,5610B2201,1 x 1.12 m cut,battery-slate TTL/COM plus shield drain,EXACT CANDIDATE; STOCK/LOT QUOTE REQUIRED,NO,"PRELIMINARY - UNBUILT MEASUREMENT HARNESS - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
PANEL-PLUG,Phoenix Contact,1757019,9,J1O-J8O and JTTL mating plugs,EXACT CANDIDATE,NO,"PRELIMINARY - UNBUILT MEASUREMENT HARNESS - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
PANEL-FERRULE,Phoenix Contact,3203066,18,"0.34 mm2, 8 mm ferrule candidate at panel plugs",EXACT CANDIDATE; TERMINATION PROCESS VALIDATION REQUIRED,NO,"PRELIMINARY - UNBUILT MEASUREMENT HARNESS - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
DAQ-FERRULE,Phoenix Contact,3203053,16,"0.34 mm2, 6 mm ferrule candidate at NI-9976",EXACT CANDIDATE; CRIMP VALIDATION REQUIRED,NO,"PRELIMINARY - UNBUILT MEASUREMENT HARNESS - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
DAQ-PLUG,NI,196739-01,2 kits / 8 plugs (modules normally include plugs),NI-9976 two-position screw plugs,EXACT SERVICE-SPARE CANDIDATE; RECEIPT INVENTORY REQUIRED,NO,"PRELIMINARY - UNBUILT MEASUREMENT HARNESS - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
DAQ-BACKSHELL,NI,196375-01,2 kits / 8 backshells,NI-9971 strain relief/operator protection for all analog channels,EXACT CANDIDATE,NO,"PRELIMINARY - UNBUILT MEASUREMENT HARNESS - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
SYNC-BLOCK,NI,781922-01,1,NI-9924 D-sub to screw-terminal block,EXACT CANDIDATE,NO,"PRELIMINARY - UNBUILT MEASUREMENT HARNESS - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
SYNC-FERRITE,NI,782803-01,1,NI-9401 clamp-on ferrite installed adjacent to module,EXACT DOCUMENTED EMC ACCESSORY,NO,"PRELIMINARY - UNBUILT MEASUREMENT HARNESS - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
LABELS,Brady or equivalent,SELECTION REQUIRED,18 endpoint plus 9 cable labels,"channel, polarity, cable ID and NO ROBOT 24 V labels",SELECTION REQUIRED,NO,"PRELIMINARY - UNBUILT MEASUREMENT HARNESS - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, WALKING OR ENERGIZATION"
