measurement_id,measurement,unit,acceptance_limit,instrument_id,measured_value,result,execution_state,authority,warning
ACC-M01,individual conductor insulation OD,mm,SELECTION REQUIRED - QUALIFIED PROCESS / TEST PLAN,UNASSIGNED,NONE,NOT EXECUTED,NOT EXECUTED,"NO PROCUREMENT, PRODUCTION-CUTTING, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT CABLE COUPON PLAN - NOT APPROVED FOR PROCUREMENT, PRODUCTION CUTTING, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
ACC-M02,jacket OD,mm,SELECTION REQUIRED - QUALIFIED PROCESS / TEST PLAN,UNASSIGNED,NONE,NOT EXECUTED,NOT EXECUTED,"NO PROCUREMENT, PRODUCTION-CUTTING, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT CABLE COUPON PLAN - NOT APPROVED FOR PROCUREMENT, PRODUCTION CUTTING, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
ACC-M03,strip length,mm,SELECTION REQUIRED - QUALIFIED PROCESS / TEST PLAN,UNASSIGNED,NONE,NOT EXECUTED,NOT EXECUTED,"NO PROCUREMENT, PRODUCTION-CUTTING, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT CABLE COUPON PLAN - NOT APPROVED FOR PROCUREMENT, PRODUCTION CUTTING, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
ACC-M04,conductor crimp height,mm,SELECTION REQUIRED - QUALIFIED PROCESS / TEST PLAN,UNASSIGNED,NONE,NOT EXECUTED,NOT EXECUTED,"NO PROCUREMENT, PRODUCTION-CUTTING, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT CABLE COUPON PLAN - NOT APPROVED FOR PROCUREMENT, PRODUCTION CUTTING, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
ACC-M05,insulation support height,mm,SELECTION REQUIRED - QUALIFIED PROCESS / TEST PLAN,UNASSIGNED,NONE,NOT EXECUTED,NOT EXECUTED,"NO PROCUREMENT, PRODUCTION-CUTTING, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT CABLE COUPON PLAN - NOT APPROVED FOR PROCUREMENT, PRODUCTION CUTTING, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
ACC-M06,pull force,N,SELECTION REQUIRED - QUALIFIED PROCESS / TEST PLAN,UNASSIGNED,NONE,NOT EXECUTED,NOT EXECUTED,"NO PROCUREMENT, PRODUCTION-CUTTING, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT CABLE COUPON PLAN - NOT APPROVED FOR PROCUREMENT, PRODUCTION CUTTING, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
ACC-M07,initial four-wire loop resistance at recorded temperature,ohm,SELECTION REQUIRED - QUALIFIED PROCESS / TEST PLAN,UNASSIGNED,NONE,NOT EXECUTED,NOT EXECUTED,"NO PROCUREMENT, PRODUCTION-CUTTING, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT CABLE COUPON PLAN - NOT APPROVED FOR PROCUREMENT, PRODUCTION CUTTING, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
ACC-M08,steady-state conductor/contact temperature rise,degC,SELECTION REQUIRED - QUALIFIED PROCESS / TEST PLAN,UNASSIGNED,NONE,NOT EXECUTED,NOT EXECUTED,"NO PROCUREMENT, PRODUCTION-CUTTING, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT CABLE COUPON PLAN - NOT APPROVED FOR PROCUREMENT, PRODUCTION CUTTING, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
ACC-M09,post-flex resistance change,%,SELECTION REQUIRED - QUALIFIED PROCESS / TEST PLAN,UNASSIGNED,NONE,NOT EXECUTED,NOT EXECUTED,"NO PROCUREMENT, PRODUCTION-CUTTING, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT CABLE COUPON PLAN - NOT APPROVED FOR PROCUREMENT, PRODUCTION CUTTING, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
ACC-M10,contact retention force,N,SELECTION REQUIRED - QUALIFIED PROCESS / TEST PLAN,UNASSIGNED,NONE,NOT EXECUTED,NOT EXECUTED,"NO PROCUREMENT, PRODUCTION-CUTTING, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT CABLE COUPON PLAN - NOT APPROVED FOR PROCUREMENT, PRODUCTION CUTTING, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
