sequence,part_id,role,quantity,design_bbox_xyz_mm,closed_to_open_relation,fit_article_note,production_interchangeable,built_quantity,warning
1,FFA_FRAME_FRONT,windowed palm frame and front pinion bearing,1,80.005 x 3.011 x 42.005,FIXED,M3 tie and 8.4 mm manual-shaft holes,NO,0,"PRELIMINARY - UNPOWERED NONSTRUCTURAL MANUAL FIT ARTICLE ONLY - NOT APPROVED FOR PRODUCTION FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
2,FFA_FRAME_REAR,windowed palm frame and rear pinion bearing,1,80.005 x 3.011 x 42.005,FIXED,M3 tie and 8.4 mm manual-shaft holes,NO,0,"PRELIMINARY - UNPOWERED NONSTRUCTURAL MANUAL FIT ARTICLE ONLY - NOT APPROVED FOR PRODUCTION FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
3,FFA_TOP_BRIDGE,upper palm tie bridge,1,76.006 x 50.006 x 4.006,FIXED,two M3 through ties,NO,0,"PRELIMINARY - UNPOWERED NONSTRUCTURAL MANUAL FIT ARTICLE ONLY - NOT APPROVED FOR PRODUCTION FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
4,FFA_BOTTOM_BRIDGE,lower palm tie bridge,1,76.006 x 50.006 x 4.006,FIXED,two M3 through ties,NO,0,"PRELIMINARY - UNPOWERED NONSTRUCTURAL MANUAL FIT ARTICLE ONLY - NOT APPROVED FOR PRODUCTION FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
5,FFA_END_POSITIVE,positive guide support and open stop,1,5.005 x 50.005 x 24.005,FIXED,two 4.35 mm guide holes and one M3 tie,NO,0,"PRELIMINARY - UNPOWERED NONSTRUCTURAL MANUAL FIT ARTICLE ONLY - NOT APPROVED FOR PRODUCTION FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
6,FFA_END_NEGATIVE,negative guide support and open stop,1,5.005 x 50.005 x 24.005,FIXED,two 4.35 mm guide holes and one M3 tie,NO,0,"PRELIMINARY - UNPOWERED NONSTRUCTURAL MANUAL FIT ARTICLE ONLY - NOT APPROVED FOR PRODUCTION FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
7,FFA_GUIDE_FRONT,84 mm printed guide proxy,1,84.002 x 4.000 x 4.002,FIXED,replace with measured 4 mm rod after coupon fit,NO,0,"PRELIMINARY - UNPOWERED NONSTRUCTURAL MANUAL FIT ARTICLE ONLY - NOT APPROVED FOR PRODUCTION FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
8,FFA_GUIDE_REAR,84 mm printed guide proxy,1,84.002 x 4.000 x 4.002,FIXED,replace with measured 4 mm rod after coupon fit,NO,0,"PRELIMINARY - UNPOWERED NONSTRUCTURAL MANUAL FIT ARTICLE ONLY - NOT APPROVED FOR PRODUCTION FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
9,FFA_FINGER_RACK_POSITIVE,"fused positive finger, rack and rigid pad proxy",1,39.005 x 36.014 x 57.756,TRANSLATES +13 MM X,fit-article-only web; not production gripper geometry,NO,0,"PRELIMINARY - UNPOWERED NONSTRUCTURAL MANUAL FIT ARTICLE ONLY - NOT APPROVED FOR PRODUCTION FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
10,FFA_FINGER_RACK_NEGATIVE,"fused negative finger, rack and rigid pad proxy",1,39.005 x 36.014 x 52.010,TRANSLATES -13 MM X,fit-article-only web; not production gripper geometry,NO,0,"PRELIMINARY - UNPOWERED NONSTRUCTURAL MANUAL FIT ARTICLE ONLY - NOT APPROVED FOR PRODUCTION FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
11,FFA_MANUAL_PINION,"manual pinion, hollow shaft and knob",1,16.000 x 70.007 x 16.010,ROTATES 148.969 DEG ABOUT +Y,M3 retainer through 8 mm rotating printed shaft,NO,0,"PRELIMINARY - UNPOWERED NONSTRUCTURAL MANUAL FIT ARTICLE ONLY - NOT APPROVED FOR PRODUCTION FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
