inspection_id,characteristic,source_nominal,method,development_acceptance,measured_value,result,evidence,warning
FFA-I01,coupon 4.35 mm guide hole,4.35 mm nominal,pin/gauge and caliper,record fit with received 4 mm rod; no forcing or cracking,NONE,NOT EXECUTED,NONE,"PRELIMINARY - UNPOWERED NONSTRUCTURAL MANUAL FIT ARTICLE ONLY - NOT APPROVED FOR PRODUCTION FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FFA-I02,printed or received guide diameter,4.00 mm nominal,micrometer at 6 locations,record min/max; use only after coupon disposition,NONE,NOT EXECUTED,NONE,"PRELIMINARY - UNPOWERED NONSTRUCTURAL MANUAL FIT ARTICLE ONLY - NOT APPROVED FOR PRODUCTION FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FFA-I03,assembled frame width,80.0 mm,caliper,80.0 ±0.7 mm development screen,NONE,NOT EXECUTED,NONE,"PRELIMINARY - UNPOWERED NONSTRUCTURAL MANUAL FIT ARTICLE ONLY - NOT APPROVED FOR PRODUCTION FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FFA-I04,assembled outer depth,58.0 mm,caliper,58.0 ±0.7 mm development screen,NONE,NOT EXECUTED,NONE,"PRELIMINARY - UNPOWERED NONSTRUCTURAL MANUAL FIT ARTICLE ONLY - NOT APPROVED FOR PRODUCTION FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FFA-I05,guide centre spacing,18.0 mm,caliper/gauge,18.0 ±0.5 mm development screen,NONE,NOT EXECUTED,NONE,"PRELIMINARY - UNPOWERED NONSTRUCTURAL MANUAL FIT ARTICLE ONLY - NOT APPROVED FOR PRODUCTION FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FFA-I06,closed pad gap,8.0 mm,caliper,8.0 ±1.0 mm,NONE,NOT EXECUTED,NONE,"PRELIMINARY - UNPOWERED NONSTRUCTURAL MANUAL FIT ARTICLE ONLY - NOT APPROVED FOR PRODUCTION FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FFA-I07,open pad gap,34.0 mm,caliper,34.0 ±1.0 mm,NONE,NOT EXECUTED,NONE,"PRELIMINARY - UNPOWERED NONSTRUCTURAL MANUAL FIT ARTICLE ONLY - NOT APPROVED FOR PRODUCTION FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FFA-I08,positive jaw travel,13.0 mm,caliper/scale,13.0 ±0.7 mm,NONE,NOT EXECUTED,NONE,"PRELIMINARY - UNPOWERED NONSTRUCTURAL MANUAL FIT ARTICLE ONLY - NOT APPROVED FOR PRODUCTION FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FFA-I09,negative jaw travel,13.0 mm,caliper/scale,13.0 ±0.7 mm,NONE,NOT EXECUTED,NONE,"PRELIMINARY - UNPOWERED NONSTRUCTURAL MANUAL FIT ARTICLE ONLY - NOT APPROVED FOR PRODUCTION FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FFA-I10,jaw travel mismatch,0.0 mm,derived from I08/I09,≤0.5 mm,NONE,NOT EXECUTED,NONE,"PRELIMINARY - UNPOWERED NONSTRUCTURAL MANUAL FIT ARTICLE ONLY - NOT APPROVED FOR PRODUCTION FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FFA-I11,manual backlash at pad,CAD candidate only,dial indicator or caliper method recorded,record only; no production limit released,NONE,NOT EXECUTED,NONE,"PRELIMINARY - UNPOWERED NONSTRUCTURAL MANUAL FIT ARTICLE ONLY - NOT APPROVED FOR PRODUCTION FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
FFA-I12,50-cycle condition,no visible damage or jam,visual/manual,"no crack, jam, tooth skip, rod release or increasing drag",NONE,NOT EXECUTED,NONE,"PRELIMINARY - UNPOWERED NONSTRUCTURAL MANUAL FIT ARTICLE ONLY - NOT APPROVED FOR PRODUCTION FABRICATION, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
