item_id,quantity,unit,manufacturer,order_code,description,selection_state,procurement_released,warning
CK-B01,1,each,Mueller Electric,BU-0061-M-39-2,red 39 inch 18 AWG silicone shrouded-banana lead,EXACT CANDIDATE,NO,"PRELIMINARY - UNBUILT OFF-ROBOT CALIBRATION CABLE AND FAULT-ADAPTER KIT - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, ROBOT CONNECTION, POWERED ROBOT TESTING, MOTION, WALKING OR ENERGIZATION"
CK-B02,1,each,Mueller Electric,BU-0061-M-39-0,black 39 inch 18 AWG silicone shrouded-banana lead,EXACT CANDIDATE,NO,"PRELIMINARY - UNBUILT OFF-ROBOT CALIBRATION CABLE AND FAULT-ADAPTER KIT - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, ROBOT CONNECTION, POWERED ROBOT TESTING, MOTION, WALKING OR ENERGIZATION"
CK-B03,2,m,Alpha Wire,5610B2201,one-pair shielded 22 AWG cable,EXACT CANDIDATE; includes process scrap,NO,"PRELIMINARY - UNBUILT OFF-ROBOT CALIBRATION CABLE AND FAULT-ADAPTER KIT - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, ROBOT CONNECTION, POWERED ROBOT TESTING, MOTION, WALKING OR ENERGIZATION"
CK-B04,10,each,Phoenix Contact,1757019,two-position 5.08 mm screw plug,EXACT CANDIDATE,NO,"PRELIMINARY - UNBUILT OFF-ROBOT CALIBRATION CABLE AND FAULT-ADAPTER KIT - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, ROBOT CONNECTION, POWERED ROBOT TESTING, MOTION, WALKING OR ENERGIZATION"
CK-B05,4,each,Phoenix Contact,3200742,AI 1-6 RD ferrule for 18 AWG source leads plus two coupons/spares,EXACT CANDIDATE,NO,"PRELIMINARY - UNBUILT OFF-ROBOT CALIBRATION CABLE AND FAULT-ADAPTER KIT - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, ROBOT CONNECTION, POWERED ROBOT TESTING, MOTION, WALKING OR ENERGIZATION"
CK-B06,20,each,Phoenix Contact,3203066,AI 0.34-8 TQ ferrule for 22 AWG assemblies plus coupons/spares,EXACT CANDIDATE,NO,"PRELIMINARY - UNBUILT OFF-ROBOT CALIBRATION CABLE AND FAULT-ADAPTER KIT - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, ROBOT CONNECTION, POWERED ROBOT TESTING, MOTION, WALKING OR ENERGIZATION"
CK-B07,1,each,Phoenix Contact,1213154,CRIMPFOX CENTRUS 10S hand crimper,EXACT TOOL CANDIDATE; calibration/inspection open,NO,"PRELIMINARY - UNBUILT OFF-ROBOT CALIBRATION CABLE AND FAULT-ADAPTER KIT - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, ROBOT CONNECTION, POWERED ROBOT TESTING, MOTION, WALKING OR ENERGIZATION"
CK-B08,1,each,Alpha Wire,FIT-KIT-221BK,black FIT-221 heat-shrink kit containing 1/4 inch tubing,EXACT MATERIAL CANDIDATE; shrink process open,NO,"PRELIMINARY - UNBUILT OFF-ROBOT CALIBRATION CABLE AND FAULT-ADAPTER KIT - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, ROBOT CONNECTION, POWERED ROBOT TESTING, MOTION, WALKING OR ENERGIZATION"
CK-B09,1,each,Fluke,TL930 / part 1616671,61 cm red/black 4 mm patch-cord pair,EXACT CANDIDATE; do not modify,NO,"PRELIMINARY - UNBUILT OFF-ROBOT CALIBRATION CABLE AND FAULT-ADAPTER KIT - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, ROBOT CONNECTION, POWERED ROBOT TESTING, MOTION, WALKING OR ENERGIZATION"
CK-B10,1,each,SELECTION REQUIRED,SELECTION REQUIRED,calibrated 0.50-0.60 N m torque driver and bit,SELECTION REQUIRED,NO,"PRELIMINARY - UNBUILT OFF-ROBOT CALIBRATION CABLE AND FAULT-ADAPTER KIT - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, ROBOT CONNECTION, POWERED ROBOT TESTING, MOTION, WALKING OR ENERGIZATION"
CK-B11,1,each,PROJECT PRINT,CK-LABEL-P0.1,water-resistant two-ended cable and fault labels,MATERIAL/ADHESION SELECTION REQUIRED,NO,"PRELIMINARY - UNBUILT OFF-ROBOT CALIBRATION CABLE AND FAULT-ADAPTER KIT - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, ROBOT CONNECTION, POWERED ROBOT TESTING, MOTION, WALKING OR ENERGIZATION"
CK-B12,1,each,SELECTION REQUIRED,SELECTION REQUIRED,latching divided storage case with normal/fault physical segregation,SELECTION REQUIRED,NO,"PRELIMINARY - UNBUILT OFF-ROBOT CALIBRATION CABLE AND FAULT-ADAPTER KIT - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, ROBOT CONNECTION, POWERED ROBOT TESTING, MOTION, WALKING OR ENERGIZATION"
