step_id,operation,instruction,required_record,stop_rule,result,authority,warning
TR-01,kit segregation,"Clear bench; no robot, battery, safety circuit, actuator, USB-grounded equipment or live source connected.",Photograph empty bench and fixture isolation,STOP on any robot or energized circuit connection,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, ASSEMBLY, ROBOT CONNECTION, POWERED-ROBOT-TEST, MOTION, WALKING OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT OFF-ROBOT CALIBRATION CABLE AND FAULT-ADAPTER KIT - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, ROBOT CONNECTION, POWERED ROBOT TESTING, MOTION, WALKING OR ENERGIZATION"
TR-02,incoming inspection,"Record manufacturer, order code, lot and quantity for every cable, connector, ferrule, shrink and tool.",Incoming record and photographs,STOP on substitution or damage,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, ASSEMBLY, ROBOT CONNECTION, POWERED-ROBOT-TEST, MOTION, WALKING OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT OFF-ROBOT CALIBRATION CABLE AND FAULT-ADAPTER KIT - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, ROBOT CONNECTION, POWERED ROBOT TESTING, MOTION, WALKING OR ENERGIZATION"
TR-03,cut and strip,Process one assembly at a time from wire-cut-list.csv; use calibrated length and stripping gauges.,Actual lengths and strip measurements,STOP on nicked strands or tolerance failure,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, ASSEMBLY, ROBOT CONNECTION, POWERED-ROBOT-TEST, MOTION, WALKING OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT OFF-ROBOT CALIBRATION CABLE AND FAULT-ADAPTER KIT - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, ROBOT CONNECTION, POWERED ROBOT TESTING, MOTION, WALKING OR ENERGIZATION"
TR-04,shield isolation,For CK-02..05 cut foil/drain flush at both ends and cover with 20 +/-2 mm FIT-221-1/4 sleeve.,No shield/drain continuity to any contact,STOP on exposed shield strand,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, ASSEMBLY, ROBOT CONNECTION, POWERED-ROBOT-TEST, MOTION, WALKING OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT OFF-ROBOT CALIBRATION CABLE AND FAULT-ADAPTER KIT - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, ROBOT CONNECTION, POWERED ROBOT TESTING, MOTION, WALKING OR ENERGIZATION"
TR-05,ferrule crimp,Use CRIMPFOX CENTRUS 10S: 3200742 on 18 AWG source leads; 3203066 on 22 AWG conductors.,"Lot/tool ID, visual crimp inspection and coupon pull record",STOP on wrong ferrule/tool or incomplete insertion,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, ASSEMBLY, ROBOT CONNECTION, POWERED-ROBOT-TEST, MOTION, WALKING OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT OFF-ROBOT CALIBRATION CABLE AND FAULT-ADAPTER KIT - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, ROBOT CONNECTION, POWERED ROBOT TESTING, MOTION, WALKING OR ENERGIZATION"
TR-06,plug termination,Insert to contact map; tighten every Phoenix 1757019 screw to 0.50-0.60 N m with in-calibration torque driver.,"Contact, torque value, driver serial/date","STOP on loose strand, exposed copper or torque miss",NOT EXECUTED,"NO PROCUREMENT, FABRICATION, ASSEMBLY, ROBOT CONNECTION, POWERED-ROBOT-TEST, MOTION, WALKING OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT OFF-ROBOT CALIBRATION CABLE AND FAULT-ADAPTER KIT - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, ROBOT CONNECTION, POWERED ROBOT TESTING, MOTION, WALKING OR ENERGIZATION"
TR-07,labels,"Apply both-end assembly ID, role, direction and fault label; orange open adapters name the open conductor; short adapter states OUTPUT OFF TO FIT/REMOVE.",Two-person label-to-map check,STOP on ambiguity or unreadable text,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, ASSEMBLY, ROBOT CONNECTION, POWERED-ROBOT-TEST, MOTION, WALKING OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT OFF-ROBOT CALIBRATION CABLE AND FAULT-ADAPTER KIT - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, ROBOT CONNECTION, POWERED ROBOT TESTING, MOTION, WALKING OR ENERGIZATION"
TR-08,continuity and isolation,"Four-wire/lead-null continuity per populated path; >10 Mohm between open contacts, shield/drain and populated circuits at a qualified test voltage not yet released.",Raw readings and instrument identities,STOP until insulation test voltage is selected,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, ASSEMBLY, ROBOT CONNECTION, POWERED-ROBOT-TEST, MOTION, WALKING OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT OFF-ROBOT CALIBRATION CABLE AND FAULT-ADAPTER KIT - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, ROBOT CONNECTION, POWERED ROBOT TESTING, MOTION, WALKING OR ENERGIZATION"
TR-09,polarity fixture,"With no source connected, use continuity to verify CK-02 straight, CK-03 crossed, CK-04 HI open, CK-05 LO open and CK-06 short.",Signed connector/contact matrix,STOP on any mismatch,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, ASSEMBLY, ROBOT CONNECTION, POWERED-ROBOT-TEST, MOTION, WALKING OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT OFF-ROBOT CALIBRATION CABLE AND FAULT-ADAPTER KIT - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, ROBOT CONNECTION, POWERED ROBOT TESTING, MOTION, WALKING OR ENERGIZATION"
TR-10,retention and bend,Perform qualified axial retention coupon/test and verify minimum 49 mm cable bend radius for 5610B2201 assemblies.,"Force, duration, displacement and post-test continuity",STOP because numeric retention limit remains open,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, ASSEMBLY, ROBOT CONNECTION, POWERED-ROBOT-TEST, MOTION, WALKING OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT OFF-ROBOT CALIBRATION CABLE AND FAULT-ADAPTER KIT - ZERO SAFETY CREDIT - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, ROBOT CONNECTION, POWERED ROBOT TESTING, MOTION, WALKING OR ENERGIZATION"
