function_id,candidate_plr,category,mttfd_or_b10d_inputs,annual_operations_nop,diagnostic_coverage_dcavg,common_cause_score,mission_time_years,software_measures,excluded_faults,pfhd,achieved_pl,reviewer_disposition,validation_state,authority,warning
SFR-01,d,SELECTION REQUIRED / REVIEW REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NONE ACCEPTED,NOT CALCULATED,NOT CALCULATED,NOT REVIEWED,NOT VALIDATED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - SAFETY REQUIREMENTS CANDIDATE ONLY - NOT FUNCTIONALLY SAFETY VALIDATED - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SFR-02,d,SELECTION REQUIRED / REVIEW REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NONE ACCEPTED,NOT CALCULATED,NOT CALCULATED,NOT REVIEWED,NOT VALIDATED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - SAFETY REQUIREMENTS CANDIDATE ONLY - NOT FUNCTIONALLY SAFETY VALIDATED - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SFR-03,d,SELECTION REQUIRED / REVIEW REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NONE ACCEPTED,NOT CALCULATED,NOT CALCULATED,NOT REVIEWED,NOT VALIDATED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - SAFETY REQUIREMENTS CANDIDATE ONLY - NOT FUNCTIONALLY SAFETY VALIDATED - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SFR-04,d,SELECTION REQUIRED / REVIEW REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NONE ACCEPTED,NOT CALCULATED,NOT CALCULATED,NOT REVIEWED,NOT VALIDATED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - SAFETY REQUIREMENTS CANDIDATE ONLY - NOT FUNCTIONALLY SAFETY VALIDATED - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SFR-05,d,SELECTION REQUIRED / REVIEW REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NONE ACCEPTED,NOT CALCULATED,NOT CALCULATED,NOT REVIEWED,NOT VALIDATED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - SAFETY REQUIREMENTS CANDIDATE ONLY - NOT FUNCTIONALLY SAFETY VALIDATED - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SFR-06,N/A,SELECTION REQUIRED / REVIEW REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NONE ACCEPTED,NOT CALCULATED,NOT CALCULATED,NOT REVIEWED,NOT VALIDATED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - SAFETY REQUIREMENTS CANDIDATE ONLY - NOT FUNCTIONALLY SAFETY VALIDATED - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SFR-07,NOT ALLOCATED,SELECTION REQUIRED / REVIEW REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NONE ACCEPTED,NOT CALCULATED,NOT CALCULATED,NOT REVIEWED,NOT VALIDATED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - SAFETY REQUIREMENTS CANDIDATE ONLY - NOT FUNCTIONALLY SAFETY VALIDATED - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SFR-08,NOT ALLOCATED,SELECTION REQUIRED / REVIEW REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NONE ACCEPTED,NOT CALCULATED,NOT CALCULATED,NOT REVIEWED,NOT VALIDATED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - SAFETY REQUIREMENTS CANDIDATE ONLY - NOT FUNCTIONALLY SAFETY VALIDATED - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SFR-09,c,SELECTION REQUIRED / REVIEW REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NONE ACCEPTED,NOT CALCULATED,NOT CALCULATED,NOT REVIEWED,NOT VALIDATED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - SAFETY REQUIREMENTS CANDIDATE ONLY - NOT FUNCTIONALLY SAFETY VALIDATED - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
SFR-10,N/A,SELECTION REQUIRED / REVIEW REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NONE ACCEPTED,NOT CALCULATED,NOT CALCULATED,NOT REVIEWED,NOT VALIDATED,"NO CONNECTION, POWERED-TEST, MOTION, OR ENERGIZATION AUTHORITY","PRELIMINARY - SAFETY REQUIREMENTS CANDIDATE ONLY - NOT FUNCTIONALLY SAFETY VALIDATED - NOT APPROVED FOR CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
