gate,required,status,warning
element_connectivity_and_orientation_preserved,True,NOT EXECUTED,"PRELIMINARY - CONSTRAINED HIGH-ORDER CURVING PREREGISTRATION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
all_linear_corner_coordinates_restored_max_mm,1e-12,NOT EXECUTED,"PRELIMINARY - CONSTRAINED HIGH-ORDER CURVING PREREGISTRATION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
global_and_zone_sicn_exactly_unchanged,True,NOT EXECUTED,"PRELIMINARY - CONSTRAINED HIGH-ORDER CURVING PREREGISTRATION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
q4_q6_q8_wrong_or_zero,0,NOT EXECUTED,"PRELIMINARY - CONSTRAINED HIGH-ORDER CURVING PREREGISTRATION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
q4_q6_q8_normalized_floor_fail,0,NOT EXECUTED,"PRELIMINARY - CONSTRAINED HIGH-ORDER CURVING PREREGISTRATION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
exact_exterior_facet_map_complete,True,NOT EXECUTED,"PRELIMINARY - CONSTRAINED HIGH-ORDER CURVING PREREGISTRATION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
maximum_q8_surface_deviation_mm,0.005,NOT EXECUTED,"PRELIMINARY - CONSTRAINED HIGH-ORDER CURVING PREREGISTRATION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
per_face_area_relative_error_max,0.0025,NOT EXECUTED,"PRELIMINARY - CONSTRAINED HIGH-ORDER CURVING PREREGISTRATION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
loaded_area_relative_error_max,0.0025,NOT EXECUTED,"PRELIMINARY - CONSTRAINED HIGH-ORDER CURVING PREREGISTRATION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
load_location_and_moment_relative_drift_max,0.001,NOT EXECUTED,"PRELIMINARY - CONSTRAINED HIGH-ORDER CURVING PREREGISTRATION ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
