reference,terminal,function,net,state,warning
ADP1,FIELD,S0 CHANNEL-1 RETURN,SR1_S12_TAP_HELD,NO PARTS / NO VALUES / CONNECTION PROHIBITED,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
ADP1,INP,SCALED OUTPUT,CH1_INP_HELD,NO PARTS / NO VALUES / CONNECTION PROHIBITED,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
ADP1,RETURN,FIELD RETURN,CH1_RETURN_HELD,NO PARTS / NO VALUES / CONNECTION PROHIBITED,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EVM1,J2.1,INP,CH1_INP_HELD,NOT SELECTED / BENCH R&D ONLY,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EVM1,J2.2,INN,CH1_RETURN_HELD,NOT SELECTED / BENCH R&D ONLY,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EVM1,J2.3,HGND,CH1_RETURN_HELD,NOT SELECTED / BENCH R&D ONLY,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EVM1,J3.2,OUTP,CH1_OUTP,NOT SELECTED / BENCH R&D ONLY,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EVM1,J3.1,OUTN,CH1_OUTN,NOT SELECTED / BENCH R&D ONLY,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EVM1,J3.3,GND,DAQ_GND,NOT SELECTED / BENCH R&D ONLY,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EVM1,J1.1,VDD,EVM_VDD_SELECTION_REQUIRED,NOT SELECTED / BENCH R&D ONLY,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EVM1,J1.2,GND,DAQ_GND,NOT SELECTED / BENCH R&D ONLY,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
ADP2,FIELD,MANUAL RESET RETURN,SR1_START_RETURN_TAP_HELD,NO PARTS / NO VALUES / CONNECTION PROHIBITED,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
ADP2,INP,SCALED OUTPUT,CH2_INP_HELD,NO PARTS / NO VALUES / CONNECTION PROHIBITED,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
ADP2,RETURN,FIELD RETURN,CH2_RETURN_HELD,NO PARTS / NO VALUES / CONNECTION PROHIBITED,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EVM2,J2.1,INP,CH2_INP_HELD,NOT SELECTED / BENCH R&D ONLY,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EVM2,J2.2,INN,CH2_RETURN_HELD,NOT SELECTED / BENCH R&D ONLY,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EVM2,J2.3,HGND,CH2_RETURN_HELD,NOT SELECTED / BENCH R&D ONLY,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EVM2,J3.2,OUTP,CH2_OUTP,NOT SELECTED / BENCH R&D ONLY,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EVM2,J3.1,OUTN,CH2_OUTN,NOT SELECTED / BENCH R&D ONLY,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EVM2,J3.3,GND,DAQ_GND,NOT SELECTED / BENCH R&D ONLY,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EVM2,J1.1,VDD,EVM_VDD_SELECTION_REQUIRED,NOT SELECTED / BENCH R&D ONLY,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
EVM2,J1.2,GND,DAQ_GND,NOT SELECTED / BENCH R&D ONLY,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
ADP3,FIELD,MANUAL ARM/START RETURN,ARM_AFTER_S2_TAP_HELD,NO PARTS / NO VALUES / CONNECTION PROHIBITED,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
ADP3,INP,SCALED OUTPUT,CH3_INP_HELD,NO PARTS / NO VALUES / CONNECTION PROHIBITED,"PRELIMINARY - BENCH R&D EQUIPMENT ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
