Ref,Val,Package,PosX,PosY,Rot,Side
"CDEC1","Murata GRM21BR71H104KA01L, 100 nF 50 V X7R 0805","C_0805_2012Metric",94.000000,-73.500000,90.000000,top
"CDRV1","Murata GRM21BR71H104KA01L, 100 nF 50 V X7R 0805","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",92.000000,-39.000000,180.000000,top
"CDRV2","Murata GRM21BR71H104KA01L, 100 nF 50 V X7R 0805","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",124.000000,-39.000000,180.000000,top
"CFI1","TDK CGA3E2X7R1H103K080AA, 10 nF 50 V X7R 0603","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",104.000000,-70.000000,90.000000,top
"CFI2","TDK CGA3E2X7R1H103K080AA, 10 nF 50 V X7R 0603","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",104.000000,-81.000000,-90.000000,top
"DC1","TRACO POWER TSR 1-2450, 24 V to 5 V 1 A non-isolated","Converter_DCDC_TRACO_TSR-1_THT",50.000000,-34.000000,0.000000,top
"ISO1","Vishay VO618A-4X017T heartbeat optocoupler","VO618A_Option7_SMD",62.000000,-108.000000,0.000000,top
"JWF1","Phoenix Contact MKDS 1/2-3,5, item 1751248","MKDS_1_2_3P5",150.000000,-76.000000,0.000000,top
"JWH1","Phoenix Contact MKDS 1/2-3,5, item 1751248","MKDS_1_2_3P5",30.000000,-108.000000,0.000000,top
"JWP1","Phoenix Contact MKDS 1/4-3,5, item 1751264","MKDS_1_4_3P5",30.000000,-34.000000,0.000000,top
"RHB1","Panasonic ERJ6ENF9100V, 910 Ohm 1% 0805 0.125 W","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",48.000000,-108.000000,0.000000,top
"RHP1","Panasonic ERJ6ENF1002V, 10.0 kOhm 1% 0805 0.125 W","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",50.000000,-98.000000,0.000000,top
"RPD1","Panasonic ERJ6ENF1002V, 10.0 kOhm 1% 0805","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",91.000000,-68.000000,0.000000,top
"RPD2","Panasonic ERJ6ENF1002V, 10.0 kOhm 1% 0805","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",91.000000,-88.000000,0.000000,top
"RSN1","Panasonic ERJ6ENF5620V, 562 Ohm 1% 0805","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",109.000000,-73.500000,-90.000000,top
"RSN2","Panasonic ERJ6ENF5620V, 562 Ohm 1% 0805","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",109.000000,-78.500000,-90.000000,top
"RSO1","Panasonic ERJ6ENF1001V, 1.00 kOhm 1% 0805","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",91.000000,-64.000000,0.000000,top
"RSO2","Panasonic ERJ6ENF1001V, 1.00 kOhm 1% 0805","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",91.000000,-84.000000,0.000000,top
"RTH1","Vishay MMA02040C1001FB300, 1.00 kOhm 1% 0.4 W MELF","R_MiniMELF_MMA-0204",125.000000,-70.000000,180.000000,top
"RTH2","Vishay MMA02040C1001FB300, 1.00 kOhm 1% 0.4 W MELF","R_MiniMELF_MMA-0204",125.000000,-82.000000,180.000000,top
"RW1","Vishay CRCW12102K70FKEA, 2.70 kOhm 1% 0.5 W 1210","R_1210_3225Metric_Pad1.30x2.65mm_HandSolder",136.000000,-70.000000,0.000000,top
"RW2","Vishay CRCW12102K70FKEA, 2.70 kOhm 1% 0.5 W 1210","R_1210_3225Metric_Pad1.30x2.65mm_HandSolder",136.000000,-82.000000,0.000000,top
"TP1","Harwin S1751-46R SMT test point","Harwin_S1751_46R",72.000000,-40.000000,0.000000,top
"TP2","Harwin S1751-46R SMT test point","Harwin_S1751_46R",76.000000,-36.000000,0.000000,top
"TP3","Harwin S1751-46R SMT test point","Harwin_S1751_46R",62.000000,-32.000000,0.000000,top
"TP4","Harwin S1751-46R SMT test point","Harwin_S1751_46R",70.000000,-46.000000,0.000000,top
"TP5","Harwin S1751-46R SMT test point","Harwin_S1751_46R",38.000000,-105.000000,0.000000,top
"TP6","Harwin S1751-46R SMT test point","Harwin_S1751_46R",50.000000,-92.000000,0.000000,top
"TP7","Harwin S1751-46R SMT test point","Harwin_S1751_46R",78.000000,-52.000000,0.000000,top
"TP8","Harwin S1751-46R SMT test point","Harwin_S1751_46R",108.000000,-54.000000,0.000000,top
"TP9","Harwin S1751-46R SMT test point","Harwin_S1751_46R",74.000000,-24.000000,0.000000,top
"TP10","Harwin S1751-46R SMT test point","Harwin_S1751_46R",108.000000,-21.500000,0.000000,top
"TP11","Harwin S1751-46R SMT test point","Harwin_S1751_46R",154.000000,-66.000000,0.000000,top
"TP12","Harwin S1751-46R SMT test point","Harwin_S1751_46R",166.000000,-88.000000,0.000000,top
"TP13","Harwin S1751-46R SMT test point","Harwin_S1751_46R",90.000000,-58.000000,0.000000,top
"TP14","Harwin S1751-46R SMT test point","Harwin_S1751_46R",86.000000,-90.000000,0.000000,top
"TP15","Harwin S1751-46R SMT test point","Harwin_S1751_46R",96.000000,-58.000000,0.000000,top
"TP16","Harwin S1751-46R SMT test point","Harwin_S1751_46R",90.000000,-78.000000,0.000000,top
"UDRV1","Texas Instruments TPL7407LPWR channel-1 relay driver","TSSOP-16_4.4x5mm_P0.65mm",92.000000,-34.000000,0.000000,top
