dynamic_link,assembly_group,baseline_allocation_kg,identified_minimum_candidate_kg,identified_planning_candidate_kg,identified_maximum_candidate_kg,allocation_minus_planning_kg,reconciled_dynamics_mass_kg,reconciled_com_x_m,reconciled_com_y_m,reconciled_com_z_m,identified_item_count,status,warning
base_link,pelvis/power,1.650000000,0.686218641,0.686218641,0.686218641,0.963781359,1.650000000,-0.001502859,0.000697247,0.395115987,11,RESIDUAL ALLOWANCE REMAINS FOR UNMODELED ITEMS,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
torso,torso/compute/waist,1.830000000,0.469868085,0.469868085,0.469868085,1.360131915,1.830000000,0.000000000,0.000322214,0.516317907,5,RESIDUAL ALLOWANCE REMAINS FOR UNMODELED ITEMS,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
neck_pan_link,neck,0.100000000,0.116516259,0.116516259,0.116516259,-0.016516259,0.116516259,-0.001367067,-0.000000646,0.627251709,6,ALLOCATION EXCEEDED BY IDENTIFIED CANDIDATE VOLUMES,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
head,head/display/sensing,0.400000000,0.138854329,0.138854329,0.138854329,0.261145671,0.400000000,-0.002220270,0.002406298,0.704036367,7,RESIDUAL ALLOWANCE REMAINS FOR UNMODELED ITEMS,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
L_shoulder_pitch_link,L arm,0.100000000,0.261770129,0.261770129,0.261770129,-0.161770129,0.261770129,0.105429672,0.025592582,0.580527121,8,ALLOCATION EXCEEDED BY IDENTIFIED CANDIDATE VOLUMES,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
L_upper_arm,L arm,0.270000000,0.491137841,0.574137841,0.574137841,-0.304137841,0.574137841,0.104453475,0.000195903,0.502592419,17,ALLOCATION EXCEEDED BY IDENTIFIED CANDIDATE VOLUMES,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
L_forearm,L arm,0.220000000,0.183885068,0.183885068,0.183885068,0.036114932,0.220000000,0.132288041,0.000000000,0.348606327,9,RESIDUAL ALLOWANCE REMAINS FOR UNMODELED ITEMS,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
L_hand,L hand,0.180000000,0.041153798,0.041153798,0.041153798,0.138846202,0.180000000,0.129397546,-0.000509022,0.268778047,6,RESIDUAL ALLOWANCE REMAINS FOR UNMODELED ITEMS,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
L_gripper,L hand,0.030000000,0.000000000,0.000000000,0.000000000,0.030000000,0.030000000,0.125000000,0.000000000,0.232000000,0,RESIDUAL ALLOWANCE REMAINS FOR UNMODELED ITEMS,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
L_hip_yaw_link,L leg,0.080000000,0.000000000,0.000000000,0.000000000,0.080000000,0.080000000,0.062500000,0.000000000,0.397000000,0,RESIDUAL ALLOWANCE REMAINS FOR UNMODELED ITEMS,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
L_hip_roll_link,L leg,0.080000000,0.000000000,0.000000000,0.000000000,0.080000000,0.080000000,0.062500000,0.000000000,0.388000000,0,RESIDUAL ALLOWANCE REMAINS FOR UNMODELED ITEMS,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
L_thigh,L leg,0.660000000,1.569667426,1.569667426,1.569667426,-0.909667426,1.569667426,0.061063539,0.000071655,0.321165010,36,ALLOCATION EXCEEDED BY IDENTIFIED CANDIDATE VOLUMES,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
L_shin,L leg,0.470000000,0.884419342,0.884419342,0.884419342,-0.414419342,0.884419342,0.062627174,0.000127174,0.068385718,23,ALLOCATION EXCEEDED BY IDENTIFIED CANDIDATE VOLUMES,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
L_ankle_pitch_link,L leg,0.130000000,0.000000000,0.000000000,0.000000000,0.130000000,0.130000000,0.062500000,0.000000000,0.045000000,0,RESIDUAL ALLOWANCE REMAINS FOR UNMODELED ITEMS,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
L_foot,L foot,0.605000000,0.125579565,0.125579565,0.125579565,0.479420435,0.605000000,0.062500000,-0.015645820,0.017242872,3,RESIDUAL ALLOWANCE REMAINS FOR UNMODELED ITEMS,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
