link_a,link_b,reason,scope
L_ankle_pitch_link,L_foot,DIRECT KINEMATIC INTERFACE L_ANKLE_ROLL,COLLISION PAIR EXCLUDED ONLY; INTERFACE DESIGN/LOAD/TOLERANCE REMAINS OPEN
L_ankle_pitch_link,L_shin,DIRECT KINEMATIC INTERFACE L_ANKLE_PITCH,COLLISION PAIR EXCLUDED ONLY; INTERFACE DESIGN/LOAD/TOLERANCE REMAINS OPEN
L_foot,L_shin,NESTED ANKLE/FOOT INTERFACE ENVELOPES,COLLISION PAIR EXCLUDED ONLY; INTERFACE DESIGN/LOAD/TOLERANCE REMAINS OPEN
L_forearm,L_hand,DIRECT KINEMATIC INTERFACE L_WRIST_ROTATION,COLLISION PAIR EXCLUDED ONLY; INTERFACE DESIGN/LOAD/TOLERANCE REMAINS OPEN
L_forearm,L_upper_arm,DIRECT KINEMATIC INTERFACE L_ELBOW_PITCH,COLLISION PAIR EXCLUDED ONLY; INTERFACE DESIGN/LOAD/TOLERANCE REMAINS OPEN
L_gripper,L_hand,DIRECT KINEMATIC INTERFACE L_GRIPPER,COLLISION PAIR EXCLUDED ONLY; INTERFACE DESIGN/LOAD/TOLERANCE REMAINS OPEN
L_hip_roll_link,L_hip_yaw_link,DIRECT KINEMATIC INTERFACE L_HIP_ROLL,COLLISION PAIR EXCLUDED ONLY; INTERFACE DESIGN/LOAD/TOLERANCE REMAINS OPEN
L_hip_roll_link,L_thigh,DIRECT KINEMATIC INTERFACE L_HIP_PITCH,COLLISION PAIR EXCLUDED ONLY; INTERFACE DESIGN/LOAD/TOLERANCE REMAINS OPEN
L_hip_roll_link,base_link,NESTED PELVIS/HIP GIMBAL ENVELOPES,COLLISION PAIR EXCLUDED ONLY; INTERFACE DESIGN/LOAD/TOLERANCE REMAINS OPEN
L_hip_yaw_link,L_thigh,NESTED HIP GIMBAL ENVELOPES,COLLISION PAIR EXCLUDED ONLY; INTERFACE DESIGN/LOAD/TOLERANCE REMAINS OPEN
L_hip_yaw_link,base_link,DIRECT KINEMATIC INTERFACE L_HIP_YAW,COLLISION PAIR EXCLUDED ONLY; INTERFACE DESIGN/LOAD/TOLERANCE REMAINS OPEN
L_shin,L_thigh,DIRECT KINEMATIC INTERFACE L_KNEE_PITCH,COLLISION PAIR EXCLUDED ONLY; INTERFACE DESIGN/LOAD/TOLERANCE REMAINS OPEN
L_shoulder_pitch_link,L_upper_arm,DIRECT KINEMATIC INTERFACE L_SHOULDER_ROLL,COLLISION PAIR EXCLUDED ONLY; INTERFACE DESIGN/LOAD/TOLERANCE REMAINS OPEN
L_shoulder_pitch_link,torso,DIRECT KINEMATIC INTERFACE L_SHOULDER_PITCH,COLLISION PAIR EXCLUDED ONLY; INTERFACE DESIGN/LOAD/TOLERANCE REMAINS OPEN
L_thigh,base_link,PELVIS/HIP/THIGH STRUCTURAL INTERFACE ENVELOPES,COLLISION PAIR EXCLUDED ONLY; INTERFACE DESIGN/LOAD/TOLERANCE REMAINS OPEN
L_upper_arm,torso,TORSO/SHOULDER STRUCTURAL INTERFACE ENVELOPES,COLLISION PAIR EXCLUDED ONLY; INTERFACE DESIGN/LOAD/TOLERANCE REMAINS OPEN
R_ankle_pitch_link,R_foot,DIRECT KINEMATIC INTERFACE R_ANKLE_ROLL,COLLISION PAIR EXCLUDED ONLY; INTERFACE DESIGN/LOAD/TOLERANCE REMAINS OPEN
R_ankle_pitch_link,R_shin,DIRECT KINEMATIC INTERFACE R_ANKLE_PITCH,COLLISION PAIR EXCLUDED ONLY; INTERFACE DESIGN/LOAD/TOLERANCE REMAINS OPEN
R_foot,R_shin,NESTED ANKLE/FOOT INTERFACE ENVELOPES,COLLISION PAIR EXCLUDED ONLY; INTERFACE DESIGN/LOAD/TOLERANCE REMAINS OPEN
R_forearm,R_hand,DIRECT KINEMATIC INTERFACE R_WRIST_ROTATION,COLLISION PAIR EXCLUDED ONLY; INTERFACE DESIGN/LOAD/TOLERANCE REMAINS OPEN
R_forearm,R_upper_arm,DIRECT KINEMATIC INTERFACE R_ELBOW_PITCH,COLLISION PAIR EXCLUDED ONLY; INTERFACE DESIGN/LOAD/TOLERANCE REMAINS OPEN
