axis_id,region,candidate_actuator,actuator_family,bus_id,segment_position_provisional,protocol,protocol_compatibility,actuator_connector_contacts,official_interface_source,official_interface_accessed_date,actuator_id,connector_pin_mapping,actuator_side_housing,actuator_pcb_header,actuator_side_crimp_terminal,manufacturer_published_dynamixel_wire_gauge,controller_side_connector_and_pin_mapping,branch_power_injection,authority
L_HIP_YAW,leg,ROBOTIS XH540-W270-R evaluation candidate,XH540,RS-LLEG,1,RS-485 HALF-DUPLEX,MATCH,4,https://docs.robotis.com/docs/dxl/model_reference/x_series/xh_series/xh540-w270/,2026-08-14,SELECTION REQUIRED,ACTUATOR SIDE VERIFIED: 1=GND; 2=VDD; 3=DATA+; 4=DATA-,JST EHR-04,JST B4B-EH-A,JST SEH-001T-P0.6,21 AWG,"B03B-PASK-1; 1=reference, 2=data+, 3=data-; NO VDD",ONE SEPARATELY PROTECTED ACTUATOR FEED; this axis does not share VDD; data daisy carries only reference and data,"NO CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
L_HIP_ROLL,leg,ROBOTIS XH540-W270-R evaluation candidate,XH540,RS-LLEG,2,RS-485 HALF-DUPLEX,MATCH,4,https://docs.robotis.com/docs/dxl/model_reference/x_series/xh_series/xh540-w270/,2026-08-14,SELECTION REQUIRED,ACTUATOR SIDE VERIFIED: 1=GND; 2=VDD; 3=DATA+; 4=DATA-,JST EHR-04,JST B4B-EH-A,JST SEH-001T-P0.6,21 AWG,"B03B-PASK-1; 1=reference, 2=data+, 3=data-; NO VDD",ONE SEPARATELY PROTECTED ACTUATOR FEED; this axis does not share VDD; data daisy carries only reference and data,"NO CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
L_HIP_PITCH,leg,ROBOTIS XH540-W270-R evaluation candidate,XH540,RS-LLEG,3,RS-485 HALF-DUPLEX,MATCH,4,https://docs.robotis.com/docs/dxl/model_reference/x_series/xh_series/xh540-w270/,2026-08-14,SELECTION REQUIRED,ACTUATOR SIDE VERIFIED: 1=GND; 2=VDD; 3=DATA+; 4=DATA-,JST EHR-04,JST B4B-EH-A,JST SEH-001T-P0.6,21 AWG,"B03B-PASK-1; 1=reference, 2=data+, 3=data-; NO VDD",ONE SEPARATELY PROTECTED ACTUATOR FEED; this axis does not share VDD; data daisy carries only reference and data,"NO CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
L_KNEE_PITCH,leg,ROBOTIS XH540-W270-R evaluation candidate,XH540,RS-LLEG,4,RS-485 HALF-DUPLEX,MATCH,4,https://docs.robotis.com/docs/dxl/model_reference/x_series/xh_series/xh540-w270/,2026-08-14,SELECTION REQUIRED,ACTUATOR SIDE VERIFIED: 1=GND; 2=VDD; 3=DATA+; 4=DATA-,JST EHR-04,JST B4B-EH-A,JST SEH-001T-P0.6,21 AWG,"B03B-PASK-1; 1=reference, 2=data+, 3=data-; NO VDD",ONE SEPARATELY PROTECTED ACTUATOR FEED; this axis does not share VDD; data daisy carries only reference and data,"NO CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
L_ANKLE_PITCH,leg,ROBOTIS XM430-W350-R evaluation candidate,XM430,RS-LLEG,5,RS-485 HALF-DUPLEX,MATCH,4,https://docs.robotis.com/docs/dxl/model_reference/x_series/xm_series/xm430-w350/,2026-08-14,SELECTION REQUIRED,ACTUATOR SIDE VERIFIED: 1=GND; 2=VDD; 3=DATA+; 4=DATA-,JST EHR-04,JST B4B-EH-A,JST SEH-001T-P0.6,21 AWG,"B03B-PASK-1; 1=reference, 2=data+, 3=data-; NO VDD",ONE SEPARATELY PROTECTED ACTUATOR FEED; this axis does not share VDD; data daisy carries only reference and data,"NO CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
L_ANKLE_ROLL,leg,ROBOTIS XM430-W350-R evaluation candidate,XM430,RS-LLEG,6,RS-485 HALF-DUPLEX,MATCH,4,https://docs.robotis.com/docs/dxl/model_reference/x_series/xm_series/xm430-w350/,2026-08-14,SELECTION REQUIRED,ACTUATOR SIDE VERIFIED: 1=GND; 2=VDD; 3=DATA+; 4=DATA-,JST EHR-04,JST B4B-EH-A,JST SEH-001T-P0.6,21 AWG,"B03B-PASK-1; 1=reference, 2=data+, 3=data-; NO VDD",ONE SEPARATELY PROTECTED ACTUATOR FEED; this axis does not share VDD; data daisy carries only reference and data,"NO CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
R_HIP_YAW,leg,ROBOTIS XH540-W270-R evaluation candidate,XH540,RS-RLEG,1,RS-485 HALF-DUPLEX,MATCH,4,https://docs.robotis.com/docs/dxl/model_reference/x_series/xh_series/xh540-w270/,2026-08-14,SELECTION REQUIRED,ACTUATOR SIDE VERIFIED: 1=GND; 2=VDD; 3=DATA+; 4=DATA-,JST EHR-04,JST B4B-EH-A,JST SEH-001T-P0.6,21 AWG,"B03B-PASK-1; 1=reference, 2=data+, 3=data-; NO VDD",ONE SEPARATELY PROTECTED ACTUATOR FEED; this axis does not share VDD; data daisy carries only reference and data,"NO CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
R_HIP_ROLL,leg,ROBOTIS XH540-W270-R evaluation candidate,XH540,RS-RLEG,2,RS-485 HALF-DUPLEX,MATCH,4,https://docs.robotis.com/docs/dxl/model_reference/x_series/xh_series/xh540-w270/,2026-08-14,SELECTION REQUIRED,ACTUATOR SIDE VERIFIED: 1=GND; 2=VDD; 3=DATA+; 4=DATA-,JST EHR-04,JST B4B-EH-A,JST SEH-001T-P0.6,21 AWG,"B03B-PASK-1; 1=reference, 2=data+, 3=data-; NO VDD",ONE SEPARATELY PROTECTED ACTUATOR FEED; this axis does not share VDD; data daisy carries only reference and data,"NO CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
R_HIP_PITCH,leg,ROBOTIS XH540-W270-R evaluation candidate,XH540,RS-RLEG,3,RS-485 HALF-DUPLEX,MATCH,4,https://docs.robotis.com/docs/dxl/model_reference/x_series/xh_series/xh540-w270/,2026-08-14,SELECTION REQUIRED,ACTUATOR SIDE VERIFIED: 1=GND; 2=VDD; 3=DATA+; 4=DATA-,JST EHR-04,JST B4B-EH-A,JST SEH-001T-P0.6,21 AWG,"B03B-PASK-1; 1=reference, 2=data+, 3=data-; NO VDD",ONE SEPARATELY PROTECTED ACTUATOR FEED; this axis does not share VDD; data daisy carries only reference and data,"NO CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
R_KNEE_PITCH,leg,ROBOTIS XH540-W270-R evaluation candidate,XH540,RS-RLEG,4,RS-485 HALF-DUPLEX,MATCH,4,https://docs.robotis.com/docs/dxl/model_reference/x_series/xh_series/xh540-w270/,2026-08-14,SELECTION REQUIRED,ACTUATOR SIDE VERIFIED: 1=GND; 2=VDD; 3=DATA+; 4=DATA-,JST EHR-04,JST B4B-EH-A,JST SEH-001T-P0.6,21 AWG,"B03B-PASK-1; 1=reference, 2=data+, 3=data-; NO VDD",ONE SEPARATELY PROTECTED ACTUATOR FEED; this axis does not share VDD; data daisy carries only reference and data,"NO CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
