pose_id,stage,title,support_mode,total_mass_kg,com_x_mm,com_y_mm,com_z_mm,declared_support_margin_mm,primary_support_margin_mm,swing_foot_clearance_mm,swing_foot_forward_displacement_mm,screen_state,authority
P00_NEUTRAL_STAND,S2,Neutral double support,DOUBLE,9.901056000,-0.590654,2.718030,348.428523,44.781970,44.781970,0.000000,0.000000,QUASISTATIC RIGID-LINK GEOMETRY SCREEN ONLY,NO MOTION OR SAFETY CREDIT
P01_CROUCHED_STAND,S2,Crouched double support,DOUBLE,9.901056000,-0.590654,-0.337025,346.027911,47.141159,47.141159,0.000000,0.000000,QUASISTATIC RIGID-LINK GEOMETRY SCREEN ONLY,NO MOTION OR SAFETY CREDIT
P02_LEFT_WEIGHT_TRANSFER,S3,Left weight transfer,DOUBLE,9.901056000,37.330516,2.718030,346.610593,44.781970,22.302857,0.000000,0.000000,QUASISTATIC RIGID-LINK GEOMETRY SCREEN ONLY,NO MOTION OR SAFETY CREDIT
P03_RIGHT_FOOT_LIFT,S4,Right foot lift,L SINGLE,9.901056000,37.442198,0.435414,347.357874,22.414539,22.414539,6.807896,1.039558,QUASISTATIC RIGID-LINK GEOMETRY SCREEN ONLY,NO MOTION OR SAFETY CREDIT
P04_RIGHT_CAPTURE_STEP,S5,Right capture-step candidate,L SINGLE,9.901056000,37.676810,-2.837501,348.504983,22.649151,22.649151,17.155026,40.703454,QUASISTATIC RIGID-LINK GEOMETRY SCREEN ONLY,NO MOTION OR SAFETY CREDIT
P08_RIGHT_TOUCHDOWN,S5,Right 40 mm touchdown,DOUBLE,9.901056000,37.351630,-17.285134,346.347687,64.785166,64.785166,0.000000,39.999971,QUASISTATIC RIGID-LINK GEOMETRY SCREEN ONLY,NO MOTION OR SAFETY CREDIT
P05_RIGHT_WEIGHT_TRANSFER,S3,Right weight transfer,DOUBLE,9.901056000,-38.519359,2.718030,346.625977,44.781970,23.491700,0.000000,0.000000,QUASISTATIC RIGID-LINK GEOMETRY SCREEN ONLY,NO MOTION OR SAFETY CREDIT
P06_LEFT_FOOT_LIFT,S4,Left foot lift,R SINGLE,9.901056000,-38.631041,0.435414,347.373257,23.603382,23.603382,6.807896,1.039558,QUASISTATIC RIGID-LINK GEOMETRY SCREEN ONLY,NO MOTION OR SAFETY CREDIT
P07_LEFT_CAPTURE_STEP,S5,Left capture-step candidate,R SINGLE,9.901056000,-38.859262,-2.837501,348.520367,23.831603,23.831603,17.155026,40.703454,QUASISTATIC RIGID-LINK GEOMETRY SCREEN ONLY,NO MOTION OR SAFETY CREDIT
P09_LEFT_TOUCHDOWN,S5,Left 40 mm touchdown,DOUBLE,9.901056000,-38.540472,-17.293597,346.363071,64.793628,64.793628,0.000000,39.999971,QUASISTATIC RIGID-LINK GEOMETRY SCREEN ONLY,NO MOTION OR SAFETY CREDIT
