pose_id,joint_id,target_deg_or_mm,unit,within_urdf_limit,execution_state
P00_NEUTRAL_STAND,HEAD_PAN,0.000000,deg,YES,REFERENCE ONLY - NOT AN EXECUTABLE COMMAND
P00_NEUTRAL_STAND,HEAD_TILT,0.000000,deg,YES,REFERENCE ONLY - NOT AN EXECUTABLE COMMAND
P00_NEUTRAL_STAND,L_ANKLE_PITCH,0.000000,deg,YES,REFERENCE ONLY - NOT AN EXECUTABLE COMMAND
P00_NEUTRAL_STAND,L_ANKLE_ROLL,0.000000,deg,YES,REFERENCE ONLY - NOT AN EXECUTABLE COMMAND
P00_NEUTRAL_STAND,L_ELBOW_PITCH,0.000000,deg,YES,REFERENCE ONLY - NOT AN EXECUTABLE COMMAND
P00_NEUTRAL_STAND,L_GRIPPER,10.000000,mm,YES,REFERENCE ONLY - NOT AN EXECUTABLE COMMAND
P00_NEUTRAL_STAND,L_HIP_PITCH,0.000000,deg,YES,REFERENCE ONLY - NOT AN EXECUTABLE COMMAND
P00_NEUTRAL_STAND,L_HIP_ROLL,0.000000,deg,YES,REFERENCE ONLY - NOT AN EXECUTABLE COMMAND
P00_NEUTRAL_STAND,L_HIP_YAW,0.000000,deg,YES,REFERENCE ONLY - NOT AN EXECUTABLE COMMAND
P00_NEUTRAL_STAND,L_KNEE_PITCH,0.000000,deg,YES,REFERENCE ONLY - NOT AN EXECUTABLE COMMAND
P00_NEUTRAL_STAND,L_SHOULDER_PITCH,0.000000,deg,YES,REFERENCE ONLY - NOT AN EXECUTABLE COMMAND
P00_NEUTRAL_STAND,L_SHOULDER_ROLL,0.000000,deg,YES,REFERENCE ONLY - NOT AN EXECUTABLE COMMAND
P00_NEUTRAL_STAND,L_WRIST_ROTATION,0.000000,deg,YES,REFERENCE ONLY - NOT AN EXECUTABLE COMMAND
P00_NEUTRAL_STAND,R_ANKLE_PITCH,0.000000,deg,YES,REFERENCE ONLY - NOT AN EXECUTABLE COMMAND
P00_NEUTRAL_STAND,R_ANKLE_ROLL,0.000000,deg,YES,REFERENCE ONLY - NOT AN EXECUTABLE COMMAND
P00_NEUTRAL_STAND,R_ELBOW_PITCH,0.000000,deg,YES,REFERENCE ONLY - NOT AN EXECUTABLE COMMAND
P00_NEUTRAL_STAND,R_GRIPPER,10.000000,mm,YES,REFERENCE ONLY - NOT AN EXECUTABLE COMMAND
P00_NEUTRAL_STAND,R_HIP_PITCH,0.000000,deg,YES,REFERENCE ONLY - NOT AN EXECUTABLE COMMAND
P00_NEUTRAL_STAND,R_HIP_ROLL,0.000000,deg,YES,REFERENCE ONLY - NOT AN EXECUTABLE COMMAND
P00_NEUTRAL_STAND,R_HIP_YAW,0.000000,deg,YES,REFERENCE ONLY - NOT AN EXECUTABLE COMMAND
P00_NEUTRAL_STAND,R_KNEE_PITCH,0.000000,deg,YES,REFERENCE ONLY - NOT AN EXECUTABLE COMMAND
P00_NEUTRAL_STAND,R_SHOULDER_PITCH,0.000000,deg,YES,REFERENCE ONLY - NOT AN EXECUTABLE COMMAND
P00_NEUTRAL_STAND,R_SHOULDER_ROLL,0.000000,deg,YES,REFERENCE ONLY - NOT AN EXECUTABLE COMMAND
P00_NEUTRAL_STAND,R_WRIST_ROTATION,0.000000,deg,YES,REFERENCE ONLY - NOT AN EXECUTABLE COMMAND
P00_NEUTRAL_STAND,WAIST_YAW,0.000000,deg,YES,REFERENCE ONLY - NOT AN EXECUTABLE COMMAND
P01_CROUCHED_STAND,HEAD_PAN,0.000000,deg,YES,REFERENCE ONLY - NOT AN EXECUTABLE COMMAND
P01_CROUCHED_STAND,HEAD_TILT,0.000000,deg,YES,REFERENCE ONLY - NOT AN EXECUTABLE COMMAND
P01_CROUCHED_STAND,L_ANKLE_PITCH,-8.000000,deg,YES,REFERENCE ONLY - NOT AN EXECUTABLE COMMAND
P01_CROUCHED_STAND,L_ANKLE_ROLL,0.000000,deg,YES,REFERENCE ONLY - NOT AN EXECUTABLE COMMAND
P01_CROUCHED_STAND,L_ELBOW_PITCH,0.000000,deg,YES,REFERENCE ONLY - NOT AN EXECUTABLE COMMAND
P01_CROUCHED_STAND,L_GRIPPER,10.000000,mm,YES,REFERENCE ONLY - NOT AN EXECUTABLE COMMAND
P01_CROUCHED_STAND,L_HIP_PITCH,-8.000000,deg,YES,REFERENCE ONLY - NOT AN EXECUTABLE COMMAND
P01_CROUCHED_STAND,L_HIP_ROLL,0.000000,deg,YES,REFERENCE ONLY - NOT AN EXECUTABLE COMMAND
P01_CROUCHED_STAND,L_HIP_YAW,0.000000,deg,YES,REFERENCE ONLY - NOT AN EXECUTABLE COMMAND
P01_CROUCHED_STAND,L_KNEE_PITCH,16.000000,deg,YES,REFERENCE ONLY - NOT AN EXECUTABLE COMMAND
P01_CROUCHED_STAND,L_SHOULDER_PITCH,0.000000,deg,YES,REFERENCE ONLY - NOT AN EXECUTABLE COMMAND
P01_CROUCHED_STAND,L_SHOULDER_ROLL,0.000000,deg,YES,REFERENCE ONLY - NOT AN EXECUTABLE COMMAND
P01_CROUCHED_STAND,L_WRIST_ROTATION,0.000000,deg,YES,REFERENCE ONLY - NOT AN EXECUTABLE COMMAND
P01_CROUCHED_STAND,R_ANKLE_PITCH,-8.000000,deg,YES,REFERENCE ONLY - NOT AN EXECUTABLE COMMAND
P01_CROUCHED_STAND,R_ANKLE_ROLL,0.000000,deg,YES,REFERENCE ONLY - NOT AN EXECUTABLE COMMAND
P01_CROUCHED_STAND,R_ELBOW_PITCH,0.000000,deg,YES,REFERENCE ONLY - NOT AN EXECUTABLE COMMAND
P01_CROUCHED_STAND,R_GRIPPER,10.000000,mm,YES,REFERENCE ONLY - NOT AN EXECUTABLE COMMAND
P01_CROUCHED_STAND,R_HIP_PITCH,-8.000000,deg,YES,REFERENCE ONLY - NOT AN EXECUTABLE COMMAND
P01_CROUCHED_STAND,R_HIP_ROLL,0.000000,deg,YES,REFERENCE ONLY - NOT AN EXECUTABLE COMMAND
P01_CROUCHED_STAND,R_HIP_YAW,0.000000,deg,YES,REFERENCE ONLY - NOT AN EXECUTABLE COMMAND
P01_CROUCHED_STAND,R_KNEE_PITCH,16.000000,deg,YES,REFERENCE ONLY - NOT AN EXECUTABLE COMMAND
P01_CROUCHED_STAND,R_SHOULDER_PITCH,0.000000,deg,YES,REFERENCE ONLY - NOT AN EXECUTABLE COMMAND
P01_CROUCHED_STAND,R_SHOULDER_ROLL,0.000000,deg,YES,REFERENCE ONLY - NOT AN EXECUTABLE COMMAND
P01_CROUCHED_STAND,R_WRIST_ROTATION,0.000000,deg,YES,REFERENCE ONLY - NOT AN EXECUTABLE COMMAND
P01_CROUCHED_STAND,WAIST_YAW,0.000000,deg,YES,REFERENCE ONLY - NOT AN EXECUTABLE COMMAND
P02_LEFT_WEIGHT_TRANSFER,HEAD_PAN,0.000000,deg,YES,REFERENCE ONLY - NOT AN EXECUTABLE COMMAND
P02_LEFT_WEIGHT_TRANSFER,HEAD_TILT,0.000000,deg,YES,REFERENCE ONLY - NOT AN EXECUTABLE COMMAND
P02_LEFT_WEIGHT_TRANSFER,L_ANKLE_PITCH,0.000000,deg,YES,REFERENCE ONLY - NOT AN EXECUTABLE COMMAND
P02_LEFT_WEIGHT_TRANSFER,L_ANKLE_ROLL,-8.500000,deg,YES,REFERENCE ONLY - NOT AN EXECUTABLE COMMAND
P02_LEFT_WEIGHT_TRANSFER,L_ELBOW_PITCH,0.000000,deg,YES,REFERENCE ONLY - NOT AN EXECUTABLE COMMAND
P02_LEFT_WEIGHT_TRANSFER,L_GRIPPER,10.000000,mm,YES,REFERENCE ONLY - NOT AN EXECUTABLE COMMAND
