decision_id,affected_system,baseline_candidate,lightweight_candidate,mass_effect,engineering_hold,decision_state,authority
HR30-LW-001,torso frame,solid 18 x 18 mm rail envelopes,18 x 18 x 2 mm hollow rail envelopes; outer interfaces retained,included in fabrication subtotal,"exact extrusion, local inserts, buckling, joint loads and received section open",PRELIMINARY WHOLE-BODY LIGHTWEIGHT ARCHITECTURE CANDIDATE,"NO PROCUREMENT, FABRICATION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
HR30-LW-002,"limbs, pelvis and feet",solid plate and link envelopes,closed-perimeter windowed plates and longitudinally slotted paired arm links,included in fabrication subtotal,"stress concentration, fatigue, fasteners, edge finish, DFM and proof loads open",PRELIMINARY WHOLE-BODY LIGHTWEIGHT ARCHITECTURE CANDIDATE,"NO PROCUREMENT, FABRICATION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
HR30-LW-003,covers,2.4-3.0 mm shells and panels,1.2 mm body/limb panels with unchanged interfaces; detailed hand parts retained,included in fabrication subtotal,"material/process, ribs, vents, retention, impact, pinch edges and print qualification open",PRELIMINARY WHOLE-BODY LIGHTWEIGHT ARCHITECTURE CANDIDATE,"NO PROCUREMENT, FABRICATION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
HR30-LW-004,joint shafts,solid steel density-screen shafts,62%-diameter through-bored 7075-T6/T651 aluminum density-screen shafts,included in joint-hardware subtotal,"bearing seats, hardcoat/sleeves, wall stress, fatigue, fretting, retention and material selection open",PRELIMINARY WHOLE-BODY LIGHTWEIGHT ARCHITECTURE CANDIDATE,"NO PROCUREMENT, FABRICATION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
HR30-LW-005,joint support,two external bearing carriers on every axis,actuator internal support plus one external carrier on direct axes; two external carriers retained on remote/reduced outputs,22 redundant direct-axis carrier solids removed,"actuator internal-load allowance, moment path, bearing life, stiffness and received fit open",PRELIMINARY WHOLE-BODY LIGHTWEIGHT ARCHITECTURE CANDIDATE,"NO PROCUREMENT, FABRICATION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
HR30-LW-006,carrier plates and pulleys,solid four-hole slabs and annular pulley discs,closed carrier frames with cross webs and spoked rim/hub pulleys,included in joint-hardware subtotal,"web load path, belt tooth system, flange, balance, guard, DFM and proof testing open",PRELIMINARY WHOLE-BODY LIGHTWEIGHT ARCHITECTURE CANDIDATE,"NO PROCUREMENT, FABRICATION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
HR30-LW-007,all external joint bearings,principal-dimension annulus treated as solid bearing steel,seven standard NSK/SKF catalogue candidates; 6901 leg and 6803 waist candidates reduce distal hardware mass,published catalogue mass replaces gross annulus density screen,"load direction, life, suffix, lubrication, fits, retention and received identity open",PRELIMINARY WHOLE-BODY LIGHTWEIGHT ARCHITECTURE CANDIDATE,"NO PROCUREMENT, FABRICATION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
HR30-LW-008,"shoulder roll, wrists and ankles","165 g XM540 shoulder-pitch, 82 g XM430 shoulder-roll/elbows, 23 g XC330 wrists and 82 g XM430 ankles","82 g XM430 shoulder-roll, 23 g XC330 wrists and 82 g XM430 ankles with 2.0:1/2.5:1 reductions",published actuator masses included in whole-body subtotal,"continuous duty, belt capacity, contact loads, thermal behavior and physical correlation open",PRELIMINARY WHOLE-BODY LIGHTWEIGHT ARCHITECTURE CANDIDATE,"NO PROCUREMENT, FABRICATION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
HR30-LW-009,leg transmissions,belt-path reference volumes with no carried belt mass,ten Gates 5MGT3 15 mm belt candidates carried at published catalogue mass,adds 0.148 kg of previously omitted transmission mass,"pulley capacity, custom manufacture, tension, alignment, guard, life and received mass open",PRELIMINARY WHOLE-BODY LIGHTWEIGHT ARCHITECTURE CANDIDATE,"NO PROCUREMENT, FABRICATION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
HR30-LW-TOTAL,whole robot identified candidate,commit dfb9a7d: 13.323984 kg gross identified / 16.675074 kg conservative dynamics,current: 11.023703 kg gross identified / 11.388704 kg conservative dynamics,gross identified reduction 2.300281 kg; dynamics reduction 5.286371 kg,"active tether-first candidate must remain at or below the authoritative 10 kg hard limit; the 8 kg target, received mass closure and every physical validation remain open",PRELIMINARY WHOLE-BODY LIGHTWEIGHT ARCHITECTURE CANDIDATE,"NO PROCUREMENT, FABRICATION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
