matrix_id,asimov_1_feature,decision,hr30_use,engineering_rule,source_archive_sha256,status
A1-01,friendly non-photorealistic overall character,REUSE,visual intent only,retain unmistakably robotic appearance,ae126d212e8c56486ce014bd9b01b3779b0086867f9b47615ddefbbf32fa5167,CONTROLLED ARCHITECTURE DECISION - NO MANUFACTURING OR MOTION CREDIT
A1-02,screen-face concept,ADAPT,head/interaction architecture,"replace mesh face with serviceable display, camera privacy indicator and status lighting",ae126d212e8c56486ce014bd9b01b3779b0086867f9b47615ddefbbf32fa5167,CONTROLLED ARCHITECTURE DECISION - NO MANUFACTURING OR MOTION CREDIT
A1-03,rounded shell language,REUSE,industrial design envelope,convert to tool-removable covers with >=3 mm external edge radius,ae126d212e8c56486ce014bd9b01b3779b0086867f9b47615ddefbbf32fa5167,CONTROLLED ARCHITECTURE DECISION - NO MANUFACTURING OR MOTION CREDIT
A1-04,rig hierarchy and animation clips,ADAPT,visualization and behavior reference,retarget only after mapping to the controlled 25-axis skeleton and joint limits,ae126d212e8c56486ce014bd9b01b3779b0086867f9b47615ddefbbf32fa5167,CONTROLLED ARCHITECTURE DECISION - NO MANUFACTURING OR MOTION CREDIT
A1-05,source mesh topology,REJECT,manufacturing/structural geometry,"not dimensioned, toleranced, materialized, or load-path controlled",ae126d212e8c56486ce014bd9b01b3779b0086867f9b47615ddefbbf32fa5167,CONTROLLED ARCHITECTURE DECISION - NO MANUFACTURING OR MOTION CREDIT
A1-06,source joint centers and bone axes,REJECT,robot kinematics,use HR-PROD-030 datums and the controlled joint-axis schedule,ae126d212e8c56486ce014bd9b01b3779b0086867f9b47615ddefbbf32fa5167,CONTROLLED ARCHITECTURE DECISION - NO MANUFACTURING OR MOTION CREDIT
A1-07,head proportions,ADAPT,150 x 110 x 112 mm controlled head envelope,"preserve character while fitting screen, cameras, microphones, speakers and cooling",ae126d212e8c56486ce014bd9b01b3779b0086867f9b47615ddefbbf32fa5167,CONTROLLED ARCHITECTURE DECISION - NO MANUFACTURING OR MOTION CREDIT
A1-08,torso silhouette,ADAPT,190 x 110 x 155 mm torso shell envelope,"fit compute, cooling, load frame, harness and service access",ae126d212e8c56486ce014bd9b01b3779b0086867f9b47615ddefbbf32fa5167,CONTROLLED ARCHITECTURE DECISION - NO MANUFACTURING OR MOTION CREDIT
A1-09,arm silhouette,ADAPT,two articulated engineering arms,"meet controlled axes, hard reach limits, mass, payload and pinch constraints",ae126d212e8c56486ce014bd9b01b3779b0086867f9b47615ddefbbf32fa5167,CONTROLLED ARCHITECTURE DECISION - NO MANUFACTURING OR MOTION CREDIT
A1-10,hand appearance,ADAPT,two broad parallel hand-shaped grippers,"must grasp, hold, present and release without narrow scissor points",ae126d212e8c56486ce014bd9b01b3779b0086867f9b47615ddefbbf32fa5167,CONTROLLED ARCHITECTURE DECISION - NO MANUFACTURING OR MOTION CREDIT
A1-11,leg and foot silhouette,ADAPT,six-axis legs and 90 x 145 mm feet,"fit supported shafts, reductions, sensing and replaceable compliant soles",ae126d212e8c56486ce014bd9b01b3779b0086867f9b47615ddefbbf32fa5167,CONTROLLED ARCHITECTURE DECISION - NO MANUFACTURING OR MOTION CREDIT
A1-12,textures and colors,REUSE,web visualization only,"no material, flammability, finish or cleanability credit",ae126d212e8c56486ce014bd9b01b3779b0086867f9b47615ddefbbf32fa5167,CONTROLLED ARCHITECTURE DECISION - NO MANUFACTURING OR MOTION CREDIT
A1-13,internal structure,REJECT,whole-body load path,"source provides no controlled frame, bearings, joints, restraint interface or fall load path",ae126d212e8c56486ce014bd9b01b3779b0086867f9b47615ddefbbf32fa5167,CONTROLLED ARCHITECTURE DECISION - NO MANUFACTURING OR MOTION CREDIT
A1-14,walking/backflip/running animations,REJECT,motion commands,visual reference only; cannot become executable trajectories or validation evidence,ae126d212e8c56486ce014bd9b01b3779b0086867f9b47615ddefbbf32fa5167,CONTROLLED ARCHITECTURE DECISION - NO MANUFACTURING OR MOTION CREDIT
