axis_id,region,side,motion,x_mm,y_mm,z_mm,direction_x,direction_y,direction_z,provisional_commanded_range,source,status
HEAD_PAN,head,C,pan,0,0,650.0,0,0,1,SELECTION REQUIRED,HR-PROD-030,ARCHITECTURE DATUM ONLY - JOINT DESIGN NOT RELEASED
HEAD_TILT,head,C,tilt,0,0,690,1,0,0,SELECTION REQUIRED,HR-PROD-030,ARCHITECTURE DATUM ONLY - JOINT DESIGN NOT RELEASED
WAIST_YAW,waist,C,yaw,0,0,425.0,0,0,1,speed <=15 deg/s in HR-30A,HR-PROD-030 / HR-LOAD-030,ARCHITECTURE DATUM ONLY - JOINT DESIGN NOT RELEASED
L_SHOULDER_PITCH,arm,L,pitch,90.0,0,590.0,1,0,0,SELECTION REQUIRED,HR-PROD-030,ARCHITECTURE DATUM ONLY - JOINT DESIGN NOT RELEASED
L_SHOULDER_ROLL,arm,L,roll,90.0,0,590.0,0,1,0,SELECTION REQUIRED,HR-PROD-030,ARCHITECTURE DATUM ONLY - JOINT DESIGN NOT RELEASED
L_ELBOW_PITCH,arm,L,pitch,128.0,0,444.8931428222636,1,0,0,SELECTION REQUIRED,HR-PROD-030,ARCHITECTURE DATUM ONLY - JOINT DESIGN NOT RELEASED
L_WRIST_ROTATION,arm,L,rotation,133.0,0,299.9793753603692,0,0,1,SELECTION REQUIRED,HR-PROD-030,ARCHITECTURE DATUM ONLY - JOINT DESIGN NOT RELEASED
L_GRIPPER,hand,L,parallel open/close,133.0,0,256.9793753603692,1.0,0,0,SELECTION REQUIRED,HR-PROD-030,ARCHITECTURE DATUM ONLY - JOINT DESIGN NOT RELEASED
L_HIP_YAW,leg,L,yaw,62.5,0,410.0,0,0,1,+/-30 deg,HR-WALK-001,ARCHITECTURE DATUM ONLY - JOINT DESIGN NOT RELEASED
L_HIP_ROLL,leg,L,roll,62.5,0,390.0,0,1,0,+/-25 deg,HR-WALK-001,ARCHITECTURE DATUM ONLY - JOINT DESIGN NOT RELEASED
L_HIP_PITCH,leg,L,pitch,62.5,0,370.0,1,0,0,-35..+45 deg,HR-WALK-001,ARCHITECTURE DATUM ONLY - JOINT DESIGN NOT RELEASED
L_KNEE_PITCH,leg,L,pitch,62.5,0,210.0,1,0,0,0..120 deg,HR-WALK-001,ARCHITECTURE DATUM ONLY - JOINT DESIGN NOT RELEASED
L_ANKLE_PITCH,leg,L,pitch,62.5,0,55.0,1,0,0,-35..+30 deg,HR-WALK-001,ARCHITECTURE DATUM ONLY - JOINT DESIGN NOT RELEASED
L_ANKLE_ROLL,leg,L,roll,62.5,0,35.0,0,1,0,+/-20 deg,HR-WALK-001,ARCHITECTURE DATUM ONLY - JOINT DESIGN NOT RELEASED
R_SHOULDER_PITCH,arm,R,pitch,-90.0,0,590.0,1,0,0,SELECTION REQUIRED,HR-PROD-030,ARCHITECTURE DATUM ONLY - JOINT DESIGN NOT RELEASED
R_SHOULDER_ROLL,arm,R,roll,-90.0,0,590.0,0,1,0,SELECTION REQUIRED,HR-PROD-030,ARCHITECTURE DATUM ONLY - JOINT DESIGN NOT RELEASED
R_ELBOW_PITCH,arm,R,pitch,-128.0,0,444.8931428222636,1,0,0,SELECTION REQUIRED,HR-PROD-030,ARCHITECTURE DATUM ONLY - JOINT DESIGN NOT RELEASED
R_WRIST_ROTATION,arm,R,rotation,-133.0,0,299.9793753603692,0,0,1,SELECTION REQUIRED,HR-PROD-030,ARCHITECTURE DATUM ONLY - JOINT DESIGN NOT RELEASED
R_GRIPPER,hand,R,parallel open/close,-133.0,0,256.9793753603692,-1.0,0,0,SELECTION REQUIRED,HR-PROD-030,ARCHITECTURE DATUM ONLY - JOINT DESIGN NOT RELEASED
R_HIP_YAW,leg,R,yaw,-62.5,0,410.0,0,0,1,+/-30 deg,HR-WALK-001,ARCHITECTURE DATUM ONLY - JOINT DESIGN NOT RELEASED
R_HIP_ROLL,leg,R,roll,-62.5,0,390.0,0,1,0,+/-25 deg,HR-WALK-001,ARCHITECTURE DATUM ONLY - JOINT DESIGN NOT RELEASED
R_HIP_PITCH,leg,R,pitch,-62.5,0,370.0,1,0,0,-35..+45 deg,HR-WALK-001,ARCHITECTURE DATUM ONLY - JOINT DESIGN NOT RELEASED
R_KNEE_PITCH,leg,R,pitch,-62.5,0,210.0,1,0,0,0..120 deg,HR-WALK-001,ARCHITECTURE DATUM ONLY - JOINT DESIGN NOT RELEASED
R_ANKLE_PITCH,leg,R,pitch,-62.5,0,55.0,1,0,0,-35..+30 deg,HR-WALK-001,ARCHITECTURE DATUM ONLY - JOINT DESIGN NOT RELEASED
R_ANKLE_ROLL,leg,R,roll,-62.5,0,35.0,0,1,0,+/-20 deg,HR-WALK-001,ARCHITECTURE DATUM ONLY - JOINT DESIGN NOT RELEASED
